sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
it does not hurt to get extra help and honestly it is an easy a that is one unit.,"['So, I scammed my friend to come with me to the first class because I did not want to go alone.']","['it', 'does', 'not', 'hurt', 'to', 'get', 'extra', 'help', 'and', 'honestly', 'it', 'is', 'an', 'easy', 'a', 'that', 'is', 'one', 'unit', '.']",0,0,0,0,0,0,0,0.21666666666666667,0.4666666666666667,0,0,2,1,3,2,2,2,0,-0.09403183311223984,0.19690567255020142,0.11906291544437408,0.07956752926111221,0.115115225315094,-0.4048037528991699,0.2375645935535431,0.48372966051101685,-0.19984392821788788,-0.22313447296619415,0.19523915648460388,-0.34549176692962646,-0.01625032164156437,0.170803502202034,0.0752624124288559,-0.05219477787613869,0.21044205129146576,-0.12128929048776627,-0.06857714802026749,-0.4952775537967682,-0.06384102255105972,-0.11297957599163055,0.20643864572048187,-0.058651454746723175,-0.10766337066888809,0.017928259447216988,-0.2625219225883484,0.05112383887171745,-0.1553879678249359,0.0808693915605545,0.2695692479610443,-0.032034069299697876,0.35308942198753357,-0.22111418843269348,0.07245699316263199,0.24370534718036652,0.15656526386737823,0.0044136084616184235,-0.09563597291707993,-0.25799280405044556,0.05535184592008591,-0.05120076611638069,-0.04529741778969765,0.041064538061618805,0.10538216680288315,0.01752646081149578,-0.1566445380449295,0.06913267821073532,0.054889459162950516,0.22971442341804504,0.032843153923749924,-0.08306902647018433,-0.03009495884180069,-0.09654612839221954,-0.01779569685459137,0.15298207104206085,0.04435329511761665,0.0694778636097908,-0.03741254284977913,0.14044439792633057,-0.0063378456979990005,-0.10400822758674622,0.07204654812812805,0.14568445086479187,-0.07900805026292801,0.36445730924606323,0.1678650975227356,0.21512272953987122,-0.30010250210762024,0.251877099275589,0.018240058794617653,0.2108631134033203,0.1820344179868698,-0.0022751984652131796,0.5151091814041138,-0.14418184757232666,0.01948796585202217,0.06471890211105347,-0.0199932549148798,-0.2791648507118225,-0.2937707304954529,0.1509653925895691,-0.12254161387681961,0.10450071096420288,-0.2764061987400055,-0.05154256150126457,0.26831650733947754,0.05047434940934181,0.21503400802612305,-0.08546679466962814,0.46263885498046875,0.13998523354530334,-0.06280277669429779,0.0735759511590004,0.23241978883743286,-0.0683780163526535,0.3235233724117279,-0.06389516592025757,0.02094958908855915,0.0429084450006485
i want to go to med school and become a doctor.,"['I want to help people and connect to patients. I want to connect to the individual on a personal level and get to have a better relationship with them. I would love to be able to help people physically and mentally, while being a friend. I would love to work with elders and get to know them, their stories, and experiences.']","['i', 'want', 'to', 'go', 'to', 'med', 'school', 'and', 'become', 'a', 'doctor', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,3,0,3,1,0,0,0,-0.1861095279455185,0.19961920380592346,0.05690956488251686,0.0767846554517746,0.12154240906238556,-0.4992774724960327,0.20234793424606323,0.571505069732666,-0.17736683785915375,-0.3214554786682129,0.20587635040283203,-0.35735079646110535,-0.05254880338907242,0.26253488659858704,0.012420517392456532,0.11302518099546432,0.22485099732875824,-0.16277910768985748,-0.1456325501203537,-0.5481441020965576,0.007450039964169264,-0.08579380065202713,0.33715903759002686,0.019240563735365868,-0.14225375652313232,0.10195562243461609,-0.15019501745700836,0.013747024349868298,-0.1632019281387329,0.07743536680936813,0.43207070231437683,0.07894135266542435,0.30577829480171204,-0.249969944357872,0.06269440054893494,0.3468568027019501,0.16283725202083588,-0.03485028073191643,-0.05466355010867119,-0.1630016416311264,0.13091261684894562,0.0029974179342389107,-0.07121877372264862,-0.06805136054754257,0.11715491116046906,-0.008732854388654232,-0.13356579840183258,0.04440672695636749,0.12776045501232147,0.1795642375946045,-0.02664244920015335,-0.06438488513231277,-0.08485287427902222,-0.0602591410279274,0.08956197649240494,0.17427600920200348,0.11361216753721237,0.12926828861236572,-0.13346122205257416,0.12538225948810577,-0.02395397424697876,-0.13240768015384674,0.14404378831386566,0.1248602345585823,-0.1592341810464859,0.3555980324745178,0.40939244627952576,0.09517848491668701,-0.24158607423305511,0.35629379749298096,-0.028964567929506302,0.11232014000415802,0.12292470782995224,0.03844282403588295,0.4424847662448883,-0.10209225863218307,-0.042256806045770645,0.0964515283703804,0.013589084148406982,-0.22552233934402466,-0.3154247999191284,0.12679423391819,-0.04156063124537468,0.07880605012178421,-0.21703185141086578,-0.07257408648729324,0.31660154461860657,0.010363925248384476,0.20407487452030182,-0.01730269007384777,0.3766308128833771,0.22413206100463867,0.04462346062064171,0.034075915813446045,0.05773795768618584,-0.10338000953197479,0.20086143910884857,-0.13172359764575958,-0.027344031259417534,0.2301420122385025
a large amount of co2 is made by burning fossil fuels.,"['As most know right now, the environment is pretty fucked. From my standpoint, humanity needs to find a way to be less wasteful with their resources. Since using less is most likely not an option, I want to learn more about how electricity is produced and how it can be made more efficiently. A large amount of CO2 is made by burning fossil fuels. If we can reduce how much we use, then how much waste we produce is also cut down. That way we can reduce the amount of pollutants that we make and hopefully our race will live past the year 2100.']","['a', 'large', 'amount', 'of', 'co2', 'is', 'made', 'by', 'burning', 'fossil', 'fuels', '.']",0,0,0,0,0,0,0,0.21428571428571427,0.42857142857142855,0,0,3,0,2,1,0,2,2,-0.06836318224668503,0.144666388630867,0.0976012721657753,0.03495938330888748,0.08785054087638855,-0.24289380013942719,0.1317937970161438,0.2866726219654083,-0.18401609361171722,-0.09239070117473602,0.046574100852012634,-0.21816787123680115,0.019812146201729774,0.07360153645277023,0.013831726275384426,-0.05714922025799751,0.04855795204639435,-0.09622958302497864,-0.025001520290970802,-0.2783535420894623,-0.04365944489836693,-0.096894770860672,0.12561701238155365,-0.049754299223423004,-0.056481633335351944,0.041153233498334885,-0.11594557762145996,-0.00387750705704093,-0.1202540472149849,0.05061297491192818,0.18956202268600464,0.06373871117830276,0.1680760532617569,-0.11219044029712677,0.021081509068608284,0.22365380823612213,0.032286930829286575,-0.03830061852931976,-0.10640809684991837,-0.2728520631790161,0.09575933963060379,-0.12731097638607025,-0.04311734437942505,-0.001724563422612846,0.09697140008211136,-0.0078416857868433,-0.1755167841911316,0.03863764554262161,0.049104150384664536,0.10268422961235046,0.03106304444372654,-0.059046853333711624,-0.056988175958395004,-0.09942133724689484,-0.0980159118771553,0.12465856224298477,0.010300442576408386,0.002247938420623541,-0.06509711593389511,0.05258925259113312,0.006855191197246313,-0.05628213658928871,0.027538837864995003,0.08674922585487366,-0.15486763417720795,0.2414492666721344,0.14880990982055664,0.1273641735315323,-0.19946379959583282,0.14567099511623383,0.020941270515322685,0.14899438619613647,0.13857164978981018,0.031682323664426804,0.30858686566352844,-0.04216544330120087,-0.024770814925432205,0.03104584291577339,-0.051054373383522034,-0.07599687576293945,-0.15723995864391327,0.06279291212558746,-0.05245647206902504,0.08846616744995117,-0.17645560204982758,-0.005749550648033619,0.18815606832504272,0.1500977873802185,0.1692591905593872,-0.07353515923023224,0.2954046428203583,0.1218227669596672,-0.04991289600729942,0.03072710707783699,0.1758938729763031,-0.015568116679787636,0.2598567008972168,-0.16229550540447235,0.00427467143163085,0.019725533202290535
i believe i also will make an impact on climate change along with helping animals.,"['So as all over the place this whole write up was I believe I am here on this planet to live my life long dream of being part of the fashion industry, while making a positive impact environmentally', 'I believe I also will make an impact on Climate Change along with helping animals.']","['i', 'believe', 'i', 'also', 'will', 'make', 'an', 'impact', 'on', 'climate', 'change', 'along', 'with', 'helping', 'animals', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,5,1,2,1,0,1,3,-0.16737255454063416,0.18691812455654144,0.07878388464450836,0.03573523461818695,0.12345346063375473,-0.39497092366218567,0.20807534456253052,0.489279180765152,-0.19647884368896484,-0.22687512636184692,0.12788596749305725,-0.31706684827804565,-0.009206456132233143,0.18374088406562805,0.06340385973453522,-0.029394757002592087,0.13424569368362427,-0.17012225091457367,-0.08998778462409973,-0.4610480070114136,-0.03384530916810036,-0.03472018241882324,0.1993456780910492,-0.03111572377383709,-0.04353880509734154,0.06605695933103561,-0.19361774623394012,0.09402274340391159,-0.11801854521036148,0.051182325929403305,0.32165205478668213,0.03422476723790169,0.30357635021209717,-0.176847442984581,0.027637628838419914,0.27254775166511536,0.14640115201473236,0.005741249304264784,-0.09027706831693649,-0.24162499606609344,0.0677906945347786,-0.08461136370897293,-0.030649704858660698,-0.09363730996847153,0.08347421139478683,-0.02831858955323696,-0.1524730622768402,0.08826013654470444,0.10180742293596268,0.17003951966762543,-0.013651388697326183,-0.06603991985321045,-0.10802984237670898,-0.05078557878732681,-0.007632887922227383,0.15464088320732117,0.12324091792106628,0.08337808400392532,-0.09368479996919632,0.14124451577663422,0.0317506343126297,-0.1340094953775406,0.13846533000469208,0.17588427662849426,-0.14833471179008484,0.33692261576652527,0.23538300395011902,0.14245472848415375,-0.2574872672557831,0.2647673785686493,0.06588544696569443,0.168281689286232,0.1579314023256302,-0.03969217836856842,0.3965202569961548,-0.13917125761508942,-0.02734431065618992,0.04688246548175812,-0.029249943792819977,-0.15439610183238983,-0.2618461549282074,0.06600713729858398,-0.07765330374240875,0.05337228998541832,-0.22145219147205353,5.880706157768145e-05,0.27924129366874695,0.0739208459854126,0.23177851736545563,-0.06378475576639175,0.38875502347946167,0.15131650865077972,0.00721041951328516,0.042897410690784454,0.18627561628818512,-0.06178533658385277,0.2941685914993286,-0.12299478054046631,-0.0465993694961071,0.10021566599607468
maybe i don't know.,['Our professor makes this class really enjoyable and hes really helpful.'],"['maybe', 'i', 'do', ""n't"", 'know', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,1,2,1,0,0,0,0,-0.22374454140663147,0.16253814101219177,0.14249543845653534,0.20180091261863708,-0.013499269261956215,-0.38313037157058716,0.30686265230178833,0.5598781108856201,-0.17112591862678528,-0.2562136948108673,0.16353797912597656,-0.4614962339401245,-0.04838751628994942,0.23303082585334778,0.10660268366336823,-0.0894492119550705,0.17343094944953918,-0.3071727454662323,-0.24262914061546326,-0.6387739777565002,-0.07169277966022491,-0.02916993759572506,0.15856413543224335,-0.07307514548301697,-0.08482416719198227,-0.0835963785648346,-0.3546340763568878,0.04444539546966553,-0.12661927938461304,0.00373641774058342,0.30584508180618286,-0.04450174421072006,0.4450906217098236,-0.16816170513629913,0.013450909405946732,0.3491969406604767,0.3207815885543823,0.040529437363147736,0.008199143223464489,-0.2189057469367981,-0.04235588759183884,-0.0729885995388031,0.014588958583772182,-0.11742030829191208,0.09591099619865417,0.04229920729994774,-0.14701932668685913,0.11129765957593918,-0.0044015273451805115,0.24181541800498962,-0.1142270565032959,-0.09266704320907593,-0.013012686744332314,0.02841316908597946,0.07611767202615738,0.23819753527641296,0.1721736341714859,0.04559231922030449,-0.12382321804761887,0.23352855443954468,0.18251684308052063,-0.034772198647260666,0.10973908007144928,0.08365999162197113,-0.030261525884270668,0.27538251876831055,0.0805678442120552,0.26110225915908813,-0.3205806016921997,0.2822824716567993,0.1439131647348404,0.15839876234531403,0.19893059134483337,-0.029367556795477867,0.5589550733566284,-0.18267500400543213,-0.029581129550933838,0.10504340380430222,-0.006954118609428406,-0.3047892451286316,-0.30150219798088074,0.09220108389854431,-0.16995978355407715,0.2709544599056244,-0.31863245368003845,0.05130806937813759,0.28279024362564087,0.12609922885894775,0.24751025438308716,-0.02466387115418911,0.4668860137462616,0.20521578192710876,-0.0932740569114685,0.09380260109901428,0.2583107054233551,0.030560901388525963,0.0682407021522522,-0.055349186062812805,-0.0033128932118415833,0.021877259016036987
i am not sure why college is so challenging for me.,"['I know that I was put on this Earth to bedo something great. I can feel it, but I can not put my finger on it yet']","['i', 'am', 'not', 'sure', 'why', 'college', 'is', 'so', 'challenging', 'for', 'me', '.']",0,0,0,0,0,0,0,0.125,0.9444444444444444,0,0,2,2,0,0,1,2,1,-0.14376261830329895,0.18146969377994537,0.16376668214797974,0.12784625589847565,0.05330663546919823,-0.4040775001049042,0.2702736556529999,0.4671352207660675,-0.19712816178798676,-0.217113196849823,0.27973291277885437,-0.40041640400886536,-0.017378445714712143,0.16725105047225952,0.07933200150728226,0.0474737323820591,0.26598799228668213,-0.16437138617038727,-0.1277797371149063,-0.592617392539978,-0.05837024375796318,-0.025526046752929688,0.3033750653266907,-0.13619665801525116,-0.12020514160394669,0.038043003529310226,-0.2861095666885376,-0.010399666614830494,-0.16327624022960663,0.05713295936584473,0.35982900857925415,-0.03434762731194496,0.48459604382514954,-0.2422075718641281,0.10471842437982559,0.36620643734931946,0.18615207076072693,-0.010986118577420712,-0.03524494916200638,-0.29462891817092896,0.1032947525382042,-0.0716714933514595,-0.00670347036793828,-0.06577753275632858,0.12451917678117752,0.013316658325493336,-0.22120018303394318,0.10226818919181824,0.06274605542421341,0.22942262887954712,0.03561732918024063,-0.0695941224694252,-0.03652697056531906,-0.05455763265490532,0.022383110597729683,0.2194172888994217,0.11222720891237259,0.07883606106042862,-0.06964971870183945,0.13817662000656128,0.03586465120315552,-0.10464022308588028,0.10202854126691818,0.18653258681297302,-0.011330603621900082,0.38351109623908997,0.11994858086109161,0.20835047960281372,-0.29989221692085266,0.20300565659999847,0.012900343164801598,0.1856282651424408,0.11336220055818558,0.03918164595961571,0.5901758670806885,-0.15015192329883575,0.03544329106807709,0.02884790115058422,0.01631849817931652,-0.2654249370098114,-0.324876070022583,0.15852317214012146,-0.07593569159507751,0.17260026931762695,-0.34380218386650085,0.01519505400210619,0.29870444536209106,0.04876580089330673,0.19021263718605042,-0.0651019886136055,0.5083343982696533,0.20478849112987518,-0.08671262860298157,0.08468661457300186,0.20288997888565063,-0.06630302965641022,0.25961947441101074,-0.04549558460712433,-0.010357160121202469,0.04295595362782478
ive seen what good and bad doctors have done to people suffering from cancer and i would like to become someone that works in this field and treats their patients with care.,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care.'],"['ive', 'seen', 'what', 'good', 'and', 'bad', 'doctors', 'have', 'done', 'to', 'people', 'suffering', 'from', 'cancer', 'and', 'i', 'would', 'like', 'to', 'become', 'someone', 'that', 'works', 'in', 'this', 'field', 'and', 'treats', 'their', 'patients', 'with', 'care', '.']",0,0,0,0,0,0,1,5.551115123125783e-17,0.6333333333333333,0,0,8,0,6,1,0,3,3,-0.15006807446479797,0.1589139848947525,0.06657709926366806,0.0403217114508152,0.11801615357398987,-0.3352532386779785,0.162577822804451,0.4458438754081726,-0.16424725949764252,-0.20716655254364014,0.07983297109603882,-0.3008669912815094,-0.004845407325774431,0.16914208233356476,0.055230531841516495,-0.05005142465233803,0.1275233030319214,-0.1971282958984375,-0.08859632164239883,-0.4236499071121216,-0.022572766989469528,-0.07489281892776489,0.16490265727043152,-0.05144442617893219,-0.07185938209295273,0.04580139368772507,-0.1934371292591095,0.04613855853676796,-0.11803151667118073,0.04931464046239853,0.31624385714530945,0.03861641138792038,0.2292930632829666,-0.1394510120153427,0.01388774998486042,0.26337477564811707,0.13788585364818573,-0.004486112855374813,-0.10399690270423889,-0.204534649848938,0.062452107667922974,-0.06084949150681496,-0.03219226747751236,-0.048189278692007065,0.10535839945077896,0.016509443521499634,-0.13313260674476624,0.03885649889707565,0.0795006975531578,0.1809416264295578,0.00642674695700407,-0.06495237350463867,-0.0946689322590828,-0.05515708774328232,-0.017218388617038727,0.14968229830265045,0.10448333621025085,0.06937204301357269,-0.12174832075834274,0.12489329278469086,0.029793046414852142,-0.06159563362598419,0.10775251686573029,0.12334141880273819,-0.15574628114700317,0.2758100926876068,0.2314041405916214,0.1161193773150444,-0.2277706116437912,0.27037596702575684,0.04355591908097267,0.16200055181980133,0.17540213465690613,-0.015609870664775372,0.3624350428581238,-0.14073112607002258,-0.012020040303468704,0.05670706182718277,-0.033950839191675186,-0.15550273656845093,-0.2481515109539032,0.08211846649646759,-0.114137202501297,0.06386572122573853,-0.18627452850341797,-0.058383554220199585,0.2306428998708725,0.13456952571868896,0.2131815254688263,-0.04919689521193504,0.3673269748687744,0.1659380942583084,-0.01806425116956234,0.030146904289722443,0.19805312156677246,-0.03323576599359512,0.24625042080879211,-0.11906187981367111,-0.030528366565704346,0.08580978214740753
so id want to fund a course that would teach more computer science to kids either in a curriculum or at an after school program.,"['my side goal was to give back to low income communities that arent technologically advanced. Id want to teach kids how to program, code, and how to think because technology is going to be everywhere. The only tech course I had growing up was in middle school and I only learned how to type and navigate through a computer. So Id want to fund a course that would teach more computer science to kids either in a curriculum or at an after school program.']","['so', 'id', 'want', 'to', 'fund', 'a', 'course', 'that', 'would', 'teach', 'more', 'computer', 'science', 'to', 'kids', 'either', 'in', 'a', 'curriculum', 'or', 'at', 'an', 'after', 'school', 'program', '.']",1,1,0,1,0,0,0,0.5,0.5,0,0,6,2,3,3,0,2,3,-0.13656163215637207,0.17941372096538544,0.08265436440706253,0.05854158475995064,0.1396709531545639,-0.3918360769748688,0.18564562499523163,0.47009047865867615,-0.1978372186422348,-0.2016938328742981,0.14556458592414856,-0.3273431360721588,-0.007245426531881094,0.19677196443080902,0.05920900031924248,-0.01426426786929369,0.18002431094646454,-0.1109582781791687,-0.0966118797659874,-0.4819506108760834,0.01464398205280304,-0.07703898102045059,0.23081594705581665,-0.020582033321261406,-0.12734486162662506,0.08047094941139221,-0.1410464197397232,0.02853245846927166,-0.1961849331855774,0.07806326448917389,0.33117160201072693,0.0185837522149086,0.25823789834976196,-0.24004125595092773,0.034391649067401886,0.27918511629104614,0.12048163264989853,-0.012996654957532883,-0.06293007731437683,-0.2242233157157898,0.12946990132331848,-0.061589863151311874,-0.06701388955116272,0.03111233562231064,0.12077483534812927,0.02269877679646015,-0.1378462165594101,0.025797197595238686,0.11281704902648926,0.1588713377714157,0.05884677544236183,-0.07809912413358688,-0.047606006264686584,-0.11710146814584732,-0.024954652413725853,0.13907448947429657,0.060578372329473495,0.05615234375,-0.13197626173496246,0.08300357311964035,-0.04049649462103844,-0.07828343659639359,0.1100037470459938,0.13545024394989014,-0.15791405737400055,0.3556675910949707,0.2455662339925766,0.18444128334522247,-0.2818504273891449,0.2389070987701416,-0.04455970227718353,0.1814703494310379,0.1406991332769394,-0.01571240834891796,0.4603482186794281,-0.07279127091169357,-0.009533603675663471,0.10770797729492188,-0.02214776538312435,-0.16294707357883453,-0.2751992642879486,0.09145620465278625,-0.09158425778150558,0.10334809869527817,-0.2702822983264923,-0.04475950077176094,0.25659868121147156,0.04052634537220001,0.23746652901172638,-0.059740662574768066,0.4226718842983246,0.19742079079151154,0.021728897467255592,0.024475829675793648,0.19755740463733673,-0.04069162532687187,0.29324090480804443,-0.09255480021238327,-0.010365116409957409,0.10833162069320679
learn and apply my skills to progress towards my career goal.,"['Meet people who have (similar) aspirationsgoals', 'Network']","['learn', 'and', 'apply', 'my', 'skills', 'to', 'progress', 'towards', 'my', 'career', 'goal', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,2,0,0,0,0,-0.1573590338230133,0.23801608383655548,0.07979143410921097,-0.02868782915174961,0.23611965775489807,-0.44609296321868896,0.2706972062587738,0.5979111194610596,-0.20507845282554626,-0.3314490020275116,0.1856553554534912,-0.31200337409973145,-0.019327880814671516,0.23834680020809174,0.046850237995386124,0.016280777752399445,0.21346230804920197,-0.12093586474657059,-0.09426181763410568,-0.4983297288417816,-0.03894459828734398,-0.09280195087194443,0.2633623778820038,-0.023315031081438065,-0.07196076214313507,0.12080567330121994,-0.15429088473320007,0.13589352369308472,-0.1250811368227005,0.05496549978852272,0.36654865741729736,0.04147927090525627,0.2636605501174927,-0.21746331453323364,0.015595308504998684,0.31777188181877136,0.10164093971252441,-0.003304725978523493,-0.09935509413480759,-0.2226165235042572,0.13312500715255737,-0.08059120923280716,-0.06942474097013474,-0.04079224169254303,0.11554941534996033,-0.007879508659243584,-0.14985059201717377,0.036374643445014954,0.11010375618934631,0.19621077179908752,0.02192918211221695,-0.12978848814964294,-0.17669226229190826,-0.08847853541374207,-0.06313645094633102,0.11573993414640427,0.04466038569808006,0.05196870490908623,-0.09328236430883408,0.05837450176477432,0.030360417440533638,-0.19109053909778595,0.23809796571731567,0.16799293458461761,-0.18993312120437622,0.3632715046405792,0.33678683638572693,0.10436957329511642,-0.22502611577510834,0.29242679476737976,0.019375817850232124,0.1890784353017807,0.17784331738948822,0.05424424260854721,0.39805641770362854,-0.16126751899719238,-0.025394773110747337,0.04154008999466896,-0.013577908277511597,-0.12823696434497833,-0.27661094069480896,0.03848843276500702,-0.11981742084026337,-0.004598142113536596,-0.18862658739089966,-0.09129069000482559,0.3565290570259094,-0.04536419361829758,0.15789857506752014,-0.10534878075122833,0.3619421720504761,0.1468464732170105,0.05513421446084976,0.019844306632876396,0.15856881439685822,-0.10679271817207336,0.35459867119789124,-0.14084070920944214,-0.060144804418087006,0.16005676984786987
i am in san francisco state because i really love san francisco.,"['I like all the clubs the school has, the programs, and the internships', 'Another reason why I am in San Francisco state because some of my high school friends were also planning to attend the school.']","['i', 'am', 'in', 'san', 'francisco', 'state', 'because', 'i', 'really', 'love', 'san', 'francisco', '.']",0,0,0,0,0,0,0,0.5,0.6,0,0,6,1,1,0,0,1,2,-0.1599981188774109,0.04974408447742462,0.22337345778942108,0.22164808213710785,0.16196972131729126,-0.29502713680267334,0.24132893979549408,0.43107375502586365,-0.25553157925605774,-0.1513453871011734,0.31547507643699646,-0.38419631123542786,-0.0838542953133583,0.20833997428417206,0.10730700939893723,0.23876172304153442,0.23821495473384857,-0.12271421402692795,-0.29573240876197815,-0.6087531447410583,0.04593511298298836,0.18761993944644928,0.4315907061100006,-0.30006906390190125,-0.1651352494955063,0.09295984357595444,-0.06623996049165726,-0.27353718876838684,-0.34716054797172546,0.06751096248626709,0.4383024275302887,-0.006855071987956762,0.5558664798736572,-0.3231014907360077,0.1627628058195114,0.6163669228553772,0.23932774364948273,0.04092663899064064,-0.007142950315028429,-0.3359210789203644,0.20080752670764923,0.06718692928552628,-0.060293909162282944,0.07187581807374954,0.2069328874349594,-0.08131410926580429,-0.336735337972641,0.19359205663204193,0.22604908049106598,0.13710282742977142,0.0409599132835865,0.08358905464410782,-0.1303826868534088,-0.10724616050720215,0.10722701996564865,0.3575740158557892,0.11516693234443665,0.09022878855466843,-0.17004378139972687,0.16434088349342346,-0.1426209658384323,0.047009896486997604,0.25878965854644775,0.11827269196510315,-0.13434840738773346,0.333150714635849,0.23206476867198944,0.18212731182575226,-0.3161526620388031,0.19255153834819794,-0.09902653843164444,0.2197556048631668,0.039503127336502075,0.0628862977027893,0.6942234635353088,-0.1333140879869461,0.16270460188388824,0.0006675037438981235,-0.03981226310133934,-0.18490701913833618,-0.3339710533618927,0.23682235181331635,0.032332729548215866,0.10165602713823318,-0.5025377869606018,-0.046141136437654495,0.22264094650745392,-0.14952285587787628,0.28839588165283203,0.027896413579583168,0.6288673281669617,0.5154595971107483,0.06312493234872818,0.12703357636928558,0.19275127351284027,0.08581936359405518,0.1278151422739029,-0.13882434368133545,0.0029525216668844223,0.14720894396305084
