sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
i am excited to start this semester and overcome my challenges i face in this class.,['I am excited to start this semester and overcome my challenges I face in this class.'],"['i', 'am', 'excited', 'to', 'start', 'this', 'semester', 'and', 'overcome', 'my', 'challenges', 'i', 'face', 'in', 'this', 'class', '.']",0,0,0,0,0,0,0,0.375,0.75,0,0,4,0,3,2,0,0,1,-0.19879011809825897,0.1463213562965393,0.14676490426063538,0.050169140100479126,0.10604037344455719,-0.33854568004608154,0.24639594554901123,0.4811575412750244,-0.17942503094673157,-0.25330233573913574,0.15944035351276398,-0.33839672803878784,-0.06181388348340988,0.23551122844219208,0.00771395955234766,-0.0008831843733787537,0.19872136414051056,-0.11089616268873215,-0.10718963295221329,-0.47361335158348083,-0.016988541930913925,-2.9065704438835382e-05,0.285869836807251,-0.08884026855230331,-0.04663454368710518,0.03288155421614647,-0.16963261365890503,0.06465930491685867,-0.1872423142194748,0.07463538646697998,0.2695821225643158,-0.026051629334688187,0.38928359746932983,-0.2041892558336258,0.05747144669294357,0.300247460603714,0.1128898486495018,0.0029272297397255898,0.01769445277750492,-0.20471903681755066,0.15244938433170319,-0.058715999126434326,-0.03695079684257507,-0.04212891682982445,0.10270275175571442,-0.05008850619196892,-0.19440601766109467,0.09116388857364655,0.07869786024093628,0.26535749435424805,0.07285688817501068,-0.16716620326042175,-0.11729307472705841,-0.06208532676100731,0.03363269567489624,0.21453875303268433,0.1305668205022812,0.044508196413517,-0.07433874905109406,0.1173587292432785,-0.005389085039496422,-0.11598057299852371,0.1278589814901352,0.16713866591453552,-0.07439742982387543,0.36754482984542847,0.2279047816991806,0.25288912653923035,-0.29551801085472107,0.2606707513332367,0.04073726758360863,0.23473745584487915,0.1924748420715332,0.002555486746132374,0.558221697807312,-0.10804831236600876,0.047103118151426315,-0.022516479715704918,-0.01540454663336277,-0.1973099410533905,-0.33814525604248047,0.1576884388923645,-0.07142552733421326,0.12073066830635071,-0.2787036597728729,-0.04446076229214668,0.25015413761138916,-0.05847708135843277,0.1596447378396988,-0.017957007512450218,0.441100537776947,0.21627172827720642,-0.00508467759937048,0.04222816601395607,0.2501910626888275,-0.034051842987537384,0.30234435200691223,-0.08394433557987213,-0.003517255187034607,0.1454838365316391
"at first, i never understood what my major had to do with physics and why i even have to take it.",['This class will help me in depth of why everything happens the way it does. I no longer hate math or physics and i have learned to cope with them. I am now taking this class for my learning as well as for my major and i hope to do well in them. i try to do my absolute best and will continue trying to get good grades.'],"['at', 'first', ',', 'i', 'never', 'understood', 'what', 'my', 'major', 'had', 'to', 'do', 'with', 'physics', 'and', 'why', 'i', 'even', 'have', 'to', 'take', 'it', '.']",1,1,0,1,0,0,0,0.15625,0.41666666666666663,0,0,1,2,3,0,1,4,2,-0.13822534680366516,0.1576172262430191,0.17673242092132568,0.12079416215419769,0.09355314821004868,-0.35301774740219116,0.2203100472688675,0.5283350348472595,-0.18818269670009613,-0.25269559025764465,0.18826034665107727,-0.39425286650657654,-0.040576592087745667,0.21700641512870789,0.02405741438269615,0.0030037795659154654,0.21895278990268707,-0.14369824528694153,-0.17545606195926666,-0.5805833339691162,-0.015277686528861523,-0.05217750743031502,0.23176038265228271,-0.07810661941766739,-0.12204135209321976,0.009281712584197521,-0.21997421979904175,0.05899415165185928,-0.1702692061662674,0.02897634170949459,0.22164028882980347,0.010379192419350147,0.36831003427505493,-0.21560192108154297,0.0430486723780632,0.34992173314094543,0.19882388412952423,-0.0304123368114233,-0.040268704295158386,-0.22550630569458008,0.1046348437666893,-0.07190227508544922,-0.04426493123173714,0.024379877373576164,0.16557429730892181,0.06413757801055908,-0.18026962876319885,0.03700731694698334,0.054388295859098434,0.25358158349990845,0.05983851104974747,-0.13014930486679077,-0.07059674710035324,-0.03883255273103714,0.011594404466450214,0.2216343879699707,0.0993029847741127,0.05605848506093025,-0.11719411611557007,0.1433824747800827,0.0291664507240057,-0.04512523487210274,0.08098245412111282,0.14032213389873505,-0.08194888383150101,0.32355397939682007,0.14029443264007568,0.25511434674263,-0.2787232995033264,0.22779400646686554,-0.0023151887580752373,0.21056310832500458,0.1712850034236908,-0.0013996183406561613,0.536137044429779,-0.11234770715236664,0.03139028698205948,0.047800175845623016,-0.002397997071966529,-0.2051883488893509,-0.30742210149765015,0.15063583850860596,-0.12053541094064713,0.1628880649805069,-0.3329388201236725,0.024565842002630234,0.2630077004432678,0.035666413605213165,0.218048095703125,-0.06197569519281387,0.48366913199424744,0.23149481415748596,-0.03780688717961311,0.0794595256447792,0.27145418524742126,-0.021273504942655563,0.20553067326545715,-0.07257460057735443,-0.04958648979663849,0.09129481762647629
im here of all the mistakes that i have taken and i learned from.,"[""I'm here because of all the mistakes I have taken and learned from.""]","['im', 'here', 'of', 'all', 'the', 'mistakes', 'that', 'i', 'have', 'taken', 'and', 'i', 'learned', 'from', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,3,1,2,1,0,1,3,-0.17795147001743317,0.11812404543161392,0.13203489780426025,0.0767255648970604,0.09771128743886948,-0.29553207755088806,0.1894024908542633,0.471833199262619,-0.2252570241689682,-0.22414351999759674,0.10069853067398071,-0.3233802318572998,-0.041521113365888596,0.21142268180847168,0.03295345976948738,-0.03766527399420738,0.15980137884616852,-0.19397087395191193,-0.1612202376127243,-0.557754635810852,-0.013077626936137676,-0.043673280626535416,0.2259347140789032,-0.141412615776062,-0.06454459577798843,0.008427557535469532,-0.2145572155714035,0.06976615637540817,-0.17281237244606018,0.045487191528081894,0.260788232088089,0.037962257862091064,0.3409661650657654,-0.14709533751010895,0.035827118903398514,0.35937830805778503,0.12490542978048325,0.03504307195544243,-0.060394011437892914,-0.22655346989631653,0.125854954123497,-0.11515798419713974,-0.03446447104215622,-0.054384034126996994,0.17498552799224854,0.02116292156279087,-0.22582249343395233,0.07319669425487518,0.06553913652896881,0.22466370463371277,0.066557876765728,-0.09489752352237701,-0.1079147681593895,-0.028012100607156754,-0.03448916971683502,0.21112482249736786,0.08068670332431793,-0.009261521510779858,-0.10796253383159637,0.11563790589570999,0.053109973669052124,-0.04258483648300171,0.11636432260274887,0.16417823731899261,-0.0963108167052269,0.29991912841796875,0.15580283105373383,0.22396428883075714,-0.2666023373603821,0.1935809999704361,0.05369778349995613,0.2304563671350479,0.1331728994846344,0.0028092062566429377,0.5056318044662476,-0.10608892142772675,0.052459683269262314,0.02777954563498497,-0.005147872027009726,-0.1366184651851654,-0.2915118336677551,0.12904025614261627,-0.09375938028097153,0.1533297449350357,-0.29365596175193787,0.003640679409727454,0.2636842429637909,0.09401686489582062,0.20208100974559784,-0.0344667062163353,0.44078534841537476,0.23482052981853485,-0.04178761690855026,0.012572224251925945,0.3126097619533539,-0.00755937909707427,0.25593405961990356,-0.13276349008083344,-0.046941787004470825,0.10640762001276016
"i have a really hard time remembering the steps to doing certain problems and i have to look back on notes to be able to do them so, i hope with the extra support that i will be getting in the class will help me improve on remembering the steps and not have to refer back to my notes too much.","['I have a really hard time remembering the steps to doing certain problems and I have to look back on notes to be able to do them so, I hope with the extra support that I will be getting in the class will help me improve on remembering the steps and not have to refer back to my notes too much.']","['i', 'have', 'a', 'really', 'hard', 'time', 'remembering', 'the', 'steps', 'to', 'doing', 'certain', 'problems', 'and', 'i', 'have', 'to', 'look', 'back', 'on', 'notes', 'to', 'be', 'able', 'to', 'do', 'them', 'so', ',', 'i', 'hope', 'with', 'the', 'extra', 'support', 'that', 'i', 'will', 'be', 'getting', 'in', 'the', 'class', 'will', 'help', 'me', 'improve', 'on', 'remembering', 'the', 'steps', 'and', 'not', 'have', 'to', 'refer', 'back', 'to', 'my', 'notes', 'too', 'much', '.']",0,0,0,0,0,0,0,0.08894557823129252,0.2911564625850341,0,0,11,7,12,5,2,5,5,-0.16635963320732117,0.187563955783844,0.08680687099695206,0.04438653960824013,0.13089106976985931,-0.3737344443798065,0.2051728069782257,0.5322023034095764,-0.1719760298728943,-0.29091912508010864,0.11411569267511368,-0.3423963487148285,-0.020842939615249634,0.23153918981552124,0.05618124455213547,-0.055104147642850876,0.16647718846797943,-0.193339541554451,-0.1139962375164032,-0.4915851056575775,-0.035334087908267975,-0.08040089160203934,0.19412726163864136,-0.05018629506230354,-0.06766805797815323,0.025245260447263718,-0.2188548743724823,0.11492528766393661,-0.11324818432331085,0.06266147643327713,0.3145664632320404,0.006535140797495842,0.2785276770591736,-0.15288302302360535,0.030179491266608238,0.25083690881729126,0.1552683413028717,0.020681628957390785,-0.06631112843751907,-0.1911582499742508,0.07021589577198029,-0.05036703124642372,-0.03681742772459984,-0.05851297080516815,0.09218306094408035,0.014875352382659912,-0.1396760791540146,0.04905577003955841,0.04985921457409859,0.23277050256729126,-0.01839068904519081,-0.11803889274597168,-0.0998029038310051,-0.048543669283390045,0.01643611676990986,0.17025615274906158,0.1211690902709961,0.0812976211309433,-0.09311530739068985,0.1438577026128769,0.05430171638727188,-0.10347811132669449,0.12131237983703613,0.1430245190858841,-0.1356756091117859,0.33281195163726807,0.23704569041728973,0.1656174212694168,-0.2624257504940033,0.3113662302494049,0.04869234934449196,0.18491242825984955,0.2248091697692871,-0.0198567695915699,0.4365946352481842,-0.1632521003484726,0.0012160163605585694,0.04753560200333595,-0.03316090628504753,-0.19021368026733398,-0.28847363591194153,0.08658898621797562,-0.1338350623846054,0.08566852658987045,-0.20757688581943512,-0.056879688054323196,0.24732546508312225,0.08302707225084305,0.21234045922756195,-0.05875115469098091,0.39371979236602783,0.1547890305519104,-0.011236815713346004,0.03476027771830559,0.22139520943164825,-0.05581730604171753,0.2599581480026245,-0.09221554547548294,-0.028342587873339653,0.10697543621063232
the meaning of life?,"['To learn because I have to, but also to learn because I want to survive and move forward with newly acquired knowledge.']","['the', 'meaning', 'of', 'life', '?']",0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,1,0,0,1,-0.18527942895889282,0.1890147626399994,0.09237705171108246,-0.035144031047821045,0.1497037708759308,-0.3352201581001282,0.12853257358074188,0.4152747690677643,-0.22891253232955933,-0.16688282787799835,0.06363769620656967,-0.30293211340904236,-0.01948024146258831,0.18000105023384094,0.002728487830609083,-0.052999094128608704,0.03956522047519684,-0.21198174357414246,-0.10969259589910507,-0.4783515930175781,-0.13287189602851868,-0.0904875323176384,0.19062504172325134,-0.22570890188217163,-0.0297752246260643,0.05220378190279007,-0.20067471265792847,-0.000990570755675435,-0.14097537100315094,0.024589598178863525,0.31335508823394775,0.10202015191316605,0.23606783151626587,-0.11978353559970856,0.02412121556699276,0.4057895541191101,0.022189052775502205,-0.01963985711336136,-0.12176568806171417,-0.3347788453102112,0.09982278943061829,-0.20422571897506714,-0.05196184664964676,-0.08428716659545898,0.1823921799659729,0.011491252109408379,-0.21332401037216187,0.098539799451828,0.04885854572057724,0.1647050976753235,0.07762300968170166,-0.07494128495454788,-0.05978555232286453,-0.03246285021305084,-0.11165586113929749,0.17310401797294617,0.06712443381547928,-0.027786582708358765,-0.07193368673324585,0.05085010081529617,0.17039772868156433,-0.14644667506217957,0.14228171110153198,0.15512554347515106,-0.16149818897247314,0.28517401218414307,0.24149949848651886,0.1648603230714798,-0.2573885917663574,0.24275580048561096,0.1395438015460968,0.1926051825284958,0.18671919405460358,0.14695855975151062,0.3283405900001526,-0.08378469944000244,0.004883636254817247,-0.04074077308177948,0.0032272860407829285,-0.0725204199552536,-0.21848724782466888,0.056164246052503586,-0.1453111469745636,0.07309599220752716,-0.11235617846250534,-0.06209537014365196,0.2713918387889862,0.19001001119613647,0.1883174031972885,-0.006770811975002289,0.3055334985256195,0.23689648509025574,-0.05384795367717743,-0.01478979829698801,0.30715176463127136,-0.02246868796646595,0.31071755290031433,-0.21394526958465576,-0.02615087665617466,0.02701520547270775
"i am here taking physics 230 because my experiences in physics 220 last semester were satisfactory and i find some interest in the subject, even if said interest isn't too much.","['Physics is a class that often can have a negative stigma surrounding it, especially given how abstract the concepts can get, but I am nonetheless interested in the content and try to keep an open mind as I study it.']","['i', 'am', 'here', 'taking', 'physics', '230', 'because', 'my', 'experiences', 'in', 'physics', '220', 'last', 'semester', 'were', 'satisfactory', 'and', 'i', 'find', 'some', 'interest', 'in', 'the', 'subject', ',', 'even', 'if', 'said', 'interest', 'is', ""n't"", 'too', 'much', '.']",2,2,0,2,0,0,0,0.011111111111111118,0.19999999999999998,0,0,8,4,3,2,0,4,4,-0.17288553714752197,0.15022340416908264,0.1398332417011261,0.0679682120680809,0.07895752787590027,-0.3043457865715027,0.22627116739749908,0.4569251835346222,-0.2191198617219925,-0.2137106955051422,0.11854734271764755,-0.3718092441558838,-0.016486505046486855,0.20446258783340454,0.030396822839975357,-0.07905814051628113,0.16348324716091156,-0.12329407781362534,-0.12150007486343384,-0.523591160774231,-0.034858640283346176,-0.06507338583469391,0.21751056611537933,-0.09489325433969498,-0.06369158625602722,0.008182218298316002,-0.20316217839717865,0.03883577138185501,-0.18998005986213684,0.0627296045422554,0.21334423124790192,-0.013103737495839596,0.3445899188518524,-0.19587837159633636,0.016517197713255882,0.31083595752716064,0.13306379318237305,0.0023673216346651316,-0.019847985357046127,-0.2581023573875427,0.153423011302948,-0.13480889797210693,-0.044323280453681946,0.01777047850191593,0.145326629281044,0.016831498593091965,-0.19121702015399933,0.04212386533617973,0.06394687294960022,0.24230292439460754,0.09727885574102402,-0.1620357781648636,-0.07062380760908127,-0.05846112221479416,-0.03326902166008949,0.18760240077972412,0.09446118026971817,0.015329086221754551,-0.1111992821097374,0.10339731723070145,0.03607184439897537,-0.07761559635400772,0.09068126976490021,0.1478029042482376,-0.062321148812770844,0.3146821856498718,0.09887957572937012,0.30500009655952454,-0.270384281873703,0.16800697147846222,0.03805787116289139,0.25096210837364197,0.18387898802757263,0.007650360465049744,0.5323339104652405,-0.07493634521961212,0.057200025767087936,0.010224047116935253,-0.020623963326215744,-0.1647694706916809,-0.2841814160346985,0.12843777239322662,-0.11297016590833664,0.16472719609737396,-0.32998836040496826,-0.009891379624605179,0.24099688231945038,0.04755416139960289,0.20401841402053833,-0.07237038016319275,0.4766952693462372,0.22729012370109558,-0.04841168224811554,0.049462590366601944,0.3104080259799957,0.017686067149043083,0.3001084625720978,-0.09295035153627396,-0.015974462032318115,0.06395801156759262
"life does seem to continue to throw obstacles my way, but i believe anything is possible when i try.","['Life does seem to continue to throw obstacles my way, but I believe anything is possible when I try.']","['life', 'does', 'seem', 'to', 'continue', 'to', 'throw', 'obstacles', 'my', 'way', ',', 'but', 'i', 'believe', 'anything', 'is', 'possible', 'when', 'i', 'try', '.']",0,0,0,0,0,0,0,-0.025,0.5,0,0,5,0,3,0,0,2,0,-0.14398449659347534,0.17591559886932373,0.08918497711420059,0.0639871209859848,0.08205089718103409,-0.38329699635505676,0.20332325994968414,0.4749946594238281,-0.17677971720695496,-0.24174165725708008,0.14741714298725128,-0.3436470329761505,-0.02110765129327774,0.18406757712364197,0.03981819003820419,3.062345422222279e-05,0.1655116230249405,-0.17772741615772247,-0.11898862570524216,-0.4749777019023895,-0.046852994710206985,-0.07713601738214493,0.20992738008499146,-0.07382140308618546,-0.07585815340280533,0.034466952085494995,-0.22668412327766418,0.030221911147236824,-0.10185200721025467,0.05454932525753975,0.3239894509315491,0.037984780967235565,0.3061138987541199,-0.18320494890213013,0.04310931637883186,0.3017559349536896,0.16727422177791595,-0.021002791821956635,-0.08576761186122894,-0.25678694248199463,0.061577294021844864,-0.06526923179626465,-0.0193332489579916,-0.06613682955503464,0.10166420787572861,0.018000174313783646,-0.157914400100708,0.05533989518880844,0.060852814465761185,0.2009541094303131,-0.021854165941476822,-0.07859611511230469,-0.07498161494731903,-0.02877693995833397,0.03476743400096893,0.17525240778923035,0.12184746563434601,0.0759509950876236,-0.09844296425580978,0.1456238180398941,0.051493436098098755,-0.08643574267625809,0.0801306739449501,0.12876348197460175,-0.12268878519535065,0.3200709819793701,0.22633130848407745,0.14620742201805115,-0.24480919539928436,0.2749457061290741,0.05317540466785431,0.15353229641914368,0.19312362372875214,0.02006560191512108,0.4337919056415558,-0.16524654626846313,-0.006091481540352106,0.04786815494298935,-0.019908234477043152,-0.19701524078845978,-0.2685370147228241,0.11467444151639938,-0.10195732861757278,0.10107623785734177,-0.2218884378671646,-0.039866749197244644,0.2604423761367798,0.11751919239759445,0.20611979067325592,-0.059193823486566544,0.40293097496032715,0.18075084686279297,-0.042764436453580856,0.04966629669070244,0.19214990735054016,-0.03873232752084732,0.2149786651134491,-0.12751685082912445,-0.03556029126048088,0.09783642739057541
but then i found out about this sci class and the first day i learned more than what he had taught.,['Then when I would get to the homework I was lost and got discourage so I didnt turn in the homework. But then I found out about this sci class and the first day I learned more than what he had taught. I am here because I know I can understand with a little extra help. Asking questions is the main way to succeed and practicing math problems makes you succeed.'],"['but', 'then', 'i', 'found', 'out', 'about', 'this', 'sci', 'class', 'and', 'the', 'first', 'day', 'i', 'learned', 'more', 'than', 'what', 'he', 'had', 'taught', '.']",0,0,0,0,0,0,0,0.375,0.41666666666666663,0,0,2,1,6,2,1,3,2,-0.17099374532699585,0.11873799562454224,0.08941712975502014,0.06287411600351334,0.08314592391252518,-0.30852290987968445,0.20845110714435577,0.5073556303977966,-0.1983111947774887,-0.22877094149589539,0.11598370224237442,-0.38595080375671387,-0.03632078692317009,0.25012561678886414,-0.008206285536289215,-0.09000242501497269,0.1665056049823761,-0.17213493585586548,-0.11922912299633026,-0.5352963209152222,-0.0393064022064209,-0.08922236412763596,0.16248029470443726,-0.11775611340999603,-0.05514005199074745,-0.020936382934451103,-0.23297001421451569,0.05694274231791496,-0.18456833064556122,0.03851135075092316,0.2727872431278229,0.014336751773953438,0.3376956880092621,-0.16109871864318848,0.013275816105306149,0.3311140537261963,0.15348805487155914,-0.018890192732214928,-0.05599439889192581,-0.2499202936887741,0.08925265818834305,-0.10200709104537964,-0.016356006264686584,-0.03946099802851677,0.166355162858963,0.013243066146969795,-0.17744146287441254,0.04900633543729782,0.04525012895464897,0.257929265499115,0.05548878014087677,-0.13357879221439362,-0.05967487022280693,-0.026866938918828964,0.017528383061289787,0.20994623005390167,0.11827709525823593,0.045741502195596695,-0.09538284689188004,0.12065180391073227,0.05075685679912567,-0.0711827427148819,0.09277243912220001,0.14741480350494385,-0.10570573806762695,0.292520672082901,0.13062289357185364,0.28251853585243225,-0.24131958186626434,0.2482656091451645,0.08567192405462265,0.23067742586135864,0.18701307475566864,0.016238635405898094,0.5071900486946106,-0.09947789460420609,0.05388656258583069,0.019214069470763206,-0.02426326833665371,-0.17749521136283875,-0.29889336228370667,0.14608746767044067,-0.13199642300605774,0.18137948215007782,-0.27573809027671814,-0.02800126001238823,0.24661007523536682,0.09651608765125275,0.21629711985588074,-0.021980592980980873,0.4635700583457947,0.24385643005371094,-0.054585546255111694,0.03367365524172783,0.2951626479625702,0.006862682290375233,0.25456053018569946,-0.08202416449785233,0.0025747541803866625,0.07709435373544693
school has always been hard for me but i'm determined to do well even though it's taking me a bit longer than everyone else.,"[""School has always been hard for me but i'm determined to do well even though it's taking me a bit longer than everyone else.""]","['school', 'has', 'always', 'been', 'hard', 'for', 'me', 'but', 'i', ""'m"", 'determined', 'to', 'do', 'well', 'even', 'though', 'it', ""'s"", 'taking', 'me', 'a', 'bit', 'longer', 'than', 'everyone', 'else', '.']",0,0,0,0,0,0,0,-0.2916666666666667,0.5416666666666666,0,0,3,5,4,1,3,2,3,-0.05207790806889534,0.17300303280353546,0.08944728970527649,0.10757052153348923,0.08146686851978302,-0.36219432950019836,0.2083812952041626,0.5438849329948425,-0.18603311479091644,-0.2126520425081253,0.16572265326976776,-0.39314451813697815,0.017248306423425674,0.17011721432209015,-0.012259003706276417,-0.07840988039970398,0.19261878728866577,-0.10772687196731567,-0.09164819121360779,-0.4947321116924286,-0.04253241419792175,-0.1648251712322235,0.09941505640745163,0.01243127603083849,-0.1427859663963318,-0.007808660622686148,-0.23658688366413116,0.08226792514324188,-0.14350968599319458,0.014033175073564053,0.24752002954483032,0.030734963715076447,0.3055431544780731,-0.18702955543994904,0.027608394622802734,0.28202110528945923,0.20534895360469818,-0.06560707092285156,-0.10088168829679489,-0.25956326723098755,0.07630039006471634,-0.10238659381866455,-0.024314148351550102,-0.008206261321902275,0.14458893239498138,0.07674172520637512,-0.13009048998355865,0.01918414793908596,0.022141171619296074,0.20278656482696533,0.005825905594974756,-0.13125358521938324,0.016960160806775093,-0.03963558003306389,-0.018914876505732536,0.1734226793050766,0.058849845081567764,0.06704182177782059,-0.06637400388717651,0.08802881091833115,0.03614107146859169,-0.07047625631093979,0.04807060956954956,0.15123139321804047,-0.1355375200510025,0.34413203597068787,0.14484716951847076,0.23993097245693207,-0.2522831857204437,0.20274977385997772,0.023805631324648857,0.1834733635187149,0.17176516354084015,-0.02377495728433132,0.4647998809814453,-0.07240504771471024,-0.022048750892281532,0.11157350987195969,-0.05290961265563965,-0.18979650735855103,-0.27172669768333435,0.12543807923793793,-0.0896734967827797,0.190435528755188,-0.26989924907684326,0.04541867598891258,0.29312509298324585,0.13434655964374542,0.2406349927186966,-0.09386371821165085,0.44480881094932556,0.17037707567214966,-0.05330001935362816,0.08199728280305862,0.21232450008392334,-0.06621133536100388,0.22677548229694366,-0.05998784303665161,-0.005265952553600073,0.07341406494379044
being in this instituion will pave a way for me to become a professional.,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']","['being', 'in', 'this', 'instituion', 'will', 'pave', 'a', 'way', 'for', 'me', 'to', 'become', 'a', 'professional', '.']",0,0,0,0,0,0,0,0.1,0.1,0,0,2,0,3,3,1,1,2,-0.10088061541318893,0.19942303001880646,0.07108817994594574,0.009169015102088451,0.15417811274528503,-0.3585958778858185,0.1804397851228714,0.43379560112953186,-0.15317097306251526,-0.21821081638336182,0.12671396136283875,-0.2729521691799164,-0.005141862202435732,0.16440293192863464,0.04583198204636574,-0.02948341704905033,0.1498265117406845,-0.07679789513349533,-0.008285360410809517,-0.36698856949806213,-0.04641949012875557,-0.09868554025888443,0.2121911197900772,0.01448166836053133,-0.0682888776063919,0.08836374431848526,-0.17411653697490692,0.10134966671466827,-0.13991960883140564,0.08339287340641022,0.2716050148010254,0.00886487029492855,0.2536989450454712,-0.18139226734638214,0.06272517889738083,0.21068157255649567,0.08496375381946564,0.014790882356464863,-0.07515688240528107,-0.1894877851009369,0.12348798662424088,-0.07780049741268158,-0.07634034007787704,-0.00817682035267353,0.0687902495265007,-0.01903316006064415,-0.13847193121910095,0.07217556983232498,0.07908167690038681,0.17281970381736755,0.043584827333688736,-0.13324707746505737,-0.07078014314174652,-0.1037997230887413,-0.06450846791267395,0.12719662487506866,0.03874604031443596,0.04729351028800011,-0.05200423672795296,0.07437407970428467,-0.008443008176982403,-0.1689838021993637,0.1419481784105301,0.17684440314769745,-0.11706064641475677,0.3566727936267853,0.2740059792995453,0.16032373905181885,-0.2740108072757721,0.24531663954257965,0.013676367700099945,0.1781446933746338,0.1556663066148758,-0.0018360648537054658,0.4014153778553009,-0.08005356043577194,-0.0379377044737339,0.045605894178152084,-0.023410143330693245,-0.17919610440731049,-0.26479047536849976,0.062257200479507446,-0.06213351711630821,0.03757161274552345,-0.21048319339752197,-0.04460001364350319,0.2928211987018585,0.023158082738518715,0.17351174354553223,-0.0870019868016243,0.3833688199520111,0.12767794728279114,-0.0061547779478132725,0.04067081958055496,0.15080514550209045,-0.1140701100230217,0.3569772243499756,-0.07966039329767227,-0.00176908983848989,0.10406968742609024
