sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
"i am a first generation college student, thus the whole college application process and requirements were new to me.",['I am a first generation college student'],"['i', 'am', 'a', 'first', 'generation', 'college', 'student', ',', 'thus', 'the', 'whole', 'college', 'application', 'process', 'and', 'requirements', 'were', 'new', 'to', 'me', '.']",0,0,0,0,1,1,0,0.19545454545454546,0.395959595959596,0,0,8,1,1,2,1,3,0,-0.10966845601797104,0.1620500534772873,0.10550214350223541,0.05647565796971321,0.14388640224933624,-0.37104806303977966,0.19071748852729797,0.49444323778152466,-0.20939211547374725,-0.20842723548412323,0.18796707689762115,-0.33357903361320496,-0.02226279303431511,0.2118380218744278,0.00510722491890192,0.04222245141863823,0.19635063409805298,-0.11456944048404694,-0.10326230525970459,-0.49900302290916443,-0.0335443913936615,-0.06361991167068481,0.25700750946998596,-0.11089875549077988,-0.12271182239055634,0.06546368449926376,-0.15088649094104767,0.0025239146780222654,-0.1878213733434677,0.05875164642930031,0.34676623344421387,0.052986886352300644,0.33769404888153076,-0.21464937925338745,0.05764733627438545,0.3715463876724243,0.09452472627162933,-0.04649658128619194,-0.05919809639453888,-0.2699485421180725,0.1380055546760559,-0.07280100882053375,-0.043749820441007614,-0.02436733804643154,0.16201308369636536,0.005308943334966898,-0.20003336668014526,0.044151097536087036,0.06462182104587555,0.1760726273059845,0.04765263572335243,-0.08266546577215195,-0.08118227124214172,-0.054236043244600296,0.0011914258357137442,0.17995579540729523,0.0678875669836998,0.06595246493816376,-0.077914297580719,0.07786622643470764,-0.01519774179905653,-0.11666921526193619,0.1296767145395279,0.1544700562953949,-0.15772990882396698,0.33894041180610657,0.26287657022476196,0.18219618499279022,-0.26375073194503784,0.2355644851922989,-0.011151744984090328,0.1801348328590393,0.11895346641540527,0.051748111844062805,0.46835553646087646,-0.07524005323648453,0.01107949111610651,0.027852429077029228,-0.031287793070077896,-0.13973088562488556,-0.2829066514968872,0.1413382887840271,-0.06654725223779678,0.12379290908575058,-0.24041175842285156,-0.029394544661045074,0.27393388748168945,0.025881988927721977,0.1889760047197342,-0.04325592517852783,0.3803789019584656,0.2434389740228653,0.010044801980257034,0.035343609750270844,0.19842509925365448,-0.05889059975743294,0.2696208357810974,-0.11315562576055527,0.0013386363862082362,0.12984955310821533
"i decided when i was younger that i wanted to be able to live a comfortable lifestyle when i am older and so in order to do that i have to get a job that i not only love, but also will be able to support myself and my future family.","['I decided when I was younger that I wanted to be able to live a comfortable lifestyle when I am older and so in order to do that I have to get a job that I not only love, but also will be able to support myself and my future family.']","['i', 'decided', 'when', 'i', 'was', 'younger', 'that', 'i', 'wanted', 'to', 'be', 'able', 'to', 'live', 'a', 'comfortable', 'lifestyle', 'when', 'i', 'am', 'older', 'and', 'so', 'in', 'order', 'to', 'do', 'that', 'i', 'have', 'to', 'get', 'a', 'job', 'that', 'i', 'not', 'only', 'love', ',', 'but', 'also', 'will', 'be', 'able', 'to', 'support', 'myself', 'and', 'my', 'future', 'family', '.']",0,0,0,0,0,0,1,0.2447811447811448,0.5120370370370371,0,0,9,4,10,2,1,6,4,-0.16517506539821625,0.17975793778896332,0.10289067775011063,0.08060044795274734,0.11270345747470856,-0.4154449999332428,0.22841712832450867,0.5467943549156189,-0.17698757350444794,-0.29403427243232727,0.17672671377658844,-0.3608439862728119,-0.03804052248597145,0.2327391356229782,0.04447267949581146,0.025973692536354065,0.21862919628620148,-0.19118967652320862,-0.13009780645370483,-0.5364106893539429,-0.010235583409667015,-0.05918167904019356,0.2579633891582489,-0.03505812957882881,-0.10870569199323654,0.04520703852176666,-0.20899301767349243,0.07071702182292938,-0.1463288813829422,0.06470564007759094,0.37303000688552856,0.008447583764791489,0.3383078873157501,-0.19376683235168457,0.0601840615272522,0.2898375689983368,0.18131420016288757,0.01486347708851099,-0.0642995834350586,-0.19310638308525085,0.0835590586066246,-0.005685262847691774,-0.0504373200237751,-0.0558016411960125,0.1031179204583168,-0.0009172404534183443,-0.15718035399913788,0.07628689706325531,0.08378131687641144,0.23319165408611298,-0.02552168071269989,-0.0852639228105545,-0.09430750459432602,-0.05180874839425087,0.05397799611091614,0.2000362128019333,0.1264761984348297,0.09493312984704971,-0.09567168354988098,0.14335986971855164,0.005244871135801077,-0.0999513790011406,0.12302777916193008,0.1523229330778122,-0.11801286786794662,0.35410457849502563,0.26684293150901794,0.14394137263298035,-0.2646588385105133,0.30714288353919983,0.01225210726261139,0.16800439357757568,0.1754867136478424,-0.019819239154458046,0.4838445782661438,-0.16086030006408691,0.007808200083673,0.06425155699253082,-0.010070597752928734,-0.2314624935388565,-0.3205326795578003,0.11293304711580276,-0.08705895394086838,0.08565708994865417,-0.25073763728141785,-0.05746626853942871,0.28035968542099,0.03693195804953575,0.205362468957901,-0.048531219363212585,0.4097115397453308,0.18163494765758514,-0.004193322267383337,0.05181796848773956,0.16277943551540375,-0.0796949714422226,0.2364334613084793,-0.08357608318328857,-0.01727556250989437,0.15320460498332977
im here because i know that this is the start of everything i want to accomplish.,['That everything I do with my life will not only help my family but everyone in my community.'],"['im', 'here', 'because', 'i', 'know', 'that', 'this', 'is', 'the', 'start', 'of', 'everything', 'i', 'want', 'to', 'accomplish', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,5,1,1,2,0,0,3,-0.2202794849872589,0.17766173183918,0.12834692001342773,0.09266432374715805,0.10586653649806976,-0.36968761682510376,0.21910135447978973,0.43443214893341064,-0.19262978434562683,-0.2360459268093109,0.18645042181015015,-0.3460047245025635,-0.06555105745792389,0.19340895116329193,0.09402012825012207,0.021874848753213882,0.18587756156921387,-0.17933762073516846,-0.16644112765789032,-0.5720332860946655,-0.056163594126701355,0.00011056428775191307,0.3193727731704712,-0.15713101625442505,-0.03784802556037903,0.0563545897603035,-0.26908543705940247,0.02087690308690071,-0.15520955622196198,0.08008628338575363,0.3314862549304962,0.011336160823702812,0.41057851910591125,-0.19745418429374695,0.09061312675476074,0.3598136305809021,0.1700020134449005,0.07491865754127502,-0.029479049146175385,-0.2520632743835449,0.10158339887857437,-0.06148393452167511,-0.04306921362876892,-0.0635068416595459,0.11191333830356598,0.0010916541796177626,-0.1913074105978012,0.12729781866073608,0.09413323551416397,0.2211795598268509,0.03023245930671692,-0.08387216180562973,-0.07838845998048782,-0.04123852774500847,0.001997662940993905,0.2074068933725357,0.10975324362516403,0.034994713962078094,-0.10187935084104538,0.1654634028673172,0.06858517229557037,-0.08878893405199051,0.16230803728103638,0.16656528413295746,-0.022479012608528137,0.3298001289367676,0.21303117275238037,0.20948679745197296,-0.3051019608974457,0.2627668082714081,0.054699260741472244,0.2063320428133011,0.1446017175912857,0.04814039543271065,0.5311864018440247,-0.1725584864616394,0.04749252274632454,-0.002651285845786333,0.02519042417407036,-0.25943246483802795,-0.3216458559036255,0.14118847250938416,-0.09425998479127884,0.11813034117221832,-0.31010040640830994,-0.03878386318683624,0.2976914048194885,0.03060099482536316,0.1917286217212677,-0.045505765825510025,0.48598092794418335,0.23853212594985962,-0.03997425362467766,0.04116073250770569,0.2482454627752304,-0.04290184751152992,0.27713072299957275,-0.10974667966365814,-0.051434628665447235,0.09962636232376099
"to prove to myself that i am capable of more than is expected of me as a latina, woman of color.",['I am here to make my familys sacrifices worth it.'],"['to', 'prove', 'to', 'myself', 'that', 'i', 'am', 'capable', 'of', 'more', 'than', 'is', 'expected', 'of', 'me', 'as', 'a', 'latina', ',', 'woman', 'of', 'color', '.']",0,0,0,0,0,0,0,0.19999999999999998,0.43333333333333335,0,0,4,0,3,1,1,2,6,-0.15976384282112122,0.1739053726196289,0.12419793754816055,0.06240352988243103,0.09308461099863052,-0.3421626687049866,0.2240043580532074,0.40098509192466736,-0.21230189502239227,-0.19518575072288513,0.13110584020614624,-0.30310386419296265,-0.006114088464528322,0.15029053390026093,0.03885422646999359,-0.02803918533027172,0.14407461881637573,-0.17010724544525146,-0.07826190441846848,-0.4564970135688782,-0.059239182621240616,-0.09281806647777557,0.229808509349823,-0.09847729653120041,-0.0523703508079052,0.09070762246847153,-0.21206404268741608,0.06407411396503448,-0.1366170197725296,0.05766279995441437,0.34373176097869873,0.03083125129342079,0.2889254093170166,-0.18485677242279053,0.052788980305194855,0.2875795066356659,0.10079345107078552,0.009409843944013119,-0.08346706628799438,-0.24482384324073792,0.09740038961172104,-0.11636241525411606,-0.06220247596502304,-0.037188444286584854,0.0916801318526268,-0.016789397224783897,-0.1729365587234497,0.07395702600479126,0.08338172733783722,0.1818023920059204,0.043410878628492355,-0.08646593987941742,-0.08496635407209396,-0.07155049592256546,-0.05738004669547081,0.1686675101518631,0.06351805478334427,0.03090277500450611,-0.09789219498634338,0.08928869664669037,0.030759025365114212,-0.10195795446634293,0.0947919711470604,0.17678134143352509,-0.13865023851394653,0.33540263772010803,0.23049810528755188,0.16934779286384583,-0.26099133491516113,0.22999027371406555,0.046522993594408035,0.21233561635017395,0.17371127009391785,0.02738773263990879,0.420820951461792,-0.13297635316848755,-0.02396472357213497,0.02255246415734291,0.00896697212010622,-0.17110952734947205,-0.2854243218898773,0.08414726704359055,-0.07575568556785583,0.06176188960671425,-0.2284863144159317,-0.06591536104679108,0.2875501215457916,0.08696465194225311,0.16680671274662018,-0.06471274048089981,0.40292203426361084,0.15896913409233093,-0.048996664583683014,0.012073134072124958,0.2158127725124359,-0.04280181601643562,0.2992117404937744,-0.11833620071411133,-0.035966675728559494,0.07630312442779541
im here because i was to pursue a career that i love which is working with kids.,"[""Another reason is to why I'm here is because Im the first of my family to go to college, hence I'm trying to make them proud of what I'm trying to accomplish.""]","['im', 'here', 'because', 'i', 'was', 'to', 'pursue', 'a', 'career', 'that', 'i', 'love', 'which', 'is', 'working', 'with', 'kids', '.']",0,0,0,0,0,0,0,0.5,0.6,0,0,5,1,3,1,0,0,3,-0.13784730434417725,0.17285893857479095,0.12513215839862823,0.08862707018852234,0.10565375536680222,-0.3963654041290283,0.20965461432933807,0.47023776173591614,-0.21187926828861237,-0.2124880701303482,0.19232547283172607,-0.34516799449920654,-0.023661181330680847,0.17580509185791016,0.051463041454553604,0.05000677704811096,0.19626562297344208,-0.11151713132858276,-0.11455963551998138,-0.5043025612831116,-0.01564786024391651,-0.04518831521272659,0.2835298478603363,-0.06104354187846184,-0.08561991900205612,0.07025159150362015,-0.1882765144109726,0.004604954272508621,-0.17694339156150818,0.07067426294088364,0.3192169666290283,0.03781088814139366,0.37412452697753906,-0.2414012849330902,0.08088532835245132,0.35800671577453613,0.16235779225826263,-0.010846533812582493,-0.08220966160297394,-0.2736763060092926,0.1155887246131897,-0.058641981333494186,-0.06220823898911476,-0.007413779851049185,0.12826286256313324,0.0013684382429346442,-0.20318377017974854,0.09698013216257095,0.11622864007949829,0.18482472002506256,0.04833490028977394,-0.059239450842142105,-0.06592876464128494,-0.06078386306762695,0.005509045906364918,0.19242312014102936,0.08057890087366104,0.05281580984592438,-0.0830659344792366,0.12066084146499634,-0.017670921981334686,-0.09851764142513275,0.1034691333770752,0.17529340088367462,-0.09482958912849426,0.3643989562988281,0.21630653738975525,0.17618851363658905,-0.2580450773239136,0.22062133252620697,-0.001573208486661315,0.18893744051456451,0.1155431866645813,0.0026995360385626554,0.4945566952228546,-0.10359183698892593,0.03373551368713379,0.04843279719352722,0.009023189544677734,-0.20122045278549194,-0.30098697543144226,0.14193478226661682,-0.03609854727983475,0.10547412931919098,-0.3233349323272705,0.0008389376453123987,0.3061240315437317,0.015342463739216328,0.21072709560394287,-0.06516530364751816,0.45833253860473633,0.22315727174282074,-0.024494105949997902,0.0632520318031311,0.18089282512664795,-0.06676306575536728,0.2629125714302063,-0.12721461057662964,-0.030786097049713135,0.11931506544351578
i was middle school student in japan.,"['When I was young, I was really into the car because my parents worked for Ford Automotive, and my father especially loves cars. I was inspired from him']","['i', 'was', 'middle', 'school', 'student', 'in', 'japan', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,1,0,0,1,1,-0.06522756814956665,0.037086088210344315,0.10065459460020065,0.10905458778142929,-0.012421965599060059,-0.34340572357177734,0.13321952521800995,0.4833354651927948,-0.1846703439950943,-0.21192814409732819,0.13317595422267914,-0.3783547282218933,-0.028027040883898735,0.2403499037027359,-0.0833437591791153,0.07972364127635956,0.14297130703926086,-0.08003025501966476,-0.12503565847873688,-0.3797764182090759,0.025833534076809883,-0.059591442346572876,0.23142150044441223,-0.012775962240993977,-0.18122348189353943,-0.004032604396343231,-0.02493053674697876,-0.12487010657787323,-0.21095453202724457,0.05984579399228096,0.24479712545871735,0.058343201875686646,0.33533212542533875,-0.22338883578777313,-0.00324559910222888,0.388232946395874,0.11459101736545563,-0.14289437234401703,-0.016029957681894302,-0.19669927656650543,0.18294920027256012,-0.07699562609195709,-0.008007857017219067,-0.060697879642248154,0.17134420573711395,-0.038916174322366714,-0.2337656468153,0.006726421415805817,0.07730934768915176,0.14615069329738617,0.008270462974905968,-0.09938597679138184,-0.054660677909851074,-0.0328243263065815,0.10705234110355377,0.2285803258419037,0.1232919916510582,0.06853518635034561,-0.0912054181098938,0.04716580733656883,-0.05041177198290825,-0.07820560783147812,0.048981744796037674,0.10085958242416382,-0.16031180322170258,0.32402127981185913,0.2015352100133896,0.1758488565683365,-0.21661508083343506,0.15089501440525055,0.025905126705765724,0.12451724708080292,0.11007291823625565,0.05337195843458176,0.4869995415210724,0.07574095577001572,0.019194956868886948,0.05181922763586044,-0.07397525012493134,-0.046545810997486115,-0.21525967121124268,0.1859462708234787,0.019351359456777573,0.19972531497478485,-0.27849921584129333,0.032940879464149475,0.1995234191417694,0.0491916760802269,0.21706067025661469,0.045347023755311966,0.3878009021282196,0.3314724266529083,-0.008006016723811626,0.06251094490289688,0.10094557702541351,0.02752830646932125,0.09798400104045868,-0.15796001255512238,0.04577257111668587,0.18010929226875305
i am here because i am a first generation student and i want to make my parents proud.,['i am a first generation student'],"['i', 'am', 'here', 'because', 'i', 'am', 'a', 'first', 'generation', 'student', 'and', 'i', 'want', 'to', 'make', 'my', 'parents', 'proud', '.']",0,0,0,0,0,0,0,0.525,0.6666666666666666,0,0,6,1,1,1,0,1,1,-0.21304354071617126,0.2060779631137848,0.11889534443616867,0.09508191794157028,0.1347295492887497,-0.407346248626709,0.2406315803527832,0.4516170918941498,-0.18950049579143524,-0.22580912709236145,0.28571927547454834,-0.315256267786026,-0.06521935760974884,0.19701172411441803,0.049687739461660385,0.1420018970966339,0.23594549298286438,-0.1371050477027893,-0.18309123814105988,-0.5991616249084473,-0.021283527836203575,0.02065689116716385,0.3985033631324768,-0.10732561349868774,-0.08939039707183838,0.10825830698013306,-0.17867936193943024,-0.007098312024027109,-0.17821192741394043,0.04717850312590599,0.44499582052230835,0.030310723930597305,0.4317590892314911,-0.25434327125549316,0.13515208661556244,0.4224547743797302,0.16848985850811005,0.02459113858640194,-0.02658313512802124,-0.26223698258399963,0.1400958001613617,-0.03582070767879486,-0.05161784961819649,-0.10078016668558121,0.11790367215871811,-0.031205488368868828,-0.20757025480270386,0.1418123096227646,0.14161480963230133,0.1824125498533249,0.02116338722407818,-0.047540586441755295,-0.11496841907501221,-0.03480822220444679,0.04475238546729088,0.2276543229818344,0.13087497651576996,0.07925832271575928,-0.12331100553274155,0.10785053670406342,-0.007353718858212233,-0.138677179813385,0.19531312584877014,0.19825664162635803,-0.11245480924844742,0.374083548784256,0.31094589829444885,0.15433555841445923,-0.2750486731529236,0.2700672745704651,-0.014154523611068726,0.17736491560935974,0.07275022566318512,0.06235969066619873,0.5259520411491394,-0.15918609499931335,0.01741139404475689,0.02365344762802124,0.034104809165000916,-0.21964554488658905,-0.36053135991096497,0.13197718560695648,0.00311620207503438,0.08495930582284927,-0.31392690539360046,-0.005345186218619347,0.3460468351840973,-0.060575440526008606,0.18408440053462982,-0.05302984267473221,0.444821298122406,0.2663532495498657,0.042396917939186096,0.04330149292945862,0.12319359183311462,-0.09583690762519836,0.2591581344604492,-0.12605784833431244,-0.06847179681062698,0.18596762418746948
being in this instituion will pave a way for me to become a professional.,"['I am here because I want to better myself my family, not only financially but in health.']","['being', 'in', 'this', 'instituion', 'will', 'pave', 'a', 'way', 'for', 'me', 'to', 'become', 'a', 'professional', '.']",0,0,0,0,0,0,0,0.1,0.1,0,0,2,0,3,3,1,1,2,-0.10088061541318893,0.19942303001880646,0.07108817994594574,0.009169015102088451,0.15417811274528503,-0.3585958778858185,0.1804397851228714,0.43379560112953186,-0.15317097306251526,-0.21821081638336182,0.12671396136283875,-0.2729521691799164,-0.005141862202435732,0.16440293192863464,0.04583198204636574,-0.02948341704905033,0.1498265117406845,-0.07679789513349533,-0.008285360410809517,-0.36698856949806213,-0.04641949012875557,-0.09868554025888443,0.2121911197900772,0.01448166836053133,-0.0682888776063919,0.08836374431848526,-0.17411653697490692,0.10134966671466827,-0.13991960883140564,0.08339287340641022,0.2716050148010254,0.00886487029492855,0.2536989450454712,-0.18139226734638214,0.06272517889738083,0.21068157255649567,0.08496375381946564,0.014790882356464863,-0.07515688240528107,-0.1894877851009369,0.12348798662424088,-0.07780049741268158,-0.07634034007787704,-0.00817682035267353,0.0687902495265007,-0.01903316006064415,-0.13847193121910095,0.07217556983232498,0.07908167690038681,0.17281970381736755,0.043584827333688736,-0.13324707746505737,-0.07078014314174652,-0.1037997230887413,-0.06450846791267395,0.12719662487506866,0.03874604031443596,0.04729351028800011,-0.05200423672795296,0.07437407970428467,-0.008443008176982403,-0.1689838021993637,0.1419481784105301,0.17684440314769745,-0.11706064641475677,0.3566727936267853,0.2740059792995453,0.16032373905181885,-0.2740108072757721,0.24531663954257965,0.013676367700099945,0.1781446933746338,0.1556663066148758,-0.0018360648537054658,0.4014153778553009,-0.08005356043577194,-0.0379377044737339,0.045605894178152084,-0.023410143330693245,-0.17919610440731049,-0.26479047536849976,0.062257200479507446,-0.06213351711630821,0.03757161274552345,-0.21048319339752197,-0.04460001364350319,0.2928211987018585,0.023158082738518715,0.17351174354553223,-0.0870019868016243,0.3833688199520111,0.12767794728279114,-0.0061547779478132725,0.04067081958055496,0.15080514550209045,-0.1140701100230217,0.3569772243499756,-0.07966039329767227,-0.00176908983848989,0.10406968742609024
why am i here?,"['I want to also be able to set up my family for success, I continue to put all this pressure on myself because i know I can achieve the goals I have for myself. I want to make my family, friends and community proud cause if this year has taught me anything is that a smile and positivity goes a long way.']","['why', 'am', 'i', 'here', '?']",0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,-0.3927253484725952,0.17733117938041687,0.12033708393573761,0.11805623024702072,0.051087915897369385,-0.33815160393714905,0.2609361410140991,0.23817957937717438,-0.21154293417930603,-0.11859044432640076,0.30078619718551636,-0.35794204473495483,-0.0834554061293602,0.2030417025089264,0.14855119585990906,0.09726954996585846,0.2186313271522522,-0.22366514801979065,-0.22595606744289398,-0.7448590993881226,-0.02977614849805832,0.16934673488140106,0.5195464491844177,-0.3417118191719055,0.07470409572124481,0.06996997445821762,-0.29703667759895325,-0.15105116367340088,-0.24700100719928741,0.0814516618847847,0.48399820923805237,-0.04028339684009552,0.649416446685791,-0.30279308557510376,0.21864038705825806,0.5386795997619629,0.15677380561828613,0.16739949584007263,0.08320138603448868,-0.391541987657547,0.16664540767669678,-0.08928047120571136,-0.0058216191828250885,-0.1006242111325264,0.1097714900970459,-0.04439838230609894,-0.2891679108142853,0.2760937213897705,0.15269333124160767,0.20919093489646912,0.13716258108615875,-0.009435955435037613,-0.05990774184465408,-0.01092124916613102,0.08223913609981537,0.30074048042297363,0.2115672081708908,-0.01633727177977562,-0.14333155751228333,0.1787615418434143,0.0700717568397522,-0.08387480676174164,0.18510180711746216,0.2432234287261963,0.10851719230413437,0.3438144028186798,0.13887923955917358,0.3238563537597656,-0.33922022581100464,0.21983465552330017,0.031906019896268845,0.25428399443626404,-0.0032441988587379456,0.0993129163980484,0.7334771156311035,-0.18881995975971222,0.12005507200956345,-0.07655414193868637,0.12354344874620438,-0.31738191843032837,-0.39560776948928833,0.19466915726661682,-0.00028988439589738846,0.1747126579284668,-0.4502083659172058,-0.024864189326763153,0.3083122968673706,-0.08783791959285736,0.1668965369462967,0.04836190491914749,0.6204490065574646,0.3761325180530548,-0.04748893156647682,-0.0005665554199367762,0.26626694202423096,-0.014218196272850037,0.2477145791053772,-0.09566386044025421,-0.07003618776798248,0.09163512289524078
"i know it takes time and patience to get to where i want to be, but i know i can achieve once i get my head straight and focus enough.","['In conclusion, that is why Im here, to work with sonography and to make my family and even myself proud.']","['i', 'know', 'it', 'takes', 'time', 'and', 'patience', 'to', 'get', 'to', 'where', 'i', 'want', 'to', 'be', ',', 'but', 'i', 'know', 'i', 'can', 'achieve', 'once', 'i', 'get', 'my', 'head', 'straight', 'and', 'focus', 'enough', '.']",0,0,0,0,0,0,1,0.1,0.45,0,0,6,3,4,0,1,1,0,-0.18033970892429352,0.17249900102615356,0.10990765690803528,0.11754140257835388,0.0831015557050705,-0.3940781056880951,0.2324037104845047,0.5127333402633667,-0.18458561599254608,-0.2795577347278595,0.1671820729970932,-0.338102251291275,-0.05057249963283539,0.22336921095848083,0.06341339647769928,0.007163671310991049,0.18251332640647888,-0.20057925581932068,-0.15414687991142273,-0.5166456699371338,-0.04103786498308182,-0.044132158160209656,0.24492964148521423,-0.05000319704413414,-0.0722041204571724,0.024899981915950775,-0.2359113097190857,0.07604586333036423,-0.12773846089839935,0.06239892169833183,0.3302759528160095,0.004858688451349735,0.3184637427330017,-0.18814706802368164,0.04810001701116562,0.2917553186416626,0.21037623286247253,0.016098901629447937,-0.05468050017952919,-0.18655584752559662,0.03804100304841995,-0.02098478563129902,-0.041778478771448135,-0.06759798526763916,0.0891178548336029,0.010037957690656185,-0.15236203372478485,0.07832811772823334,0.0862107202410698,0.22117333114147186,-0.04370736703276634,-0.07935778051614761,-0.08709760010242462,-0.04134635254740715,0.06449997425079346,0.192856103181839,0.11832160502672195,0.09902874380350113,-0.11181900650262833,0.18778888881206512,0.030088180676102638,-0.07100939005613327,0.11340267956256866,0.1169617548584938,-0.1161387488245964,0.33059483766555786,0.26506489515304565,0.1657920777797699,-0.2741195559501648,0.3198569118976593,0.0430314764380455,0.16664856672286987,0.19180253148078918,-0.01436678972095251,0.47735339403152466,-0.18629902601242065,-0.01977887935936451,0.07145485281944275,4.1693696402944624e-05,-0.2658175230026245,-0.31020423769950867,0.11964476853609085,-0.09334389865398407,0.10446599870920181,-0.2428397238254547,-0.05021010711789131,0.2537757456302643,0.04702099412679672,0.21664182841777802,-0.03837515786290169,0.4097728729248047,0.18055246770381927,-0.01327125821262598,0.04246126860380173,0.1696418821811676,-0.04439890757203102,0.19295985996723175,-0.10460934787988663,-0.03086894191801548,0.12640605866909027
