sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
the class is once a week so it does get hard to be able and fit all 3 days of lecture but we review the major topics and that helps me put the subtopics in place where they correspond to and basically wrapping my head around all the terms that are learned.,['I am in the SCI230 class to better understand what I am learning in both the lecture and lab class. The class is once a week so it does get hard to be able and fit all 3 days of lecture but we review the major topics and that helps me put the subtopics in place where they correspond to and basically wrapping my head around all the terms that are learned.'],"['the', 'class', 'is', 'once', 'a', 'week', 'so', 'it', 'does', 'get', 'hard', 'to', 'be', 'able', 'and', 'fit', 'all', '3', 'days', 'of', 'lecture', 'but', 'we', 'review', 'the', 'major', 'topics', 'and', 'that', 'helps', 'me', 'put', 'the', 'subtopics', 'in', 'place', 'where', 'they', 'correspond', 'to', 'and', 'basically', 'wrapping', 'my', 'head', 'around', 'all', 'the', 'terms', 'that', 'are', 'learned', '.']",0,0,0,0,0,0,1,0.16770833333333335,0.5166666666666666,0,0,9,2,6,7,4,3,4,-0.13553175330162048,0.18680782616138458,0.09814181923866272,0.02481028437614441,0.13924923539161682,-0.36558493971824646,0.20253141224384308,0.5115767121315002,-0.21236148476600647,-0.2303069531917572,0.09382027387619019,-0.3443087339401245,-0.003679609391838312,0.20174583792686462,0.05710192769765854,-0.09313315153121948,0.1539374440908432,-0.18247997760772705,-0.09566555172204971,-0.4927549958229065,-0.05511247739195824,-0.11102794855833054,0.17075926065444946,-0.11109180748462677,-0.062383782118558884,0.02357027679681778,-0.2340148389339447,0.07936426252126694,-0.12828126549720764,0.06802225857973099,0.2891724109649658,0.010849809274077415,0.2781270146369934,-0.15849840641021729,0.011932607740163803,0.2831595540046692,0.10989399254322052,0.004038156475871801,-0.09419421851634979,-0.2642683684825897,0.07374750077724457,-0.10597517341375351,-0.02955610118806362,-0.016069713979959488,0.13765938580036163,0.038558974862098694,-0.1591023951768875,0.03549455478787422,0.026903703808784485,0.22338785231113434,0.034312497824430466,-0.1046137735247612,-0.0843483954668045,-0.0668749213218689,-0.05406128615140915,0.1353805810213089,0.06460735946893692,0.029067078605294228,-0.08316780626773834,0.105259969830513,0.06769321113824844,-0.09686746448278427,0.1052936241030693,0.14333850145339966,-0.1254528909921646,0.3235229253768921,0.18817435204982758,0.18599247932434082,-0.2784590721130371,0.26999151706695557,0.053151935338974,0.2025352567434311,0.2056964784860611,0.012078067287802696,0.4400302767753601,-0.1408231556415558,0.01296182069927454,0.03899770602583885,-0.028604140505194664,-0.16871057450771332,-0.26130956411361694,0.09306507557630539,-0.158864825963974,0.10057514905929565,-0.20686259865760803,-0.0666092038154602,0.25190138816833496,0.12202800065279007,0.1972438395023346,-0.06786614656448364,0.3925386667251587,0.15760233998298645,-0.045358940958976746,0.014278242364525795,0.28506797552108765,-0.04194984585046768,0.3051792085170746,-0.10233747959136963,-0.010915359482169151,0.05162743479013443
i am here to learn help me better understand the course material and also because i did look into the free tutoring help on campus but since this is a confirmed help session which i get one unit for being enrolled and fulfilling my attendance it was the best fit for my schedule.,['I chose to take this class because this is a class offering help regarding the subjects I am currently enrolled in. I am here to learn help me better understand the course material and also because I did look into the free tutoring help on campus but since this is a confirmed help session which I get one unit for being enrolled and fulfilling my attendance it was the best fit for my schedule.'],"['i', 'am', 'here', 'to', 'learn', 'help', 'me', 'better', 'understand', 'the', 'course', 'material', 'and', 'also', 'because', 'i', 'did', 'look', 'into', 'the', 'free', 'tutoring', 'help', 'on', 'campus', 'but', 'since', 'this', 'is', 'a', 'confirmed', 'help', 'session', 'which', 'i', 'get', 'one', 'unit', 'for', 'being', 'enrolled', 'and', 'fulfilling', 'my', 'attendance', 'it', 'was', 'the', 'best', 'fit', 'for', 'my', 'schedule', '.']",0,0,0,0,0,0,0,0.5399999999999999,0.5999999999999999,0,0,14,2,7,5,2,4,6,-0.1347505748271942,0.1829601675271988,0.10907474905252457,0.03563510626554489,0.14166966080665588,-0.34887316823005676,0.22181078791618347,0.5006383061408997,-0.1912795752286911,-0.24403338134288788,0.14735697209835052,-0.33717045187950134,-0.013529806397855282,0.2057318389415741,0.0483940988779068,-0.05746844410896301,0.17795640230178833,-0.13185060024261475,-0.08278842270374298,-0.47665199637413025,-0.04731692746281624,-0.07489465177059174,0.21378570795059204,-0.0754351019859314,-0.0582185797393322,0.022945132106542587,-0.21299684047698975,0.0838083028793335,-0.1590561717748642,0.06493106484413147,0.2603449821472168,-0.015307539142668247,0.3295285999774933,-0.1790509819984436,0.036334328353405,0.2935543656349182,0.12158337235450745,-0.0019496999448165298,-0.07400829344987869,-0.22755517065525055,0.10043787211179733,-0.09117776900529861,-0.03612644225358963,-0.016064578667283058,0.11850611120462418,0.0027159007731825113,-0.1777794361114502,0.06562041491270065,0.05552288889884949,0.24095341563224792,0.04908204823732376,-0.1477964222431183,-0.10748832672834396,-0.07885248214006424,-0.03046480007469654,0.17072562873363495,0.07261176407337189,0.03745109960436821,-0.06316860765218735,0.09588585048913956,0.03246309235692024,-0.13928905129432678,0.1295260488986969,0.1726115196943283,-0.09864607453346252,0.3589854836463928,0.18981054425239563,0.21451379358768463,-0.2685110867023468,0.25126704573631287,0.055854447185993195,0.21781808137893677,0.1842593401670456,0.02108236588537693,0.481532484292984,-0.12469708919525146,0.03114726021885872,0.008495207875967026,-0.018763389438390732,-0.18123742938041687,-0.29214397072792053,0.10503488034009933,-0.1192702203989029,0.09660738706588745,-0.2513830065727234,-0.03578580543398857,0.2708742916584015,0.029235001653432846,0.18554635345935822,-0.07542060315608978,0.4368511140346527,0.17695952951908112,-0.026500249281525612,0.04200874641537666,0.2353930026292801,-0.05815724655985832,0.32588982582092285,-0.09002068638801575,-0.011850387789309025,0.08254095166921616
i am here because i need to take and pass some general classes in order to graduate.,['I am here because I need to take and pass some general classes in order to graduate.'],"['i', 'am', 'here', 'because', 'i', 'need', 'to', 'take', 'and', 'pass', 'some', 'general', 'classes', 'in', 'order', 'to', 'graduate', '.']",0,0,0,0,0,0,0,0.05000000000000002,0.5,0,0,3,1,3,1,0,2,2,-0.1983172595500946,0.17612239718437195,0.17718875408172607,0.06749741733074188,0.15224871039390564,-0.41868481040000916,0.2773098349571228,0.5697943568229675,-0.22268134355545044,-0.3338353633880615,0.19944044947624207,-0.3535436987876892,-0.06323662400245667,0.26742690801620483,0.08515137434005737,0.03613479807972908,0.2723595201969147,-0.1084122508764267,-0.15935420989990234,-0.5989797115325928,0.00129147048573941,-0.01015201024711132,0.37840113043785095,-0.09000298380851746,-0.07390696555376053,0.06801063567399979,-0.2137599140405655,0.12935946881771088,-0.1953517496585846,0.11025029420852661,0.27676504850387573,-0.022185752168297768,0.43857231736183167,-0.28283196687698364,0.0543779581785202,0.3392806351184845,0.13824062049388885,0.034950628876686096,0.022745706140995026,-0.16413971781730652,0.18576906621456146,-0.05039525032043457,-0.08652079105377197,0.030885903164744377,0.13562574982643127,0.002216242253780365,-0.19078496098518372,0.03977131098508835,0.10885055363178253,0.2829104959964752,0.10574603825807571,-0.1555682122707367,-0.13674993813037872,-0.06668325513601303,0.013480529189109802,0.173762708902359,0.10280438512563705,0.048900436609983444,-0.10395652800798416,0.1465669870376587,-0.029031293466687202,-0.1298595517873764,0.1601244956254959,0.20687176287174225,-0.05785994604229927,0.4088808298110962,0.2298794686794281,0.2568504214286804,-0.306904673576355,0.2317652404308319,-0.03975263237953186,0.22866253554821014,0.156404048204422,0.0013236823724582791,0.577722430229187,-0.14503075182437897,0.04357464611530304,0.0037422364111989737,0.03701075538992882,-0.22361710667610168,-0.3530772030353546,0.1600637137889862,-0.08635201305150986,0.090521439909935,-0.31900542974472046,-0.00440993532538414,0.3086016774177551,-0.12252373993396759,0.1540561020374298,-0.09389251470565796,0.4872305691242218,0.20699532330036163,0.016286762431263924,0.023081520572304726,0.2921645939350128,-0.038115207105875015,0.30818790197372437,-0.08289486914873123,-0.059243399649858475,0.15461474657058716
"i also am a very hands oninteractive learner and i dont really get that in the lecture but in this class, i think that i will be able to better understand the material better because of that.",['I am in this class because I needed another unit and this was like the perfect class because it would allow me to get the credit and gain a deeper knowledge of Bio 230.'],"['i', 'also', 'am', 'a', 'very', 'hands', 'oninteractive', 'learner', 'and', 'i', 'dont', 'really', 'get', 'that', 'in', 'the', 'lecture', 'but', 'in', 'this', 'class', ',', 'i', 'think', 'that', 'i', 'will', 'be', 'able', 'to', 'better', 'understand', 'the', 'material', 'better', 'because', 'of', 'that', '.']",0,0,0,0,0,0,0,0.38,0.425,0,0,6,5,3,5,0,5,6,-0.21060240268707275,0.16623422503471375,0.10583866387605667,0.06745066493749619,0.10209417343139648,-0.36665916442871094,0.22933800518512726,0.5134044289588928,-0.2117093950510025,-0.2899790108203888,0.1360878050327301,-0.3715759217739105,-0.02425290271639824,0.253600537776947,0.05624590441584587,-0.07733070850372314,0.1769576072692871,-0.19924534857273102,-0.11821231245994568,-0.5483214855194092,-0.05888181924819946,-0.05958833172917366,0.23787647485733032,-0.09117437154054642,-0.02033524587750435,0.027443362399935722,-0.2615104913711548,0.1118224710226059,-0.17614039778709412,0.07217918336391449,0.29864439368247986,-0.037547528743743896,0.3415747284889221,-0.18597722053527832,0.05288885161280632,0.29211968183517456,0.16410702466964722,0.056763648986816406,-0.044758643954992294,-0.19507664442062378,0.0962737575173378,-0.08914633095264435,-0.06407549977302551,-0.048590224236249924,0.11270492523908615,-0.00011352201545378193,-0.177513986825943,0.1092226654291153,0.0823407769203186,0.28062236309051514,0.05455712974071503,-0.1448393166065216,-0.07980534434318542,-0.054159969091415405,0.0044033280573785305,0.1963084191083908,0.10007575899362564,0.02079922705888748,-0.0825064480304718,0.13232819736003876,0.06226743757724762,-0.1296832114458084,0.13660766184329987,0.19518691301345825,-0.04222142696380615,0.3628193140029907,0.19788295030593872,0.25139638781547546,-0.29653167724609375,0.27409157156944275,0.09322977811098099,0.25417613983154297,0.20276470482349396,-0.012429154478013515,0.5256292819976807,-0.14458957314491272,0.03154057264328003,0.005111353006213903,0.03499751538038254,-0.24823805689811707,-0.33321142196655273,0.1081974133849144,-0.11912459880113602,0.08228345215320587,-0.28230199217796326,-0.08371227234601974,0.2800956070423126,0.032418496906757355,0.1956070065498352,-0.03903546929359436,0.4632851779460907,0.1944180130958557,-0.028813153505325317,0.020321298390626907,0.26615583896636963,-0.04432320222258568,0.312156617641449,-0.06472335010766983,-0.015720775350928307,0.09845035523176193
i really hope i will do good this semester and the next with general physics two.,"[""Also, since I chose a major that best prepares me for medical school; Cell Biology B.S. This is a requirement in my major in addition to physics two and lab. I have taken physics in high school and I found it fun and annoying at the same time. I'm really bad at math and prone to making small math mistakes which makes problemsolving very frustrating! I really hope I will do good this semester and the next with general physics two.""]","['i', 'really', 'hope', 'i', 'will', 'do', 'good', 'this', 'semester', 'and', 'the', 'next', 'with', 'general', 'physics', 'two', '.']",1,1,0,1,0,0,0,0.2375,0.325,0,0,4,1,1,2,0,3,1,-0.17091603577136993,0.1372487097978592,0.1121646985411644,0.05697699263691902,0.09448481351137161,-0.32906970381736755,0.23273034393787384,0.5429285168647766,-0.20180071890354156,-0.2785271108150482,0.11380136013031006,-0.39032384753227234,-0.029979541897773743,0.2668644189834595,0.020080866292119026,-0.09881597012281418,0.18135122954845428,-0.1355847716331482,-0.10756063461303711,-0.5081072449684143,-0.04063867777585983,-0.045512694865465164,0.19762836396694183,-0.07162237167358398,-0.03862933814525604,-0.00667903246358037,-0.22371016442775726,0.13220658898353577,-0.1972556710243225,0.06977514177560806,0.21516723930835724,-0.037057965993881226,0.3839562237262726,-0.18095427751541138,0.005441648885607719,0.2777213752269745,0.15127778053283691,-0.0021489430218935013,-0.006769421044737101,-0.18639561533927917,0.11899302899837494,-0.10609673708677292,-0.041302118450403214,-0.03120960108935833,0.13232378661632538,-0.01987171173095703,-0.1786983609199524,0.054432518780231476,0.050592269748449326,0.2846962511539459,0.07868409156799316,-0.1970510482788086,-0.07466386258602142,-0.05212279036641121,0.016729135066270828,0.18561136722564697,0.11919176578521729,0.04487847164273262,-0.0837225541472435,0.13836616277694702,0.02952006831765175,-0.12170132994651794,0.13104131817817688,0.18365897238254547,-0.0761684700846672,0.3537331223487854,0.17168879508972168,0.3252437114715576,-0.305570125579834,0.2409898042678833,0.0833602249622345,0.2459401935338974,0.22030851244926453,-0.042292237281799316,0.5372087955474854,-0.09042533487081528,0.03889494016766548,0.01839878410100937,-0.02977321296930313,-0.2024679183959961,-0.32796618342399597,0.1432286500930786,-0.1230720728635788,0.16836220026016235,-0.29002827405929565,-0.006373655050992966,0.2539244294166565,0.011363832280039787,0.2167971283197403,-0.0290068369358778,0.4505084156990051,0.21490024030208588,-0.02102905511856079,0.027749937027692795,0.3179764747619629,-0.01450737938284874,0.33693259954452515,-0.04665789008140564,0.009880105033516884,0.0906107947230339
i am determined to get through school as fast as i can and try to get a good job in the engineering field straight out of school.,['Taking physics if a requirement by the school for my major and that is why Im in this class.'],"['i', 'am', 'determined', 'to', 'get', 'through', 'school', 'as', 'fast', 'as', 'i', 'can', 'and', 'try', 'to', 'get', 'a', 'good', 'job', 'in', 'the', 'engineering', 'field', 'straight', 'out', 'of', 'school', '.']",0,0,0,0,1,1,0,0.36666666666666664,0.5333333333333333,0,0,7,2,5,2,0,2,4,-0.14679652452468872,0.15406104922294617,0.09922876954078674,0.08439820259809494,0.07393547147512436,-0.428022176027298,0.22434213757514954,0.5291799902915955,-0.2013138383626938,-0.2639267146587372,0.16528581082820892,-0.3542436361312866,-0.0054583172313869,0.26247870922088623,0.015735726803541183,-0.001484656473621726,0.2057979702949524,-0.16356918215751648,-0.09942232817411423,-0.4928351640701294,-0.029778750613331795,-0.09491589665412903,0.2513803243637085,-0.0068017421290278435,-0.10779820382595062,0.08712103962898254,-0.1670369803905487,0.05894308537244797,-0.1850300133228302,0.07423816621303558,0.3681657314300537,-0.0028457115404307842,0.3083590269088745,-0.24682579934597015,0.03197311609983444,0.29233869910240173,0.11645793914794922,-0.02867073565721512,-0.04306204617023468,-0.16489773988723755,0.11787781864404678,-0.10019608587026596,-0.06233192980289459,-0.06404680758714676,0.10430385172367096,-0.036277104169130325,-0.16863037645816803,0.03709018602967262,0.08752645552158356,0.17631864547729492,0.0335908979177475,-0.0880642756819725,-0.0766531303524971,-0.06529204547405243,0.02294357679784298,0.15078145265579224,0.09233096987009048,0.0730549618601799,-0.12148755043745041,0.07603338360786438,-0.018315402790904045,-0.16414929926395416,0.12818437814712524,0.17188671231269836,-0.16016331315040588,0.38830456137657166,0.29876214265823364,0.16705770790576935,-0.28052759170532227,0.2449549436569214,0.027816010639071465,0.17705132067203522,0.13095909357070923,-0.00737924175336957,0.46134909987449646,-0.058993175625801086,-0.0468357652425766,0.08888319879770279,-0.00454116752371192,-0.15641765296459198,-0.30868491530418396,0.0962405875325203,-0.038019198924303055,0.10323601961135864,-0.2415143996477127,-0.03197767958045006,0.2965531647205353,0.028675785288214684,0.21910664439201355,-0.014113823883235455,0.37821847200393677,0.20105932652950287,0.024346156045794487,-0.007432893384248018,0.14805518090724945,-0.05658973753452301,0.26264792680740356,-0.07744583487510681,0.0051344214007258415,0.1577455699443817
i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal.,['I am in this course because I am new to physics I never took physics in high school because I was told it can mess up my GPA. Hearing that I already knew it would be a challenging course. I am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast. What I hope to get out of this Sci class is a clear understanding of how to solve and physics problem and be confident that I know how to do it.'],"['i', 'wanted', 'to', 'experience', 'a', 'different', 'environment', 'and', 'a', 'different', 'culture', 'because', 'not', 'everything', 'done', 'in', 'socal', 'is', 'done', 'in', 'norcal', '.']",0,0,0,0,0,0,0,0.0,0.6,0,0,3,2,4,2,0,4,3,-0.1536555141210556,0.15515246987342834,0.09588516503572464,0.059225842356681824,0.10839170217514038,-0.35826295614242554,0.17293012142181396,0.4437863826751709,-0.1946350336074829,-0.20953090488910675,0.1083768680691719,-0.30480054020881653,-0.022491171956062317,0.17614851891994476,0.038911424577236176,-0.0150417136028409,0.1302342414855957,-0.1663239747285843,-0.1238408237695694,-0.45391279458999634,-0.035721540451049805,-0.08645383268594742,0.221681147813797,-0.06756402552127838,-0.07848311960697174,0.056334540247917175,-0.17046600580215454,0.008976619690656662,-0.15327763557434082,0.06364696472883224,0.31622514128685,0.04276113957166672,0.27004483342170715,-0.1850496083498001,0.04389277473092079,0.313307523727417,0.15848761796951294,0.004143612924963236,-0.09912588447332382,-0.25771862268447876,0.10962177813053131,-0.07658348232507706,-0.06916595995426178,-0.04058096930384636,0.1424926519393921,0.014140124432742596,-0.17037522792816162,0.06542960554361343,0.09918969124555588,0.16246344149112701,0.022085677832365036,-0.06688166409730911,-0.07349318265914917,-0.07051485776901245,-0.029754670336842537,0.1622379869222641,0.05847015231847763,0.024810895323753357,-0.10699339956045151,0.10545942932367325,0.0425410270690918,-0.06440359354019165,0.117099329829216,0.12764868140220642,-0.12698188424110413,0.30634617805480957,0.21584822237491608,0.14391103386878967,-0.2405315786600113,0.24907749891281128,0.022646458819508553,0.19324839115142822,0.15677645802497864,0.03656681254506111,0.4346928894519806,-0.1220659390091896,-0.004564912058413029,0.06093968078494072,-0.00937290396541357,-0.16961006820201874,-0.2425917237997055,0.08847962319850922,-0.08573771268129349,0.07920686900615692,-0.2493460476398468,-0.059760112315416336,0.25894448161125183,0.10529299080371857,0.20721231400966644,-0.06510578095912933,0.41565296053886414,0.20171616971492767,-0.014443187043070793,0.030025189742445946,0.21402223408222198,-0.03300538659095764,0.2535133957862854,-0.15388713777065277,-0.02867518737912178,0.0915384590625763
i am a computer engineering major that wants to get my degree and have to take this class to fulfill my requirements.,['I am a computer engineering major that wants to get my degree and have to take this class to fulfill my requirements.'],"['i', 'am', 'a', 'computer', 'engineering', 'major', 'that', 'wants', 'to', 'get', 'my', 'degree', 'and', 'have', 'to', 'take', 'this', 'class', 'to', 'fulfill', 'my', 'requirements', '.']",0,0,0,0,1,1,0,0.13125,0.3,0,0,6,0,3,2,0,1,0,-0.12975002825260162,0.22484301030635834,0.18861179053783417,0.08236495405435562,0.21576851606369019,-0.4367048442363739,0.28675732016563416,0.5725066661834717,-0.2208116054534912,-0.2641787827014923,0.24638082087039948,-0.3339116871356964,-0.03985343500971794,0.2230706363916397,0.06659438461065292,0.0527699813246727,0.30050045251846313,-0.03103705123066902,-0.11619441956281662,-0.5587893128395081,0.0024513225071132183,-0.029424209147691727,0.3416979908943176,-0.018671901896595955,-0.12877389788627625,0.11073944717645645,-0.16656342148780823,0.12571030855178833,-0.2172655463218689,0.08832969516515732,0.2625429332256317,-0.021919377148151398,0.3846282958984375,-0.3019110858440399,0.0778949186205864,0.31991270184516907,0.10521502047777176,-0.010439235717058182,-0.016887933015823364,-0.19089621305465698,0.15838997066020966,-0.04597310721874237,-0.1004771739244461,0.08729620277881622,0.11918823421001434,0.00929110124707222,-0.18587136268615723,0.054455339908599854,0.11374638229608536,0.23792368173599243,0.1224018856883049,-0.1438136100769043,-0.11452233046293259,-0.11915197223424911,-0.049730755388736725,0.1672489047050476,0.03145619109272957,0.05403195321559906,-0.07211309671401978,0.09779491275548935,-0.09230241924524307,-0.1622077375650406,0.1610952764749527,0.2048506885766983,-0.10540809482336044,0.45623016357421875,0.26110216975212097,0.21605397760868073,-0.32339394092559814,0.22574539482593536,-0.09444348514080048,0.21363210678100586,0.11402943730354309,-0.03346787393093109,0.5556590557098389,-0.09951018542051315,0.017813799902796745,0.050900910049676895,0.01733526401221752,-0.21425190567970276,-0.3578309416770935,0.1351662427186966,-0.055439189076423645,0.07327134907245636,-0.33817532658576965,0.012934326194226742,0.3325892686843872,-0.16553324460983276,0.17334815859794617,-0.11929319053888321,0.4529930353164673,0.16510699689388275,0.043061546981334686,0.04537240043282509,0.22229164838790894,-0.11078689247369766,0.3657631576061249,-0.06875752657651901,-0.02709813229739666,0.15243548154830933
"in addition, phys111 is a course that i have to take in order to take other classes in my major.","['In addition, Phys111 is a course that I have to take in order to take other classes in my major.']","['in', 'addition', ',', 'phys111', 'is', 'a', 'course', 'that', 'i', 'have', 'to', 'take', 'in', 'order', 'to', 'take', 'other', 'classes', 'in', 'my', 'major', '.']",0,0,0,0,0,0,0,-0.03125,0.4375,0,0,6,0,2,1,0,2,4,-0.14258691668510437,0.18661954998970032,0.1911553144454956,0.038850486278533936,0.1487942337989807,-0.41922450065612793,0.2642667293548584,0.5665854215621948,-0.2273310124874115,-0.29406312108039856,0.15184727311134338,-0.3399803638458252,-0.0366474948823452,0.21485182642936707,0.07385209202766418,-0.004411901347339153,0.23663003742694855,-0.06082718446850777,-0.11014427989721298,-0.5116428732872009,0.005126700736582279,-0.05988864228129387,0.31427860260009766,-0.016775626689195633,-0.11897742748260498,0.06985706090927124,-0.16490291059017181,0.13172316551208496,-0.18697038292884827,0.10433536767959595,0.19656577706336975,-0.025218075141310692,0.36752045154571533,-0.26460376381874084,0.023273300379514694,0.2749571204185486,0.09769579768180847,0.01091015338897705,-0.004130443092435598,-0.16565817594528198,0.19227223098278046,-0.08901020884513855,-0.09301713109016418,0.0681689977645874,0.12404058128595352,0.008357381448149681,-0.18399372696876526,0.017974253743886948,0.0820588693022728,0.2412066012620926,0.10234151035547256,-0.17723645269870758,-0.1344936490058899,-0.0977829247713089,-0.07520699501037598,0.1495944708585739,0.038626257330179214,0.008042593486607075,-0.09170766919851303,0.09588444232940674,-0.02390131540596485,-0.13338853418827057,0.1209062933921814,0.1922638863325119,-0.06482042372226715,0.4154477119445801,0.17370566725730896,0.22158081829547882,-0.31018587946891785,0.17987285554409027,-0.04853009432554245,0.22436285018920898,0.16675737500190735,-0.019478965550661087,0.5446175336837769,-0.06703393906354904,0.023008447140455246,0.034586384892463684,0.00048730074195191264,-0.15085506439208984,-0.2842419147491455,0.1132863312959671,-0.09233611822128296,0.08472873270511627,-0.32408222556114197,0.01642598770558834,0.29265543818473816,-0.08118432015180588,0.157021626830101,-0.11505766212940216,0.4727534353733063,0.15281222760677338,-0.013775082305073738,0.05623062327504158,0.2845152020454407,-0.042377062141895294,0.3272111415863037,-0.09286651760339737,-0.046540528535842896,0.11600230634212494
"i still couldnt help but take a music related class every semester, whether it be an electronic music class, chord theory, or live performance bands.","['After graduating from Oceana High School, I decided to work parttime and go to school parttime at City College of San Francisco. I tried my best to take the most general of general education classes while I was still deciding my major.', 'It took working at a research and development style private sector startup to realize I particularly enjoy studying virology. This company had a program of regularly taking in interns, and I was lucky to be one of those people. I eventually decided to quit this job to fulltime pursue my undergraduate degree in microbiology.']","['i', 'still', 'couldnt', 'help', 'but', 'take', 'a', 'music', 'related', 'class', 'every', 'semester', ',', 'whether', 'it', 'be', 'an', 'electronic', 'music', 'class', ',', 'chord', 'theory', ',', 'or', 'live', 'performance', 'bands', '.']",0,0,0,0,0,0,0,0.06818181818181818,0.45,0,0,11,1,3,3,1,3,1,-0.11998406052589417,0.1855594366788864,0.10734689980745316,0.049069542437791824,0.10244924575090408,-0.34844568371772766,0.21641023457050323,0.4925455152988434,-0.1988162249326706,-0.18394410610198975,0.1130385771393776,-0.33866509795188904,-0.004527989774942398,0.19658255577087402,0.02862493135035038,-0.09048034995794296,0.15598896145820618,-0.11975318193435669,-0.0613008476793766,-0.44101881980895996,-0.0064581227488815784,-0.059658925980329514,0.12391997128725052,-0.033420875668525696,-0.07974205911159515,-0.011123019270598888,-0.17896173894405365,0.051871951669454575,-0.1655702441930771,0.045026764273643494,0.22677010297775269,-0.022017672657966614,0.29419687390327454,-0.17888705432415009,0.02351650781929493,0.23532570898532867,0.11727579683065414,-0.03370417281985283,-0.06484421342611313,-0.2642812430858612,0.06886086612939835,-0.0724882259964943,-0.006720737088471651,0.033066526055336,0.10281164199113846,0.00617046095430851,-0.14838780462741852,0.04625469818711281,0.03566330298781395,0.20754818618297577,0.020280489698052406,-0.10219620913267136,-0.05172130465507507,-0.08739284425973892,0.003517101751640439,0.16036564111709595,0.08787956833839417,0.04675668478012085,-0.06656388193368912,0.11618798971176147,0.0024006094317883253,-0.07658962160348892,0.027529412880539894,0.12169241905212402,-0.12236484885215759,0.3098088800907135,0.12386047840118408,0.23579417169094086,-0.2529391944408417,0.24338412284851074,0.024886509403586388,0.19010107219219208,0.18375451862812042,-0.05927884578704834,0.4759419858455658,-0.08513960242271423,0.026283742859959602,0.05975769832730293,-0.05046728253364563,-0.16313815116882324,-0.25651055574417114,0.10315379500389099,-0.11378035694360733,0.14275218546390533,-0.23801638185977936,-0.007016013842076063,0.19452379643917084,0.04991982877254486,0.21285341680049896,-0.044391196221113205,0.3986598551273346,0.13726679980754852,-0.04285754635930061,0.07136800140142441,0.230089470744133,-0.02284305728971958,0.23545821011066437,-0.0528949536383152,0.025175506249070168,0.06137416139245033
