sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjective,preposition,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,better,class,course,family,goal,having,help,important,just,learn,learning,major,make,new,people,physics,question,reason,say,taken,things,time,understand,want,way
"my long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.","['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']","['my', 'long', ',', 'long', 'term', 'goal', 'is', 'to', 'make', 'a', 'rapid', 'diagnostic', 'test', 'and', 'sell', 'it', 'at', 'cost', 'to', 'a', 'community', 'in', 'need', ',', 'as', 'a', 'way', 'to', 'give', 'back', 'to', 'the', 'place', 'where', 'my', 'lineages', 'originally', 'came', 'from', '.']",0,0,0,0,0,0,1,0.06875,0.3875,0,0,9,2,4,4,1,4,4,-0.09955692291259766,0.17935363948345184,0.09438814222812653,0.04455003887414932,0.14452175796031952,-0.37880340218544006,0.18395406007766724,0.4507061243057251,-0.17173762619495392,-0.21784920990467072,0.15439480543136597,-0.28544506430625916,-0.01988912932574749,0.17848877608776093,0.04227292165160179,0.02224641479551792,0.178348571062088,-0.12478122115135193,-0.08138579875230789,-0.43950414657592773,-0.022285714745521545,-0.08703383058309555,0.22286492586135864,-0.040346015244722366,-0.10842505097389221,0.08995410054922104,-0.1514904499053955,0.038601916283369064,-0.13631540536880493,0.06453392654657364,0.3336017429828644,0.033514123409986496,0.24865472316741943,-0.205886110663414,0.06491369754076004,0.26363706588745117,0.10716011375188828,-0.017061900347471237,-0.09585501253604889,-0.22552627325057983,0.09889103472232819,-0.05863180756568909,-0.04863692447543144,-0.01563420332968235,0.10430772602558136,-0.007705355994403362,-0.15582919120788574,0.04114164039492607,0.08268539607524872,0.14963284134864807,0.00829895120114088,-0.05098852142691612,-0.1019466295838356,-0.08899325132369995,-0.02626778744161129,0.13314668834209442,0.05571547895669937,0.07365485280752182,-0.10475799441337585,0.08974660187959671,-0.01449692714959383,-0.10750716179609299,0.1212170347571373,0.12882265448570251,-0.1701097935438156,0.31710919737815857,0.2812771797180176,0.10902579128742218,-0.24801957607269287,0.25919196009635925,-0.01428992673754692,0.15193341672420502,0.14355920255184174,0.029734356328845024,0.4055022597312927,-0.11254418641328812,-0.018138952553272247,0.06606011092662811,-0.034905556589365005,-0.1414729505777359,-0.26378118991851807,0.08758358657360077,-0.0713219866156578,0.049482833594083786,-0.21179057657718658,-0.057565655559301376,0.2572602927684784,0.05584953352808952,0.19971629977226257,-0.06731823086738586,0.37556207180023193,0.17476996779441833,0.018168991431593895,0.04224226251244545,0.14141497015953064,-0.07156606018543243,0.269886314868927,-0.10938005149364471,-0.023130107671022415,0.12228883057832718,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"of course, an important reason as to why i am here is because of everything my parents have done for me from all the guidance, sacrifices, affection, time, and so on that theyve given me till now.","['I know that I want a career in which Ill help people, but Im still not completely sure if this is how I want to go about it.']","['of', 'course', ',', 'an', 'important', 'reason', 'as', 'to', 'why', 'i', 'am', 'here', 'is', 'because', 'of', 'everything', 'my', 'parents', 'have', 'done', 'for', 'me', 'from', 'all', 'the', 'guidance', ',', 'sacrifices', ',', 'affection', ',', 'time', ',', 'and', 'so', 'on', 'that', 'theyve', 'given', 'me', 'till', 'now', '.']",0,0,0,0,0,0,0,0.4,1.0,0,0,9,4,3,3,2,1,7,-0.13455960154533386,0.17526604235172272,0.12940652668476105,0.06416633725166321,0.12978863716125488,-0.3490050733089447,0.2199207842350006,0.4419001042842865,-0.20316031575202942,-0.2104346752166748,0.17430979013442993,-0.3275965452194214,-0.007457963190972805,0.1746206283569336,0.0651545599102974,-0.010758769698441029,0.19028085470199585,-0.14764393866062164,-0.10325413942337036,-0.5179690718650818,-0.04560551419854164,-0.055757440626621246,0.23290959000587463,-0.13093914091587067,-0.0776454284787178,0.06810753792524338,-0.22786147892475128,0.05194247514009476,-0.14012698829174042,0.05244942381978035,0.3188205659389496,0.005319013260304928,0.34004953503608704,-0.2089983969926834,0.06537262350320816,0.3231167793273926,0.11316930502653122,0.015266784466803074,-0.07180925458669662,-0.2727750539779663,0.1249811053276062,-0.125261127948761,-0.019724179059267044,-0.015747711062431335,0.12497247755527496,0.009043720550835133,-0.2053016871213913,0.0639284998178482,0.0738111138343811,0.19080857932567596,0.06271947920322418,-0.0779179260134697,-0.09048331528902054,-0.07334976643323898,-0.05822258070111275,0.16668911278247833,0.0680633932352066,0.03523585945367813,-0.09521114826202393,0.0938643142580986,0.036779701709747314,-0.10505439341068268,0.11789266020059586,0.18078191578388214,-0.10017114132642746,0.3262598216533661,0.17777478694915771,0.19338496029376984,-0.27678048610687256,0.1929336041212082,0.0297774039208889,0.20444172620773315,0.1421811878681183,0.03045634552836418,0.48479101061820984,-0.1414279192686081,0.023142773658037186,0.023189645260572433,-0.005482058972120285,-0.15350480377674103,-0.29106175899505615,0.09913188964128494,-0.09836040437221527,0.08586499094963074,-0.26786401867866516,-0.03210309147834778,0.2853267192840576,0.06766314059495926,0.17876461148262024,-0.08108018338680267,0.44922587275505066,0.19379298388957977,-0.04233529418706894,0.04353974759578705,0.24568788707256317,-0.03990791738033295,0.29737159609794617,-0.09257114678621292,-0.04189877212047577,0.07346861809492111,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"diversity is very important because, with different backgrounds, a person can gain experience in something that they havent done before or perceived something in a new way.","['Diversity is very important because, with different backgrounds, a person can gain experience in something that they havent done before or perceived something in a new way.']","['diversity', 'is', 'very', 'important', 'because', ',', 'with', 'different', 'backgrounds', ',', 'a', 'person', 'can', 'gain', 'experience', 'in', 'something', 'that', 'they', 'havent', 'done', 'before', 'or', 'perceived', 'something', 'in', 'a', 'new', 'way', '.']",0,0,0,0,0,0,0,0.21878787878787878,0.6848484848484849,0,0,7,1,3,2,1,3,6,-0.14893238246440887,0.17632938921451569,0.058733947575092316,0.045887287706136703,0.12011735886335373,-0.3696719706058502,0.1855766475200653,0.4579002261161804,-0.1983681470155716,-0.19883441925048828,0.10011657327413559,-0.3336753845214844,0.01476192008703947,0.17028212547302246,0.06709533929824829,-0.08843524754047394,0.13546663522720337,-0.20137926936149597,-0.08742225170135498,-0.4780212640762329,-0.056119851768016815,-0.11968076229095459,0.15191732347011566,-0.06257133185863495,-0.06417529284954071,0.052651431411504745,-0.23105517029762268,0.04592921957373619,-0.14101745188236237,0.04377104714512825,0.3388417661190033,0.028985533863306046,0.25479739904403687,-0.1654461771249771,0.02794635482132435,0.2802139222621918,0.15269850194454193,0.027199525386095047,-0.1247556060552597,-0.2640773057937622,0.07093171775341034,-0.10766195505857468,-0.056332334876060486,-0.05958390608429909,0.12596336007118225,0.03805034980177879,-0.14785562455654144,0.06440561264753342,0.07031632959842682,0.1583007425069809,0.017144910991191864,-0.059935636818408966,-0.044617023319005966,-0.06220964342355728,-0.06057944521307945,0.13658112287521362,0.054636236280202866,0.019584504887461662,-0.10558129847049713,0.09164900332689285,0.06934809684753418,-0.09166575968265533,0.11934618651866913,0.1393744796514511,-0.121871218085289,0.3012067377567291,0.17418739199638367,0.15008193254470825,-0.24123968183994293,0.23115397989749908,0.05525631085038185,0.19976375997066498,0.1440114676952362,0.002807611133903265,0.3990611732006073,-0.1279039978981018,-0.018665948882699013,0.07853160798549652,-0.020756887272000313,-0.17144805192947388,-0.24184948205947876,0.0570494681596756,-0.1165938526391983,0.08879608660936356,-0.23310574889183044,-0.05314401909708977,0.2902461588382721,0.16424749791622162,0.23288345336914062,-0.07867048680782318,0.41273754835128784,0.1666695773601532,-0.045463282614946365,0.017304830253124237,0.2346581518650055,-0.03737359866499901,0.29159015417099,-0.10646767914295197,-0.017209289595484734,0.05179251730442047,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"i like learning and attempting new things, which is what physics is to me at least.",['Im also here to meet new people in my major and build some bonds and studies groups so we can excel together.'],"['i', 'like', 'learning', 'and', 'attempting', 'new', 'things', ',', 'which', 'is', 'what', 'physics', 'is', 'to', 'me', 'at', 'least', '.']",1,1,0,1,0,0,0,-0.08181818181818182,0.42727272727272725,0,0,3,0,2,0,1,2,2,-0.1515870988368988,0.17868708074092865,0.09731767326593399,0.059587977826595306,0.11033951491117477,-0.3234190046787262,0.21959158778190613,0.4445111155509949,-0.23300084471702576,-0.22237366437911987,0.1143680065870285,-0.35703814029693604,0.005093316547572613,0.1710081696510315,0.08773043006658554,-0.09332376718521118,0.12411975115537643,-0.16174006462097168,-0.11629079282283783,-0.4669036567211151,-0.08405712246894836,-0.0872417539358139,0.1811540722846985,-0.14896510541439056,-0.016630087047815323,0.015656109899282455,-0.2581876218318939,0.04511304199695587,-0.1162109375,0.05133725702762604,0.2735893726348877,0.022670848295092583,0.3062664270401001,-0.17166544497013092,0.020622825250029564,0.3427176773548126,0.19825631380081177,0.016903245821595192,-0.09007418155670166,-0.3042253851890564,0.05190831050276756,-0.09790405631065369,-0.039652593433856964,0.0196725744754076,0.14467737078666687,0.049386270344257355,-0.17120032012462616,0.06469055265188217,0.09706906229257584,0.21007628738880157,0.039879534393548965,-0.07574150711297989,-0.05871972441673279,-0.05716297775506973,-0.017411233857274055,0.14409899711608887,0.07223175466060638,0.03275218605995178,-0.09517600387334824,0.14506834745407104,0.06848921626806259,-0.03423156589269638,0.09846021234989166,0.12411985546350479,-0.08967835456132889,0.272519052028656,0.1414095163345337,0.20613490045070648,-0.2520296573638916,0.2338119000196457,0.0763317197561264,0.22197343409061432,0.2218259572982788,0.023672232404351234,0.44219034910202026,-0.1668521612882614,0.03559914231300354,0.020976325497031212,-0.003825150430202484,-0.22619037330150604,-0.2683107852935791,0.1383439004421234,-0.15007281303405762,0.09148114174604416,-0.25933462381362915,-0.09003961831331253,0.2598181664943695,0.11122442781925201,0.1965857297182083,-0.06368983536958694,0.4405958652496338,0.20265929400920868,-0.08215561509132385,0.03360646963119507,0.28965017199516296,0.012778574600815773,0.2515263557434082,-0.12749844789505005,-0.037200190126895905,0.008591266348958015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"if you were to ask me why am i in this lab class, i would say i want to learn and understand physics, because i am passionate about airplanes.",['and to meet people that positively impact me.'],"['if', 'you', 'were', 'to', 'ask', 'me', 'why', 'am', 'i', 'in', 'this', 'lab', 'class', ',', 'i', 'would', 'say', 'i', 'want', 'to', 'learn', 'and', 'understand', 'physics', ',', 'because', 'i', 'am', 'passionate', 'about', 'airplanes', '.']",1,1,0,1,0,0,0,-0.05,0.8500000000000001,0,0,9,0,5,1,2,0,4,-0.2648943364620209,0.17460916936397552,0.13672320544719696,0.10211514681577682,0.08196259289979935,-0.3451664447784424,0.2790977954864502,0.461483359336853,-0.2020103633403778,-0.2589685618877411,0.15845507383346558,-0.39716261625289917,-0.032947275787591934,0.22343221306800842,0.08245430141687393,-0.0486665815114975,0.16424548625946045,-0.19931523501873016,-0.15522341430187225,-0.5630549788475037,-0.0487845353782177,-0.008672821335494518,0.2906414568424225,-0.1425790637731552,0.001973674399778247,0.013526607304811478,-0.27013009786605835,0.04827911779284477,-0.1492784172296524,0.07485213875770569,0.32283785939216614,-0.03109358251094818,0.40316513180732727,-0.1978541612625122,0.05934727564454079,0.3311257064342499,0.20697328448295593,0.06719090044498444,0.009977277368307114,-0.24655434489250183,0.09677447378635406,-0.060064155608415604,-0.04524999484419823,-0.045812446624040604,0.0911138653755188,0.0031378415878862143,-0.16902415454387665,0.10262259095907211,0.09958487004041672,0.27191799879074097,0.03357706964015961,-0.1280316859483719,-0.06870926171541214,-0.03974764049053192,0.053863320499658585,0.2250828742980957,0.1641068309545517,0.053368523716926575,-0.10468897968530655,0.1845882385969162,0.06712200492620468,-0.07150664925575256,0.12488691508769989,0.15868225693702698,-0.0344623439013958,0.33595573902130127,0.15413612127304077,0.27502235770225525,-0.29323455691337585,0.269783616065979,0.06210106238722801,0.2513163089752197,0.21549907326698303,0.0022855112329125404,0.5614039897918701,-0.18390856683254242,0.04171929135918617,-0.015372303314507008,0.02544255182147026,-0.27954190969467163,-0.326552152633667,0.13227280974388123,-0.11753227561712265,0.11255621165037155,-0.31371209025382996,-0.07998387515544891,0.25435110926628113,0.01050435472279787,0.1833391636610031,-0.03944529592990875,0.4974350035190582,0.21687543392181396,-0.0558931790292263,0.03526761382818222,0.28631845116615295,0.0002578654093667865,0.23628585040569305,-0.08506003767251968,-0.03380822017788887,0.06884560734033585,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
i feel this class can give me more one on one time with the teachers in the class so they can help me better understand what i don't understand or what i am struggling with.,"[""I feel this class can give me more one on one time with the teachers in the class so they can help me better understand what I don't understand or what I am struggling with.""]","['i', 'feel', 'this', 'class', 'can', 'give', 'me', 'more', 'one', 'on', 'one', 'time', 'with', 'the', 'teachers', 'in', 'the', 'class', 'so', 'they', 'can', 'help', 'me', 'better', 'understand', 'what', 'i', 'do', ""n't"", 'understand', 'or', 'what', 'i', 'am', 'struggling', 'with', '.']",0,0,0,0,0,0,0,0.5,0.5,0,0,6,1,4,3,3,2,5,-0.1790051907300949,0.18101978302001953,0.06546692550182343,0.03221042826771736,0.12074299156665802,-0.38484570384025574,0.24026742577552795,0.5600582957267761,-0.20472615957260132,-0.2717934250831604,0.12453620135784149,-0.3858496844768524,-0.020098725333809853,0.260373055934906,0.07355951517820358,-0.1301688253879547,0.1675788313150406,-0.19581927359104156,-0.09533721953630447,-0.5225324630737305,-0.07389487326145172,-0.08163250982761383,0.1668885052204132,-0.09209451079368591,-0.0341348834335804,-0.006669668015092611,-0.2865860164165497,0.13938552141189575,-0.1429494172334671,0.05609570071101189,0.3157453238964081,-0.032425131648778915,0.3424505889415741,-0.1555185168981552,0.018267665058374405,0.2760990858078003,0.16519509255886078,0.04854469373822212,-0.05087193474173546,-0.22013075649738312,0.04617242142558098,-0.09944963455200195,-0.01975587010383606,-0.07376308739185333,0.11025908589363098,0.01548976730555296,-0.15654796361923218,0.07478243857622147,0.03640574961900711,0.25620731711387634,0.005303952842950821,-0.13166484236717224,-0.06317286193370819,-0.03676670789718628,0.0013813009718433022,0.15345868468284607,0.12002748996019363,0.03200100362300873,-0.06970410794019699,0.13035638630390167,0.0823616310954094,-0.12892664968967438,0.14646515250205994,0.18527056276798248,-0.09495578706264496,0.3490115702152252,0.1837759017944336,0.24976825714111328,-0.3026778995990753,0.29534712433815,0.1104966551065445,0.21098604798316956,0.22166584432125092,-0.007566390559077263,0.49215584993362427,-0.15101389586925507,-0.002871209755539894,0.038090433925390244,-0.02149406634271145,-0.2229471355676651,-0.30090951919555664,0.09977471828460693,-0.1578112095594406,0.12525957822799683,-0.22087915241718292,-0.03956065699458122,0.2819098234176636,0.08046530932188034,0.21483154594898224,-0.04344327747821808,0.43864163756370544,0.17366795241832733,-0.039971355348825455,0.0007926704711280763,0.29462316632270813,-0.02732999064028263,0.31446292996406555,-0.05781898647546768,-0.005652221385389566,0.054730918258428574,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
it's funny because ive never been happier than i ever been because of everything ive been doing lately.,"['Im in college because I know that I can make a change in my community.', 'That everything I do with my life will not only help my family but everyone in my community.', 'I have a drive to do better in a world that constantly belittles my community.', 'Im not shy to say it how it is and it will drive me to success.', 'The only way that Im able to create a better future for my community is by getting a PhD and create data dedicated in my community and create policy targeted towards my community.']","['it', ""'s"", 'funny', 'because', 'ive', 'never', 'been', 'happier', 'than', 'i', 'ever', 'been', 'because', 'of', 'everything', 'ive', 'been', 'doing', 'lately', '.']",0,0,0,0,0,0,0,-0.024999999999999994,0.8,0,0,1,3,4,0,1,5,4,-0.03998017683625221,0.11206158250570297,0.13456501066684723,0.12806464731693268,0.08890457451343536,-0.22870537638664246,0.12351376563310623,0.4540919065475464,-0.19349049031734467,-0.1568216234445572,0.11940422654151917,-0.32270121574401855,0.013747576624155045,0.13026919960975647,-0.0393022783100605,-0.05024731159210205,0.12058573216199875,-0.1117461547255516,-0.1382293701171875,-0.4604682922363281,-0.02192683145403862,-0.12811873853206635,0.0682608112692833,-0.05510343611240387,-0.1312885731458664,-0.025507992133498192,-0.1801432967185974,0.044562216848134995,-0.14995832741260529,-0.006902557332068682,0.15335559844970703,0.08764061331748962,0.22762152552604675,-0.1317359209060669,0.0364382304251194,0.33897265791893005,0.17590931057929993,-0.09006579965353012,-0.12422125786542892,-0.2565500736236572,0.08506494760513306,-0.11181947588920593,-0.0556216761469841,0.018268592655658722,0.18817657232284546,0.12619809806346893,-0.1713026762008667,0.029119782149791718,0.03641859069466591,0.19329899549484253,0.0608639121055603,-0.1183314323425293,0.027528848499059677,-0.0058481935411691666,-0.022440236061811447,0.2330109030008316,0.02540232054889202,0.021206581965088844,-0.05282335355877876,0.08968231827020645,0.01975473389029503,0.01261594146490097,0.016940250992774963,0.12693536281585693,-0.14652712643146515,0.2790791988372803,0.10574236512184143,0.22223740816116333,-0.19459564983844757,0.14942899346351624,0.015938609838485718,0.19202260673046112,0.14511509239673615,-0.010756570845842361,0.3935888707637787,-0.06748946011066437,0.012691258452832699,0.055447619408369064,-0.025526391342282295,-0.122762531042099,-0.23685376346111298,0.11570523679256439,-0.06517163664102554,0.18639935553073883,-0.27744320034980774,0.07824736833572388,0.24377594888210297,0.12961779534816742,0.2309969812631607,-0.0962534248828888,0.39506399631500244,0.1982605904340744,-0.04134359210729599,0.051822319626808167,0.23362329602241516,-0.026316087692975998,0.14431056380271912,-0.14199763536453247,-0.020456943660974503,0.0631430596113205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to do that by implementing these qualities to my daily life to become who i want to be.,['Peoples lives matter to me and i want to make a change.'],"['i', 'want', 'to', 'do', 'that', 'by', 'implementing', 'these', 'qualities', 'to', 'my', 'daily', 'life', 'to', 'become', 'who', 'i', 'want', 'to', 'be', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,3,0,4,2,0,1,1,-0.20081599056720734,0.23054401576519012,0.090488962829113,0.029228907078504562,0.1321752965450287,-0.4076533317565918,0.21613943576812744,0.49629291892051697,-0.15610545873641968,-0.2835163176059723,0.1583360731601715,-0.3058341145515442,-0.03708454221487045,0.18263770639896393,0.08115456998348236,0.03420722857117653,0.18832558393478394,-0.20617666840553284,-0.1400603950023651,-0.49164167046546936,-0.025712203234434128,-0.042599357664585114,0.273759663105011,-0.06518469005823135,-0.06228679418563843,0.07018453627824783,-0.21554186940193176,0.08264622837305069,-0.064677394926548,0.06756288558244705,0.3741527199745178,0.033344753086566925,0.29247787594795227,-0.17221835255622864,0.056516218930482864,0.2789037823677063,0.16596761345863342,0.02749060094356537,-0.07201630622148514,-0.18761062622070312,0.044378720223903656,-0.00020013302855659276,-0.04963814839720726,-0.08126913756132126,0.05854213237762451,0.02812984213232994,-0.10348798334598541,0.07311452925205231,0.08192004263401031,0.21317991614341736,-0.04365157335996628,-0.07362185418605804,-0.11911536753177643,-0.018692517653107643,0.03320011496543884,0.16059502959251404,0.15345028042793274,0.08447043597698212,-0.10573704540729523,0.1694110929965973,0.05558747798204422,-0.0933043509721756,0.14274801313877106,0.1549336016178131,-0.1422094851732254,0.34553760290145874,0.3216720223426819,0.07894735783338547,-0.26232075691223145,0.36355236172676086,0.026718299835920334,0.14446917176246643,0.21745352447032928,-0.007268158253282309,0.3956473767757416,-0.23249197006225586,-0.015340976417064667,0.05440980941057205,0.00863681547343731,-0.22297000885009766,-0.2969963550567627,0.08738535642623901,-0.11156084388494492,0.031349651515483856,-0.1826300323009491,-0.07791893184185028,0.2829074263572693,0.03704386577010155,0.17844220995903015,-0.05787210911512375,0.3525758385658264,0.133774071931839,-0.006815078668296337,0.01969631016254425,0.17252716422080994,-0.0959932804107666,0.2194911241531372,-0.12214299291372299,-0.07949187606573105,0.14586156606674194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
having a degree will have more opportunity such as better job offers in order to support the family needs.,"['I am also here because Ive wanted to be surrounded with the diverse group of people, to collaborate, have fun while studying.']","['having', 'a', 'degree', 'will', 'have', 'more', 'opportunity', 'such', 'as', 'better', 'job', 'offers', 'in', 'order', 'to', 'support', 'the', 'family', 'needs', '.']",0,0,0,0,0,0,1,0.275,0.375,0,0,6,0,3,2,0,3,2,-0.14664453268051147,0.22807054221630096,0.08038259297609329,0.018534217029809952,0.18508781492710114,-0.4476940631866455,0.1995742917060852,0.5726780891418457,-0.21084050834178925,-0.2707050144672394,0.14935734868049622,-0.3356727957725525,0.008928964845836163,0.24682290852069855,0.060270898044109344,-0.04675007984042168,0.17673081159591675,-0.1353508085012436,-0.04796591401100159,-0.4734770655632019,-0.04837202653288841,-0.11473514139652252,0.23489464819431305,-0.0008364749373868108,-0.08909133076667786,0.13183684647083282,-0.17837949097156525,0.13816596567630768,-0.1808607131242752,0.0646279826760292,0.3788430690765381,0.03449038416147232,0.26900696754455566,-0.2035643607378006,0.03479195013642311,0.25579553842544556,0.09814516454935074,0.018754752352833748,-0.09478364139795303,-0.18916115164756775,0.11108312755823135,-0.08646592497825623,-0.07988473027944565,-0.031396351754665375,0.09060753881931305,-0.04072725400328636,-0.1483253836631775,0.033493198454380035,0.10287666320800781,0.15528729557991028,0.040154267102479935,-0.08756008744239807,-0.11700813472270966,-0.08339830487966537,-0.07783254235982895,0.10856426507234573,0.06374969333410263,0.07749568670988083,-0.11875192821025848,0.07033975422382355,-0.012068081647157669,-0.18934473395347595,0.18327905237674713,0.20160402357578278,-0.2018050104379654,0.3587150573730469,0.3234859108924866,0.15720978379249573,-0.2521653473377228,0.26921746134757996,0.009297189302742481,0.18285638093948364,0.14963988959789276,-0.02063177153468132,0.3869113624095917,-0.08607849478721619,-0.0432809479534626,0.07643841952085495,-0.018091753125190735,-0.12267094105482101,-0.28729668259620667,0.0522371344268322,-0.0710427463054657,0.028206784278154373,-0.20663297176361084,-0.02775275707244873,0.31962379813194275,0.024404922500252724,0.22439230978488922,-0.08945786952972412,0.3922610878944397,0.17201834917068481,0.048395220190286636,0.005998014938086271,0.159832164645195,-0.08516630530357361,0.35758769512176514,-0.07626405358314514,-0.032430849969387054,0.12877941131591797,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have known from a very young age that i want to help people.,['Overall I see my education as a gateway to help others in need'],"['i', 'have', 'known', 'from', 'a', 'very', 'young', 'age', 'that', 'i', 'want', 'to', 'help', 'people', '.']",0,0,0,0,0,0,0,0.13,0.52,0,0,4,1,2,1,0,1,2,-0.172585129737854,0.1775955706834793,0.08339953422546387,0.0578584186732769,0.14752960205078125,-0.36377468705177307,0.19762463867664337,0.5132054090499878,-0.19270621240139008,-0.23643727600574493,0.11789023131132126,-0.3144920766353607,-0.02922275848686695,0.19794604182243347,0.06213776394724846,-0.02997647412121296,0.15821003913879395,-0.19332723319530487,-0.11698790639638901,-0.49535927176475525,-0.0062292455695569515,-0.04984515532851219,0.2000087946653366,-0.06330553442239761,-0.0613524429500103,0.0361773781478405,-0.1988830715417862,0.09265102446079254,-0.13828498125076294,0.04249270632863045,0.3450474739074707,0.029439669102430344,0.3070278763771057,-0.14545534551143646,0.048206429928541183,0.29587745666503906,0.1818055659532547,0.041955310851335526,-0.09966034442186356,-0.21229241788387299,0.06640946120023727,-0.03258443623781204,-0.03868774697184563,-0.07691488415002823,0.11157602816820145,0.015172360464930534,-0.15000556409358978,0.0850561186671257,0.0838521271944046,0.1860864907503128,-0.02184264548122883,-0.056687671691179276,-0.09954214841127396,-0.05152517557144165,0.0015206827083602548,0.17308537662029266,0.09766371548175812,0.04884980246424675,-0.1128060594201088,0.1399206966161728,0.02258538268506527,-0.0570237822830677,0.12585262954235077,0.1541275978088379,-0.15304864943027496,0.32783785462379456,0.2508787214756012,0.13117897510528564,-0.2628127336502075,0.30148711800575256,0.03571954742074013,0.19714678823947906,0.15283572673797607,-0.04849205166101456,0.45683231949806213,-0.1650559902191162,0.011248835362493992,0.07345223426818848,-0.036762092262506485,-0.17941837012767792,-0.29223084449768066,0.0934554785490036,-0.08127738535404205,0.09458955377340317,-0.24991841614246368,-0.033597830682992935,0.276682049036026,0.08193664252758026,0.2287377417087555,-0.03228672593832016,0.4285580515861511,0.1770261526107788,-0.01409632433205843,0.026117486879229546,0.22012583911418915,-0.057392798364162445,0.2494669109582901,-0.11182469129562378,-0.04677518084645271,0.13791003823280334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
