sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjective,preposition,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,apply,class,continue,degree,don,goal,high,learn,life,look,major,physics,place,plan,really,requirements,school,semester,student,study,took,topics,try,trying,understand,ve,want
"even though this isnt a course i took for myself, i only registered to satisfy school requirements, im putting all my effort to learn more about physics and how to apply this information to the world and to my major.",['Im putting all my effort to learn more about physics and how to apply this information to the world and to my major.'],"['even', 'though', 'this', 'isnt', 'a', 'course', 'i', 'took', 'for', 'myself', ',', 'i', 'only', 'registered', 'to', 'satisfy', 'school', 'requirements', ',', 'im', 'putting', 'all', 'my', 'effort', 'to', 'learn', 'more', 'about', 'physics', 'and', 'how', 'to', 'apply', 'this', 'information', 'to', 'the', 'world', 'and', 'to', 'my', 'major', '.']",1,1,0,1,0,0,0,0.1875,0.6666666666666666,0,0,8,2,6,5,1,3,3,-0.18165749311447144,0.18236176669597626,0.10291704535484314,0.02331206575036049,0.12689988315105438,-0.36280420422554016,0.22615303099155426,0.5030854940414429,-0.1827157586812973,-0.2765049636363983,0.14619745314121246,-0.354088693857193,-0.03389979153871536,0.2264600694179535,0.021581867709755898,-0.04219014570116997,0.18822626769542694,-0.12672655284404755,-0.12291269749403,-0.5147072076797485,-0.04785944148898125,-0.07926668971776962,0.24136117100715637,-0.08664923906326294,-0.0498366542160511,0.049545109272003174,-0.20826342701911926,0.08471247553825378,-0.1494031697511673,0.06736747175455093,0.26760217547416687,0.01309905480593443,0.32168227434158325,-0.2157137244939804,0.019866107031702995,0.3135776221752167,0.1390095055103302,-0.003301351796835661,-0.044763676822185516,-0.22204937040805817,0.12195237725973129,-0.0847414955496788,-0.05665738135576248,-0.01567676104605198,0.13161219656467438,0.020228223875164986,-0.14318668842315674,0.038074176758527756,0.07154158502817154,0.24251742660999298,0.06906572729349136,-0.16856151819229126,-0.09539216756820679,-0.054273396730422974,-0.013631579466164112,0.16046445071697235,0.09255803376436234,0.04266654700040817,-0.09530334919691086,0.10775455087423325,0.043279945850372314,-0.11918355524539948,0.13326185941696167,0.157889261841774,-0.10437119007110596,0.3450371026992798,0.21757526695728302,0.22707943618297577,-0.2694607377052307,0.27335163950920105,0.04667508602142334,0.23392638564109802,0.2080012857913971,0.029350342229008675,0.47820860147476196,-0.13541485369205475,0.02208191528916359,0.012899002991616726,-0.0030286808032542467,-0.18977034091949463,-0.30545344948768616,0.11921069771051407,-0.13074345886707306,0.09501789510250092,-0.25307172536849976,-0.07046515494585037,0.2853798568248749,0.013629286549985409,0.17093437910079956,-0.06219667196273804,0.43700578808784485,0.19501416385173798,-0.013636169023811817,0.013159418478608131,0.2709358036518097,-0.0424409843981266,0.3100101053714752,-0.09914198517799377,-0.04184515029191971,0.12151540815830231,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"i am here to build off of what we learn in class, ask questions about topics that i am not understanding, and to build study groupsrelationships with my fellow peers.","['Math always gives me a little trouble, but I get a hang of it after pushing myself to do the best I can. This is why I decided to sign up for SCI 111 and receive the extra help I knew was necessary in order for me to pass this class.']","['i', 'am', 'here', 'to', 'build', 'off', 'of', 'what', 'we', 'learn', 'in', 'class', ',', 'ask', 'questions', 'about', 'topics', 'that', 'i', 'am', 'not', 'understanding', ',', 'and', 'to', 'build', 'study', 'groupsrelationships', 'with', 'my', 'fellow', 'peers', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,7,2,3,0,1,2,6,-0.23689036071300507,0.18147103488445282,0.10587718337774277,0.025463925674557686,0.10404454171657562,-0.36320725083351135,0.24099016189575195,0.4701068103313446,-0.2112143486738205,-0.24514394998550415,0.11858661472797394,-0.3383947014808655,-0.035176102072000504,0.2074059396982193,0.058136530220508575,-0.050520919263362885,0.14993368089199066,-0.2121894806623459,-0.13709524273872375,-0.538946270942688,-0.05813015624880791,-0.0575641505420208,0.2522512674331665,-0.13974811136722565,-0.021668555215001106,0.03502936288714409,-0.24951887130737305,0.061960216611623764,-0.12317356467247009,0.05210357531905174,0.3421299159526825,0.02125648595392704,0.3384365439414978,-0.1801401823759079,0.03481227532029152,0.3449087142944336,0.14287275075912476,0.039253510534763336,-0.05265865474939346,-0.2525947391986847,0.08950099349021912,-0.10966097563505173,-0.03473609313368797,-0.07339423149824142,0.12451491504907608,0.006511970888823271,-0.17593158781528473,0.08780945092439651,0.08785010874271393,0.2353106141090393,0.0428217351436615,-0.09609147906303406,-0.10157818347215652,-0.017797255888581276,-0.007585780695080757,0.18105462193489075,0.13437753915786743,0.01806628704071045,-0.10646385699510574,0.13098958134651184,0.08561364561319351,-0.10052791237831116,0.13700777292251587,0.17330355942249298,-0.10925763100385666,0.3239333927631378,0.19624128937721252,0.20310355722904205,-0.26920104026794434,0.2702793776988983,0.0827297642827034,0.22462095320224762,0.19732360541820526,0.025849560275673866,0.46546217799186707,-0.16567157208919525,0.019856834784150124,0.007564311381429434,0.015890711918473244,-0.19450804591178894,-0.2884615957736969,0.1034039556980133,-0.12854382395744324,0.07975409924983978,-0.22584226727485657,-0.06662365794181824,0.2834109961986542,0.07646011561155319,0.18364328145980835,-0.04213910549879074,0.42700478434562683,0.19403669238090515,-0.04539049044251442,0.0019975677132606506,0.289994478225708,-0.017491096630692482,0.2727731466293335,-0.13509301841259003,-0.046744734048843384,0.07123106718063354,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"i am not the smartest student in the university, and often, i find many topics difficult and are harder to to learn than others, but i am here to take on these challenges, and expand the limitations that are in my mindset.","['I am not the smartest student in the university, and often, I find many topics difficult and are harder to to learn than others, but I am here to take on these challenges, and expand the limitations that are in my mindset.']","['i', 'am', 'not', 'the', 'smartest', 'student', 'in', 'the', 'university', ',', 'and', 'often', ',', 'i', 'find', 'many', 'topics', 'difficult', 'and', 'are', 'harder', 'to', 'to', 'learn', 'than', 'others', ',', 'but', 'i', 'am', 'here', 'to', 'take', 'on', 'these', 'challenges', ',', 'and', 'expand', 'the', 'limitations', 'that', 'are', 'in', 'my', 'mindset', '.']",0,0,0,0,0,0,0,-0.03333333333333333,0.5,0,0,8,3,3,4,0,5,4,-0.19520898163318634,0.16766469180583954,0.1356024146080017,0.04024023562669754,0.11687356978654861,-0.3346959948539734,0.2225703001022339,0.44285523891448975,-0.2113116979598999,-0.20796044170856476,0.11466201394796371,-0.3258112370967865,-0.01963970437645912,0.18272970616817474,0.06465236097574234,-0.03612765669822693,0.15120451152324677,-0.18832910060882568,-0.1299847811460495,-0.4832073450088501,-0.03642609715461731,-0.04482138156890869,0.25902748107910156,-0.1391124427318573,-0.03096400760114193,0.04671119898557663,-0.1912522315979004,0.028251366689801216,-0.1479063779115677,0.07887005060911179,0.30847251415252686,0.005850607994943857,0.3254627585411072,-0.17900684475898743,0.024993781000375748,0.319049209356308,0.11566773802042007,0.018549636006355286,-0.048419974744319916,-0.2532374858856201,0.10666986554861069,-0.08817564696073532,-0.049356862902641296,-0.034720856696367264,0.1228857934474945,0.005335881374776363,-0.17330534756183624,0.06469999253749847,0.06804550439119339,0.21319471299648285,0.049457136541604996,-0.10035184770822525,-0.12923839688301086,-0.06365726888179779,-0.033094193786382675,0.16485045850276947,0.1050168126821518,0.024300286546349525,-0.105497345328331,0.11505892127752304,0.05152423679828644,-0.07682497799396515,0.12921707332134247,0.1500786691904068,-0.10917646437883377,0.33445245027542114,0.18267352879047394,0.17288000881671906,-0.2677364945411682,0.2521964907646179,0.027811802923679352,0.22587350010871887,0.18707934021949768,0.030237870290875435,0.4668751358985901,-0.15573565661907196,0.03279116749763489,-0.002001214772462845,-0.00844029150903225,-0.16409975290298462,-0.2614169120788574,0.10241369158029556,-0.1229352355003357,0.09236031770706177,-0.2542302906513214,-0.06686407327651978,0.24192450940608978,0.053431443870067596,0.173602893948555,-0.05299702286720276,0.41379329562187195,0.189235121011734,-0.03278225660324097,0.01633634604513645,0.2801668643951416,-0.018441542983055115,0.2786576747894287,-0.12942565977573395,-0.03997326269745827,0.06933517754077911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
i am here because of my goal in trying to get a b.s. in biology concentrated physiology.,"[""My family has been the typical nail salon shiz, but I'm here to become a doctor.""]","['i', 'am', 'here', 'because', 'of', 'my', 'goal', 'in', 'trying', 'to', 'get', 'a', 'b.s', '.', 'in', 'biology', 'concentrated', 'physiology', '.']",2,2,0,1,0,0,0,0.0,0.0,0,0,5,1,2,1,0,1,4,-0.1819167286157608,0.18074053525924683,0.1334298551082611,0.06837083399295807,0.14727534353733063,-0.4101025462150574,0.22697238624095917,0.4551154673099518,-0.21010342240333557,-0.23516115546226501,0.20160184800624847,-0.28646594285964966,-0.04381197318434715,0.20236331224441528,0.05755751207470894,0.06367623805999756,0.21080343425273895,-0.09527004510164261,-0.12086667865514755,-0.5274312496185303,-0.010582394897937775,-0.033134352415800095,0.36043551564216614,-0.03302600979804993,-0.09403093159198761,0.11614848673343658,-0.15778714418411255,0.04266976937651634,-0.20829302072525024,0.08296306431293488,0.313170462846756,-0.0003331048646941781,0.3410837650299072,-0.2796471118927002,0.09346427023410797,0.34949415922164917,0.09889016300439835,0.03381571173667908,-0.03684752434492111,-0.1942002922296524,0.18361538648605347,-0.11055069416761398,-0.09865985810756683,0.0035018743947148323,0.12065455317497253,-0.029448362067341805,-0.21990367770195007,0.1073840856552124,0.1496165543794632,0.18438442051410675,0.10862895846366882,-0.09811767190694809,-0.11060888320207596,-0.0887199193239212,-0.0625825747847557,0.18404248356819153,0.03909023851156235,0.0029533696360886097,-0.1135440543293953,0.0681106373667717,-0.02078855410218239,-0.1635769158601761,0.17826156318187714,0.20218145847320557,-0.07176060974597931,0.39356619119644165,0.26725825667381287,0.19067922234535217,-0.28060203790664673,0.1920386552810669,-0.024654081091284752,0.2102878838777542,0.06917267292737961,0.04317047819495201,0.5172268152236938,-0.06480555981397629,0.0058911992236971855,0.03567415848374367,0.049649178981781006,-0.18200381100177765,-0.31369543075561523,0.09164268523454666,-0.02230866625905037,0.045661505311727524,-0.32269448041915894,-0.01936994306743145,0.32825303077697754,-0.07152987271547318,0.17353884875774384,-0.07179632037878036,0.4585994482040405,0.21889032423496246,0.03323155641555786,0.036954037845134735,0.1603485345840454,-0.07498180866241455,0.33214232325553894,-0.12854062020778656,-0.04377890005707741,0.1515583097934723,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
the last time i took physics was my freshman year of high school so i couldve used a refresher.,"['Its still a challenge and I am not extremely good, but I know that if I try my best I can still achieve decent grades. So far in my college career I have managed to get okay grades but still succeed when I am not doing so well in a class.']","['the', 'last', 'time', 'i', 'took', 'physics', 'was', 'my', 'freshman', 'year', 'of', 'high', 'school', 'so', 'i', 'couldve', 'used', 'a', 'refresher', '.']",1,1,0,1,0,0,0,0.08,0.3033333333333333,0,0,5,1,3,2,0,5,1,-0.07863746583461761,0.05800044536590576,0.12541548907756805,0.09327863156795502,0.043941568583250046,-0.2907183766365051,0.18950720131397247,0.5335341691970825,-0.22379030287265778,-0.22720925509929657,0.11278174817562103,-0.3915826380252838,-0.037820592522621155,0.28978028893470764,-0.11952783167362213,-0.008296702988445759,0.18535634875297546,-0.07294603437185287,-0.12176498025655746,-0.4792458713054657,-0.0006384479347616434,-0.1094551607966423,0.17089545726776123,-0.06709201633930206,-0.1405019611120224,-0.03072744980454445,-0.09914328902959824,0.00529077323153615,-0.2526143789291382,0.04143248870968819,0.19311514496803284,0.028338389471173286,0.31853917241096497,-0.18006987869739532,0.0026352840941399336,0.35033321380615234,0.08530175685882568,-0.12197424471378326,-0.006382222753018141,-0.2156127542257309,0.20158500969409943,-0.12751348316669464,-0.03486407548189163,-0.005754532292485237,0.22089898586273193,0.009116144850850105,-0.2344319224357605,-0.002242670627310872,0.014225984923541546,0.24331998825073242,0.09563053399324417,-0.19787684082984924,-0.05426524952054024,-0.0670153796672821,0.04062096029520035,0.22289612889289856,0.05533317103981972,0.013355805538594723,-0.08143457770347595,0.02615433745086193,-0.02296554297208786,-0.09123347699642181,0.05139543488621712,0.11048152297735214,-0.13305358588695526,0.322196900844574,0.1617204248905182,0.29404449462890625,-0.24485526978969574,0.1836549937725067,0.03124552220106125,0.20813977718353271,0.14944817125797272,0.05094742402434349,0.5475685000419617,0.0475577786564827,0.050062183290719986,0.029516270384192467,-0.04854745417833328,-0.091310054063797,-0.283794105052948,0.17722313106060028,-0.06555980443954468,0.258362352848053,-0.30903780460357666,0.012923342175781727,0.22158655524253845,0.04607614874839783,0.20283545553684235,0.014051947742700577,0.41862332820892334,0.29650455713272095,-0.018403733149170876,0.03677613288164139,0.2565779685974121,-0.0005048424354754388,0.24610468745231628,-0.10343573242425919,0.06087182089686394,0.16193746030330658,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"life does seem to continue to throw obstacles my way, but i believe anything is possible when i try.","['Life does seem to continue to throw obstacles my way, but I believe anything is possible when I try.']","['life', 'does', 'seem', 'to', 'continue', 'to', 'throw', 'obstacles', 'my', 'way', ',', 'but', 'i', 'believe', 'anything', 'is', 'possible', 'when', 'i', 'try', '.']",0,0,0,0,0,0,0,-0.025,0.5,0,0,5,0,3,0,0,2,0,-0.14398449659347534,0.17591559886932373,0.08918497711420059,0.0639871209859848,0.08205089718103409,-0.38329699635505676,0.20332325994968414,0.4749946594238281,-0.17677971720695496,-0.24174165725708008,0.14741714298725128,-0.3436470329761505,-0.02110765129327774,0.18406757712364197,0.03981819003820419,3.062345422222279e-05,0.1655116230249405,-0.17772741615772247,-0.11898862570524216,-0.4749777019023895,-0.046852994710206985,-0.07713601738214493,0.20992738008499146,-0.07382140308618546,-0.07585815340280533,0.034466952085494995,-0.22668412327766418,0.030221911147236824,-0.10185200721025467,0.05454932525753975,0.3239894509315491,0.037984780967235565,0.3061138987541199,-0.18320494890213013,0.04310931637883186,0.3017559349536896,0.16727422177791595,-0.021002791821956635,-0.08576761186122894,-0.25678694248199463,0.061577294021844864,-0.06526923179626465,-0.0193332489579916,-0.06613682955503464,0.10166420787572861,0.018000174313783646,-0.157914400100708,0.05533989518880844,0.060852814465761185,0.2009541094303131,-0.021854165941476822,-0.07859611511230469,-0.07498161494731903,-0.02877693995833397,0.03476743400096893,0.17525240778923035,0.12184746563434601,0.0759509950876236,-0.09844296425580978,0.1456238180398941,0.051493436098098755,-0.08643574267625809,0.0801306739449501,0.12876348197460175,-0.12268878519535065,0.3200709819793701,0.22633130848407745,0.14620742201805115,-0.24480919539928436,0.2749457061290741,0.05317540466785431,0.15353229641914368,0.19312362372875214,0.02006560191512108,0.4337919056415558,-0.16524654626846313,-0.006091481540352106,0.04786815494298935,-0.019908234477043152,-0.19701524078845978,-0.2685370147228241,0.11467444151639938,-0.10195732861757278,0.10107623785734177,-0.2218884378671646,-0.039866749197244644,0.2604423761367798,0.11751919239759445,0.20611979067325592,-0.059193823486566544,0.40293097496032715,0.18075084686279297,-0.042764436453580856,0.04966629669070244,0.19214990735054016,-0.03873232752084732,0.2149786651134491,-0.12751685082912445,-0.03556029126048088,0.09783642739057541,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
after earning my bs degree in biochemistry i plan to take the dental admission test and apply to dental school.,"['I know this journey will not be easy, I but I am doing my best, studying hard, and trying to accomplish my goal.']","['after', 'earning', 'my', 'bs', 'degree', 'in', 'biochemistry', 'i', 'plan', 'to', 'take', 'the', 'dental', 'admission', 'test', 'and', 'apply', 'to', 'dental', 'school', '.']",0,1,0,0,0,0,0,0.0,0.0,0,0,8,0,3,1,0,2,2,-0.12624365091323853,0.14549332857131958,0.11320503056049347,0.041109681129455566,0.11657483875751495,-0.38848206400871277,0.16705024242401123,0.48738884925842285,-0.16631567478179932,-0.25493279099464417,0.13563065230846405,-0.30221548676490784,-0.0440470390021801,0.2235884666442871,0.014575034379959106,0.03994308412075043,0.18715707957744598,-0.09943266957998276,-0.11970716714859009,-0.4249001145362854,0.009449966251850128,-0.05583827570080757,0.2605268955230713,-0.024347003549337387,-0.11522280424833298,0.07606018334627151,-0.10688811540603638,0.03638458624482155,-0.15445975959300995,0.08121943473815918,0.2592777609825134,0.02578093111515045,0.26356837153434753,-0.21198754012584686,0.02315583825111389,0.2727203369140625,0.09246224910020828,-0.044011544436216354,-0.037530235946178436,-0.15814365446567535,0.1359582245349884,-0.044976335018873215,-0.054859984666109085,-0.02326669543981552,0.11360957473516464,-0.002058735815808177,-0.15412333607673645,0.01708369143307209,0.08287130296230316,0.17835396528244019,0.03593028709292412,-0.11631989479064941,-0.11083085834980011,-0.06674939393997192,0.011307306587696075,0.13940678536891937,0.07598208636045456,0.05018703639507294,-0.09363993257284164,0.07371807843446732,-0.015316156670451164,-0.113999143242836,0.11261164397001266,0.12776410579681396,-0.13131216168403625,0.3325210213661194,0.26843497157096863,0.12889410555362701,-0.2382194846868515,0.24735711514949799,-0.014175242744386196,0.14658628404140472,0.14512169361114502,0.02663450874388218,0.4131850004196167,-0.06793016195297241,-0.006463922560214996,0.04234152287244797,-0.015516716986894608,-0.12635086476802826,-0.2514656186103821,0.10482341796159744,-0.06424916535615921,0.07455075532197952,-0.20796185731887817,-0.030608341097831726,0.22622603178024292,-0.013960838317871094,0.16325032711029053,-0.038263656198978424,0.34501412510871887,0.17917616665363312,0.03789380192756653,0.02249826304614544,0.15029887855052948,-0.047285355627536774,0.2232014536857605,-0.11407551914453506,-0.028618546202778816,0.15943703055381775,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"i try my best to go to my professors office hours and study material i did not understand in lecture, but sometimes i still do not understand.","['I was not looking forward to this class because I thought it would be quite difficult and I would struggle a lot. I am already four weeks into the class and it is not as bad as I thought it would be. I enjoying being in class when I actually understand the material, however, when I do not understand a topic, the class becomes quite frustrating. I try my best to go to my professors office hours and study material I did not understand in lecture, but sometimes I still do not understand. I attend every class so I can get the most out of my education and learn the vital facts about physics.']","['i', 'try', 'my', 'best', 'to', 'go', 'to', 'my', 'professors', 'office', 'hours', 'and', 'study', 'material', 'i', 'did', 'not', 'understand', 'in', 'lecture', ',', 'but', 'sometimes', 'i', 'still', 'do', 'not', 'understand', '.']",0,0,0,0,0,0,0,1.0,0.3,0,0,7,4,6,0,0,1,1,-0.16187135875225067,0.1589011400938034,0.11303739249706268,0.05696755275130272,0.06925088912248611,-0.3857719600200653,0.2482333928346634,0.543585479259491,-0.1806187480688095,-0.2920934855937958,0.1402662992477417,-0.3697092831134796,-0.04368477687239647,0.2276729941368103,0.03880121931433678,-0.032704368233680725,0.20089758932590485,-0.19978810846805573,-0.16351786255836487,-0.5549586415290833,-0.03208141773939133,-0.0733306035399437,0.22752168774604797,-0.06220614165067673,-0.09662441164255142,-0.0023042287211865187,-0.2440032958984375,0.07735003530979156,-0.12793384492397308,0.06648755073547363,0.30419567227363586,-0.005172365345060825,0.3592675030231476,-0.18836882710456848,0.017828645184636116,0.28773510456085205,0.197524294257164,-0.0022664384450763464,-0.05228756368160248,-0.20907780528068542,0.06175214797258377,-0.06949320435523987,-0.020459679886698723,-0.06239183247089386,0.13149118423461914,0.004145578481256962,-0.152760311961174,0.0547071173787117,0.05433418229222298,0.2609705328941345,-0.01806429959833622,-0.1279473900794983,-0.09785784035921097,-0.03533373028039932,0.03309273347258568,0.18587858974933624,0.12009662389755249,0.060016173869371414,-0.10063617676496506,0.15941502153873444,0.08656901121139526,-0.09462056308984756,0.1167464405298233,0.13875749707221985,-0.08087363839149475,0.33577653765678406,0.1895999014377594,0.20230130851268768,-0.28239333629608154,0.2872123718261719,0.06462597846984863,0.18631190061569214,0.21839739382266998,0.007359111215919256,0.5053354501724243,-0.1615872085094452,0.011466949246823788,0.05447318032383919,-0.015457209199666977,-0.21866677701473236,-0.2883024513721466,0.11794497072696686,-0.15964266657829285,0.12068235129117966,-0.2474217712879181,-0.05905885249376297,0.2602638602256775,0.07830686122179031,0.2006136178970337,-0.051167648285627365,0.4424123167991638,0.18305560946464539,-0.030135832726955414,0.051468219608068466,0.24313896894454956,-0.0438389852643013,0.2411983609199524,-0.09148717671632767,-0.022020410746335983,0.09514212608337402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
"when i went to physical therapy, my therapist and i got really close during my process of rehabilitation.","['When I went to physical therapy, my therapist and I got really close during my process of rehabilitation. After healing my elbow completely, my physical therapist taught me important tips on taking care of my body overall as well as continuing my dreams of playing basketball professionally. My overall goal as to why I am in college is to become a physical therapist.']","['when', 'i', 'went', 'to', 'physical', 'therapy', ',', 'my', 'therapist', 'and', 'i', 'got', 'really', 'close', 'during', 'my', 'process', 'of', 'rehabilitation', '.']",0,0,0,0,0,0,1,0.1,0.17142857142857143,0,0,6,1,2,0,0,2,2,-0.11883381009101868,0.1317845731973648,0.11988280713558197,0.08202744275331497,0.09877724945545197,-0.33915823698043823,0.18218858540058136,0.47076812386512756,-0.1970178484916687,-0.21570557355880737,0.12698182463645935,-0.3116474747657776,-0.05288620665669441,0.18682990968227386,-0.022862698882818222,0.034963592886924744,0.15726931393146515,-0.1280042678117752,-0.1266566962003708,-0.44359251856803894,0.0035818880423903465,-0.06305868923664093,0.2183813452720642,-0.049687862396240234,-0.11053809523582458,0.03780023753643036,-0.1256561428308487,0.011167862452566624,-0.15821410715579987,0.040231432765722275,0.26439329981803894,0.05133157968521118,0.26914817094802856,-0.17960356175899506,0.03264254331588745,0.314352810382843,0.1201496496796608,-0.06172347068786621,-0.06602834165096283,-0.2290930449962616,0.1273677796125412,-0.08766386657953262,-0.03055807575583458,-0.03208290785551071,0.14387132227420807,0.0011592209339141846,-0.20123200118541718,0.04354250058531761,0.08788832277059555,0.20267097651958466,0.027126358821988106,-0.10498394072055817,-0.11723339557647705,-0.06849672645330429,-0.0005920547991991043,0.19417162239551544,0.07052264362573624,0.04701526463031769,-0.1269461065530777,0.0884985402226448,0.004569625947624445,-0.05384434387087822,0.08063691109418869,0.10979361087083817,-0.15073364973068237,0.2997407615184784,0.25038209557533264,0.16516821086406708,-0.23700465261936188,0.24560965597629547,0.010601750575006008,0.15759597718715668,0.15476876497268677,0.03583578020334244,0.45508480072021484,-0.09202021360397339,0.0036398901138454676,0.051105473190546036,-0.02374911680817604,-0.13368642330169678,-0.2651357352733612,0.11229082942008972,-0.07473631948232651,0.1215544268488884,-0.2489076405763626,-0.022520048543810844,0.2331865429878235,0.07214530557394028,0.19630806148052216,-0.03104652278125286,0.3848505914211273,0.2150346338748932,0.004542855080217123,0.06177661195397377,0.17885231971740723,-0.0315064862370491,0.2279033660888672,-0.14807313680648804,-0.027569882571697235,0.13630521297454834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"more often than people realize.i'm only here because despite how long i've been in school, i want to prove that i can persist through and get that darn degree.","[""I'm only here because despite how long I've been in school, I want to prove that I can persist through and get that darn degree. The amount of support and peeps I've met up until this point, have given me purpose to keep continuing through.""]","['more', 'often', 'than', 'people', 'realize.i', ""'m"", 'only', 'here', 'because', 'despite', 'how', 'long', 'i', ""'ve"", 'been', 'in', 'school', ',', 'i', 'want', 'to', 'prove', 'that', 'i', 'can', 'persist', 'through', 'and', 'get', 'that', 'darn', 'degree', '.']",0,0,0,0,0,0,0,0.15,0.6333333333333333,0,0,7,4,4,1,0,1,6,-0.1852540373802185,0.15194371342658997,0.07343930751085281,0.07171649485826492,0.11372104287147522,-0.4093794524669647,0.19582676887512207,0.5265341997146606,-0.20447707176208496,-0.2572089731693268,0.14663340151309967,-0.35418498516082764,-0.037890005856752396,0.23213639855384827,0.058856599032878876,-0.032701823860406876,0.18671457469463348,-0.19823765754699707,-0.13766826689243317,-0.5560524463653564,-0.02367085963487625,-0.0698796808719635,0.23200856149196625,-0.07135084271430969,-0.08256807923316956,0.04533432051539421,-0.23287822306156158,0.06853387504816055,-0.1650388538837433,0.06005952134728432,0.349263072013855,0.02985236793756485,0.3263064920902252,-0.20104318857192993,0.036278512328863144,0.3219960629940033,0.17984166741371155,0.023319711908698082,-0.08481024205684662,-0.21218258142471313,0.08164291828870773,-0.0665004700422287,-0.0508735217154026,-0.0698629766702652,0.13479110598564148,0.020656155422329903,-0.16494165360927582,0.07395630329847336,0.10212818533182144,0.2081829011440277,0.014765843749046326,-0.07259994000196457,-0.06900069862604141,-0.025271007791161537,0.011353570967912674,0.1813640296459198,0.10703843086957932,0.05388801544904709,-0.10695945471525192,0.13745266199111938,0.017411798238754272,-0.08492835611104965,0.141315758228302,0.1772114634513855,-0.12253182381391525,0.34536632895469666,0.23839378356933594,0.18159247934818268,-0.26331546902656555,0.2723570466041565,0.04915209114551544,0.19394919276237488,0.14961890876293182,-0.009475884027779102,0.47483962774276733,-0.1459142118692398,0.0064890566281974316,0.06589555740356445,-0.005707236472517252,-0.20619599521160126,-0.29907023906707764,0.11400644481182098,-0.08788616955280304,0.10547525435686111,-0.25323519110679626,-0.03400494158267975,0.2887759804725647,0.07186436653137207,0.228139728307724,-0.04109402745962143,0.441346138715744,0.2066357284784317,0.0016277834074571729,0.0057175736874341965,0.2144334316253662,-0.038412585854530334,0.25806257128715515,-0.10975592583417892,-0.03439520671963692,0.1287141740322113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
