sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjetive,preposition,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99
im not shy to say it how it is and it will drive me to success.,['That everything I do with my life will not only help my family but everyone in my community.'],"['im', 'not', 'shy', 'to', 'say', 'it', 'how', 'it', 'is', 'and', 'it', 'will', 'drive', 'me', 'to', 'success', '.']",0,0,0,0,0,0,0,0.275,0.25,0,0,2,1,2,0,4,1,0,-0.11101336777210236,0.1890699565410614,0.10354547202587128,0.07397449016571045,0.11875880509614944,-0.37300097942352295,0.1999470591545105,0.45474448800086975,-0.1681368201971054,-0.2442023754119873,0.16692733764648438,-0.3394703269004822,-0.043600715696811676,0.15455451607704163,0.0763685405254364,-0.04949887841939926,0.16233614087104797,-0.12039462476968765,-0.09075041115283966,-0.4597134590148926,-0.08470311015844345,-0.10930873453617096,0.18602868914604187,-0.11129787564277649,-0.0843140259385109,-0.00040422752499580383,-0.2831953763961792,0.044277969747781754,-0.08859163522720337,0.06992026418447495,0.2503385543823242,0.00011276965960860252,0.3153190314769745,-0.1915138065814972,0.06440027803182602,0.23851267993450165,0.1941865086555481,0.007063130382448435,-0.08223512768745422,-0.26883628964424133,0.03474252298474312,-0.03730835020542145,-0.01914246194064617,0.03498843312263489,0.10112965106964111,0.03314647078514099,-0.12772203981876373,0.046219583600759506,0.06664721667766571,0.24744892120361328,0.01460963673889637,-0.07225430756807327,-0.006477345246821642,-0.04441870376467705,0.013759074732661247,0.15470579266548157,0.0896541103720665,0.1119711697101593,-0.051686856895685196,0.17718517780303955,0.03192573040723801,-0.046990953385829926,0.05082152038812637,0.12036091089248657,-0.09243503212928772,0.30152902007102966,0.1934695690870285,0.21904277801513672,-0.27923262119293213,0.29025185108184814,0.04715825244784355,0.19316361844539642,0.2589409649372101,0.01409277692437172,0.4775764048099518,-0.18830209970474243,0.026726476848125458,0.046620555222034454,-0.027631189674139023,-0.30142584443092346,-0.2769180238246918,0.18029876053333282,-0.14704468846321106,0.07481732219457626,-0.20794300734996796,-0.08434586971998215,0.21801093220710754,0.0842251107096672,0.1953994482755661,-0.0694163590669632,0.44741761684417725,0.14891228079795837,-0.06690403819084167,0.0799136757850647,0.24771641194820404,-0.034907106310129166,0.25699281692504883,-0.09616440534591675,-0.013063574209809303,0.024998683482408524
"what's more, my dream is to become a veterinarian, but in china, there is only limited program that focus on veterinarian science.i transferred from university of california, santa barbara because san francisco is the city i want to stay for the rest of my life and i love everything about sf state.i am here because physics 122 is one of my major lower division class.","['I am an International student from China, and my parents send me here because they want me to have better education resources.']","['what', ""'s"", 'more', ',', 'my', 'dream', 'is', 'to', 'become', 'a', 'veterinarian', ',', 'but', 'in', 'china', ',', 'there', 'is', 'only', 'limited', 'program', 'that', 'focus', 'on', 'veterinarian', 'science.i', 'transferred', 'from', 'university', 'of', 'california', ',', 'santa', 'barbara', 'because', 'san', 'francisco', 'is', 'the', 'city', 'i', 'want', 'to', 'stay', 'for', 'the', 'rest', 'of', 'my', 'life', 'and', 'i', 'love', 'everything', 'about', 'sf', 'state.i', 'am', 'here', 'because', 'physics', '122', 'is', 'one', 'of', 'my', 'major', 'lower', 'division', 'class', '.']",1,1,0,1,0,0,0,0.19821428571428573,0.5485714285714286,0,0,18,2,3,3,0,9,10,-0.12370729446411133,0.16760708391666412,0.14172206819057465,0.06552381068468094,0.14518581330776215,-0.3544119894504547,0.21363785862922668,0.4371258318424225,-0.217757448554039,-0.18783898651599884,0.18229156732559204,-0.3229683041572571,-0.029047636315226555,0.15611447393894196,0.05845300853252411,0.03209294006228447,0.1826317310333252,-0.10388299822807312,-0.11662732809782028,-0.4914632737636566,-0.02367420122027397,-0.032821934670209885,0.2712843418121338,-0.13008786737918854,-0.10292655229568481,0.07979079335927963,-0.1623077392578125,-0.02707703970372677,-0.18112508952617645,0.06614866107702255,0.2947026789188385,0.027718476951122284,0.3444826900959015,-0.22123095393180847,0.06536862254142761,0.3601636588573456,0.11176222562789917,-0.0020832601003348827,-0.07772070169448853,-0.28756219148635864,0.13359107077121735,-0.0812583714723587,-0.04556113854050636,0.026806531473994255,0.14609387516975403,-0.0035854747984558344,-0.21385402977466583,0.06717240065336227,0.10538003593683243,0.17052017152309418,0.06231020390987396,-0.05776491388678551,-0.09537605196237564,-0.08943062275648117,-0.04766397923231125,0.17288221418857574,0.05868120864033699,0.033028457313776016,-0.10163895785808563,0.0903608426451683,-0.014159047044813633,-0.07701390981674194,0.12984701991081238,0.1499708741903305,-0.11772460490465164,0.331994891166687,0.19380871951580048,0.1750403195619583,-0.26864224672317505,0.19257454574108124,-0.01373344287276268,0.19209180772304535,0.12620069086551666,0.04910147935152054,0.4830786883831024,-0.10690705478191376,0.047055188566446304,0.026498759165406227,-0.022255614399909973,-0.1512458324432373,-0.2660955488681793,0.13227683305740356,-0.07328695803880692,0.0884338840842247,-0.2936088740825653,-0.02602718397974968,0.26893648505210876,0.019017616286873817,0.19423677027225494,-0.07227577269077301,0.44540926814079285,0.23185157775878906,-0.02075929567217827,0.05559312552213669,0.22501437366008759,-0.022443896159529686,0.28859591484069824,-0.13093072175979614,-0.030439572408795357,0.07963742315769196
i am here in united states because my father migrated us from philippines to have a better opportunity and to be able to have a degree that i can have and use my degree where ever i go.,['Having a degree will have more opportunity such as better job offers in order to support the family needs'],"['i', 'am', 'here', 'in', 'united', 'states', 'because', 'my', 'father', 'migrated', 'us', 'from', 'philippines', 'to', 'have', 'a', 'better', 'opportunity', 'and', 'to', 'be', 'able', 'to', 'have', 'a', 'degree', 'that', 'i', 'can', 'have', 'and', 'use', 'my', 'degree', 'where', 'ever', 'i', 'go', '.']",0,0,0,0,0,0,0,0.5,0.5625,0,0,8,3,6,2,1,3,4,-0.17333972454071045,0.19763052463531494,0.10478363186120987,0.08285938948392868,0.16701790690422058,-0.3964638113975525,0.20681829750537872,0.5121374130249023,-0.19014020264148712,-0.26412609219551086,0.1542953997850418,-0.31954964995384216,-0.03162672370672226,0.22160214185714722,0.06367714703083038,0.0056717051193118095,0.1826866865158081,-0.16574493050575256,-0.12438559532165527,-0.5114963054656982,-0.015228023752570152,-0.060736626386642456,0.2592933177947998,-0.03419600799679756,-0.09203539043664932,0.07586760073900223,-0.1790972650051117,0.08275268226861954,-0.15844999253749847,0.052914638072252274,0.34599414467811584,0.026542091742157936,0.28003057837486267,-0.17714446783065796,0.06637002527713776,0.2922356128692627,0.14584195613861084,0.04059821739792824,-0.0774887353181839,-0.19287846982479095,0.10919127613306046,-0.03943154588341713,-0.07078688591718674,-0.03856661170721054,0.10019828379154205,0.005553033202886581,-0.17983750998973846,0.06685103476047516,0.10490339994430542,0.18869443237781525,0.0078362338244915,-0.08355604857206345,-0.11319047212600708,-0.0754256546497345,-0.016009248793125153,0.177255317568779,0.07938876003026962,0.05409131571650505,-0.10987818986177444,0.11436222493648529,0.00559450825676322,-0.1014459878206253,0.1512843370437622,0.14638908207416534,-0.14516869187355042,0.3422242999076843,0.27821946144104004,0.1378014087677002,-0.2512154281139374,0.2738529443740845,-0.013751110062003136,0.1793108433485031,0.14161963760852814,-0.0058396379463374615,0.45631980895996094,-0.13927476108074188,-0.005678821355104446,0.06165985018014908,-0.005616712849587202,-0.1888844072818756,-0.3055746555328369,0.08181952685117722,-0.07026229798793793,0.05876046046614647,-0.2502824664115906,-0.04510405659675598,0.2862505614757538,0.026112569496035576,0.2064293473958969,-0.08042588084936142,0.4042833745479584,0.1802578866481781,0.02406926639378071,0.03375311195850372,0.16731220483779907,-0.0689450278878212,0.27398681640625,-0.12054643779993057,-0.04092716425657272,0.15229575335979462
"a lot of what my family taught us throughout the years has always been through education and knowing that, thats what our biggest goal was.","['A lot of what my family taught us throughout the years has always been through education and knowing that, thats what our biggest goal was.']","['a', 'lot', 'of', 'what', 'my', 'family', 'taught', 'us', 'throughout', 'the', 'years', 'has', 'always', 'been', 'through', 'education', 'and', 'knowing', 'that', ',', 'thats', 'what', 'our', 'biggest', 'goal', 'was', '.']",0,0,0,0,0,0,1,0.0,0.0,0,0,6,1,4,2,1,1,4,-0.052024971693754196,0.18429672718048096,0.065668985247612,0.03873247280716896,0.15864065289497375,-0.3493950664997101,0.13648556172847748,0.5312586426734924,-0.21816055476665497,-0.19243165850639343,0.11877421289682388,-0.33028870820999146,0.012421730905771255,0.17096233367919922,-0.013571335934102535,-0.05595121532678604,0.13468532264232635,-0.14135120809078217,-0.08755306899547577,-0.4611720144748688,-0.053963761776685715,-0.1696915179491043,0.108644999563694,-0.05881457403302193,-0.13706253468990326,0.03532042354345322,-0.17948471009731293,0.041758183389902115,-0.14527210593223572,0.00755676906555891,0.28098785877227783,0.10346381366252899,0.22117868065834045,-0.13567590713500977,0.014471696689724922,0.35673820972442627,0.10782507061958313,-0.06500129401683807,-0.16546431183815002,-0.29705196619033813,0.08934637159109116,-0.12632983922958374,-0.035875797271728516,-0.024158820509910583,0.18405677378177643,0.06866319477558136,-0.1843506395816803,0.028194855898618698,0.032840464264154434,0.16520461440086365,0.03031996451318264,-0.07274409383535385,-0.04397362098097801,-0.04556424915790558,-0.0758175253868103,0.15077830851078033,0.010867416858673096,0.030667787417769432,-0.07349126040935516,0.0501241460442543,0.04418962076306343,-0.08576522767543793,0.09295569360256195,0.13017237186431885,-0.2013694941997528,0.2804771363735199,0.22850388288497925,0.1454973667860031,-0.22418390214443207,0.2300359010696411,0.03434814512729645,0.15542671084403992,0.1489647626876831,0.03100769966840744,0.36276763677597046,-0.0712265893816948,-0.02068137377500534,0.07346048951148987,-0.05757516995072365,-0.09791026264429092,-0.22027572989463806,0.09111206233501434,-0.109839528799057,0.12668099999427795,-0.19857139885425568,0.010027986019849777,0.29323217272758484,0.17119373381137848,0.24053119122982025,-0.08472926169633865,0.37059399485588074,0.20901712775230408,-0.019139718264341354,0.036529265344142914,0.20872457325458527,-0.06544120609760284,0.2633190155029297,-0.16083583235740662,-0.004195768851786852,0.07798456400632858
this is why im here at san francisco state university majoring in biology concentration in physiology to in hopes one day become a pediatric nurse and to work as hard as i can so that one day i could return something back to my parents and make them proud for what theyve given up for me to live a better life.,['This is why Im here at San Francisco State University majoring in Biology concentration in Physiology to in hopes one day become a pediatric nurse and to work as hard as I can so that one day I could return something back to my parents and make them proud for what theyve given up for me to live a better life.'],"['this', 'is', 'why', 'im', 'here', 'at', 'san', 'francisco', 'state', 'university', 'majoring', 'in', 'biology', 'concentration', 'in', 'physiology', 'to', 'in', 'hopes', 'one', 'day', 'become', 'a', 'pediatric', 'nurse', 'and', 'to', 'work', 'as', 'hard', 'as', 'i', 'can', 'so', 'that', 'one', 'day', 'i', 'could', 'return', 'something', 'back', 'to', 'my', 'parents', 'and', 'make', 'them', 'proud', 'for', 'what', 'theyve', 'given', 'up', 'for', 'me', 'to', 'live', 'a', 'better', 'life', '.']",2,2,0,1,0,0,1,0.22893939393939391,0.5083333333333333,0,0,18,4,7,3,2,4,8,-0.1377505362033844,0.17732156813144684,0.11022462695837021,0.055259764194488525,0.13437628746032715,-0.4091537594795227,0.20547395944595337,0.4881601333618164,-0.18951942026615143,-0.22649775445461273,0.2032775729894638,-0.3385676443576813,-0.027053890749812126,0.20053772628307343,0.05976981297135353,0.043617065995931625,0.21081161499023438,-0.15620188415050507,-0.11173316836357117,-0.5160180330276489,-0.025756532326340675,-0.048537831753492355,0.26729339361190796,-0.08859316259622574,-0.11249233037233353,0.09830889850854874,-0.1900506317615509,0.0035364225041121244,-0.17001000046730042,0.05750158801674843,0.38202399015426636,0.024171074852347374,0.3429897129535675,-0.24106146395206451,0.07346609234809875,0.3348919749259949,0.1402779221534729,0.001014243345707655,-0.08963856846094131,-0.2563546895980835,0.11305911093950272,-0.06194194406270981,-0.04095149785280228,-0.025058334693312645,0.12356188893318176,-0.019871113821864128,-0.18473902344703674,0.07286282628774643,0.10145251452922821,0.16058263182640076,0.022644605487585068,-0.030838171020150185,-0.10961390286684036,-0.07145096361637115,-0.022782687097787857,0.16530777513980865,0.0859127938747406,0.07352472841739655,-0.12348362803459167,0.11012019962072372,-0.002834723796695471,-0.10638317465782166,0.15682879090309143,0.16426442563533783,-0.14065991342067719,0.3273570239543915,0.26301777362823486,0.1386498510837555,-0.26551589369773865,0.2594505846500397,0.0006453022360801697,0.17394879460334778,0.1239500492811203,0.03165655955672264,0.46820634603500366,-0.13341380655765533,0.01442137360572815,0.057115424424409866,-0.01634654775261879,-0.15910348296165466,-0.29049527645111084,0.10674402117729187,-0.07051724940538406,0.06735499948263168,-0.2654886543750763,-0.045359764248132706,0.28894326090812683,0.04905892536044121,0.2204715609550476,-0.04992659389972687,0.45060595870018005,0.2314569503068924,0.005355475936084986,0.05369732901453972,0.17186664044857025,-0.053343575447797775,0.2725127339363098,-0.08827374875545502,-0.03709791600704193,0.12449707835912704
i am here because i want to feel like i am actually doing something in my life.,['I am the first generation to go to college so I want to show my parents my love for science and become something.'],"['i', 'am', 'here', 'because', 'i', 'want', 'to', 'feel', 'like', 'i', 'am', 'actually', 'doing', 'something', 'in', 'my', 'life', '.']",0,0,0,0,0,0,0,0.0,0.1,0,0,5,2,2,0,0,0,3,-0.27470940351486206,0.20208977162837982,0.07919818162918091,0.10929680615663528,0.08099772781133652,-0.36587536334991455,0.2576357424259186,0.42440545558929443,-0.1980375051498413,-0.240138441324234,0.21856781840324402,-0.3629859983921051,-0.04680508375167847,0.1920059472322464,0.09248306602239609,0.02344474196434021,0.18991732597351074,-0.20358328521251678,-0.19889169931411743,-0.6158968210220337,-0.052151650190353394,-0.01318508479744196,0.3497987687587738,-0.13375695049762726,-0.03462448716163635,0.0397539883852005,-0.2651166021823883,0.0033218683674931526,-0.15739306807518005,0.04309692606329918,0.4154476225376129,-0.009124962612986565,0.4213141202926636,-0.21744227409362793,0.10083192586898804,0.3953911066055298,0.23130343854427338,0.07634768635034561,-0.013381651602685452,-0.2565711736679077,0.09986557811498642,-0.051674265414476395,-0.05905092507600784,-0.11028510332107544,0.1054893359541893,0.017672590911388397,-0.1762477606534958,0.1506579965353012,0.13751637935638428,0.23345308005809784,0.027386870235204697,-0.08309590071439743,-0.040949780493974686,-0.0017693559639155865,0.05808103084564209,0.22829163074493408,0.16896413266658783,0.04179365187883377,-0.13777582347393036,0.14002907276153564,0.08450968563556671,-0.09202329814434052,0.173478364944458,0.18172532320022583,-0.04190463200211525,0.35924431681632996,0.21591085195541382,0.2124181091785431,-0.2784091830253601,0.2609572112560272,0.05856660008430481,0.2195659726858139,0.1466560810804367,0.03783160075545311,0.5380075573921204,-0.18729382753372192,0.034409768879413605,0.03253176063299179,0.06463734060525894,-0.28823480010032654,-0.3582353889942169,0.1382473260164261,-0.0669843927025795,0.12006430327892303,-0.3347301781177521,-0.03961987793445587,0.336871474981308,0.00617591617628932,0.19991044700145721,-0.0400584377348423,0.4874723553657532,0.25402194261550903,-0.028150318190455437,0.015226390212774277,0.22402045130729675,-0.030129358172416687,0.23883698880672455,-0.1220727264881134,-0.06384234875440598,0.10359124839305878
"so like how am i suppose to pick one concentration and follow through with it, if i love being involved with multiple things.","[""If it wasn't for my family specifically my siblings I know that I wouldn't be as motivated to keep going""]","['so', 'like', 'how', 'am', 'i', 'suppose', 'to', 'pick', 'one', 'concentration', 'and', 'follow', 'through', 'with', 'it', ',', 'if', 'i', 'love', 'being', 'involved', 'with', 'multiple', 'things', '.']",0,0,0,0,0,0,0,0.25,0.3,0,0,2,2,4,0,1,2,5,-0.1758553683757782,0.17669454216957092,0.10264597833156586,0.06988158822059631,0.09783197194337845,-0.33379921317100525,0.1994863599538803,0.4589604139328003,-0.20903915166854858,-0.21172894537448883,0.10302284359931946,-0.3589712977409363,0.012371447868645191,0.18190069496631622,0.07126672565937042,-0.08254572749137878,0.13386330008506775,-0.20460090041160583,-0.11183969676494598,-0.49178823828697205,-0.04487518221139908,-0.07675151526927948,0.17659033834934235,-0.10952822864055634,-0.06482861191034317,0.016794875264167786,-0.23771628737449646,0.034091923385858536,-0.13511493802070618,0.043905433267354965,0.30647367238998413,0.017891526222229004,0.283820778131485,-0.1710316687822342,0.014967970550060272,0.3070516884326935,0.16245615482330322,-0.004070335067808628,-0.07909264415502548,-0.25939974188804626,0.0661303848028183,-0.06942103058099747,-0.03244099020957947,-0.02598271332681179,0.11572875827550888,0.028889449313282967,-0.15308374166488647,0.06258987635374069,0.0661468431353569,0.2115761786699295,0.03170508146286011,-0.06912798434495926,-0.06684786081314087,-0.044055577367544174,0.002023131586611271,0.1802438199520111,0.10411011427640915,0.05833335965871811,-0.10699280351400375,0.14392909407615662,0.0445079505443573,-0.053798120468854904,0.07058592140674591,0.12353602796792984,-0.12053164094686508,0.28017428517341614,0.1602344661951065,0.17492929100990295,-0.2556167244911194,0.25840169191360474,0.05755828693509102,0.20514534413814545,0.2006947100162506,-0.01873970963060856,0.4244339168071747,-0.15347425639629364,0.019067322835326195,0.04116677865386009,-0.013136416673660278,-0.19049464166164398,-0.2695162892341614,0.12294279783964157,-0.13894771039485931,0.1019415631890297,-0.2453129142522812,-0.05949754640460014,0.2275545299053192,0.13391083478927612,0.2234080731868744,-0.0514896959066391,0.42505139112472534,0.1834382563829422,-0.05412125959992409,0.044909168034791946,0.2582252025604248,-0.005325396545231342,0.22796031832695007,-0.12121563404798508,-0.02162100560963154,0.046784959733486176
"firstly, i am here to challenge myself and make myself known in the stem field.",['I am here to make my familys sacrifices worth it.'],"['firstly', ',', 'i', 'am', 'here', 'to', 'challenge', 'myself', 'and', 'make', 'myself', 'known', 'in', 'the', 'stem', 'field', '.']",0,0,0,0,0,0,0,0.25,0.3333333333333333,0,0,3,2,3,1,2,0,1,-0.22989365458488464,0.1905336081981659,0.06256799399852753,0.028562989085912704,0.11270257830619812,-0.39657703042030334,0.19300143420696259,0.41141894459724426,-0.1809583455324173,-0.19746370613574982,0.193512424826622,-0.29721081256866455,-0.04746340960264206,0.19439411163330078,0.06624463200569153,0.05455261096358299,0.17099380493164062,-0.190347820520401,-0.14010895788669586,-0.5238789916038513,-0.040821414440870285,-0.002653985284268856,0.3243502080440521,-0.10863562673330307,-0.04454544559121132,0.11432290822267532,-0.18016943335533142,-0.00810261256992817,-0.1550692915916443,0.066037617623806,0.4356139004230499,0.0278475284576416,0.3485538065433502,-0.21415825188159943,0.09018134325742722,0.362708181142807,0.11052186042070389,0.029151801019906998,-0.04564717039465904,-0.2638833820819855,0.1109989807009697,-0.09036172181367874,-0.0469881109893322,-0.11764160543680191,0.0932949036359787,-0.036967359483242035,-0.1785784661769867,0.13440212607383728,0.1229005753993988,0.16249480843544006,0.026373203843832016,-0.056437332183122635,-0.12031135708093643,-0.02399413473904133,-0.001891226158477366,0.19600386917591095,0.14833784103393555,0.06925372034311295,-0.1270400583744049,0.09357861429452896,0.03938191011548042,-0.14757277071475983,0.17980079352855682,0.19118303060531616,-0.11248091608285904,0.3525746166706085,0.306534081697464,0.12993434071540833,-0.2595009207725525,0.28238213062286377,0.04952121898531914,0.16201946139335632,0.10592662543058395,0.055117156356573105,0.43954408168792725,-0.14445067942142487,-0.007435464765876532,0.018442602828145027,0.01545412465929985,-0.16264787316322327,-0.29869717359542847,0.07389238476753235,-0.03694281727075577,0.05665811151266098,-0.23869214951992035,-0.0461803562939167,0.3019447326660156,0.01015325915068388,0.18297480046749115,-0.030956067144870758,0.3871752917766571,0.22523607313632965,0.021365582942962646,-0.000489615136757493,0.14066670835018158,-0.07901298999786377,0.2846859395503998,-0.13573652505874634,-0.05957093462347984,0.14706364274024963
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.","[""I'm the first one in my family to go to college""]","['i', ""'m"", 'the', 'first', 'one', 'in', 'my', 'family', 'to', 'go', 'to', 'college', 'and', 'even', 'though', 'it', ""'s"", 'taken', 'me', 'longer', 'than', 'i', 'had', 'hoped', ',', 'i', ""'m"", 'almost', 'there', '.']",0,0,0,0,0,0,1,0.25,0.3333333333333333,0,0,5,3,5,1,2,2,3,-0.10340724885463715,0.13315093517303467,0.1352233737707138,0.09199374914169312,0.08118749409914017,-0.37236228585243225,0.18018238246440887,0.5232565402984619,-0.19665303826332092,-0.23785126209259033,0.18392497301101685,-0.3532903790473938,-0.0507509708404541,0.2130875140428543,-0.013114976696670055,0.033952485769987106,0.20418451726436615,-0.12137261033058167,-0.1286710798740387,-0.5106709599494934,-0.018248489126563072,-0.08483757078647614,0.22935138642787933,-0.06947242468595505,-0.13891352713108063,0.016315855085849762,-0.1752755492925644,0.028805827721953392,-0.16130095720291138,0.0449955016374588,0.2611885368824005,0.043665967881679535,0.3379591405391693,-0.19143980741500854,0.042716674506664276,0.31720638275146484,0.15022499859333038,-0.05498935654759407,-0.05417710170149803,-0.23543547093868256,0.11639349162578583,-0.06244504079222679,-0.03934956714510918,-0.01645827479660511,0.15881070494651794,0.036092523485422134,-0.18198011815547943,0.03718560189008713,0.044624995440244675,0.22034510970115662,0.026342734694480896,-0.10273313522338867,-0.06210264563560486,-0.0253186896443367,0.009067335166037083,0.19573087990283966,0.08295159041881561,0.05557701736688614,-0.08320818841457367,0.1080564334988594,0.008277514949440956,-0.05525572597980499,0.06670578569173813,0.13862298429012299,-0.10564450919628143,0.32800760865211487,0.21903833746910095,0.21430006623268127,-0.25808823108673096,0.2423575520515442,0.006532034371048212,0.17732061445713043,0.15816166996955872,0.03540040925145149,0.5008958578109741,-0.09031989425420761,0.02822362445294857,0.050210729241371155,-0.01870252937078476,-0.17776373028755188,-0.27641886472702026,0.15754538774490356,-0.08593688160181046,0.1589599996805191,-0.27429285645484924,-0.002117638476192951,0.25867828726768494,0.048724766820669174,0.1921960860490799,-0.04262988641858101,0.4190325140953064,0.21666553616523743,-0.023531658574938774,0.06527116149663925,0.21789316833019257,-0.051168207079172134,0.21022635698318481,-0.09832099080085754,-0.02355278469622135,0.1356070190668106
i want to show all the minorities that you can do it too.,['I am here because I am a first generation college student'],"['i', 'want', 'to', 'show', 'all', 'the', 'minorities', 'that', 'you', 'can', 'do', 'it', 'too', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,2,1,2,0,1,-0.17864853143692017,0.20347055792808533,0.10027546435594559,0.09087184071540833,0.09904443472623825,-0.39869582653045654,0.2169594168663025,0.4908556640148163,-0.17461369931697845,-0.21546690165996552,0.16546829044818878,-0.3573929965496063,-0.05291936546564102,0.17719925940036774,0.10126248747110367,-0.04333029314875603,0.18746939301490784,-0.2528001666069031,-0.17450548708438873,-0.5788666009902954,-0.05505573749542236,-0.06428147852420807,0.2234686017036438,-0.11916621029376984,-0.08410125225782394,0.004646687768399715,-0.2996986210346222,0.05537521839141846,-0.0976872593164444,0.05793092027306557,0.34301239252090454,-0.011971142143011093,0.34362727403640747,-0.15968750417232513,0.04676870256662369,0.2562541365623474,0.20673561096191406,0.061555806547403336,-0.03918711468577385,-0.23447205126285553,0.0009387116879224777,-0.03605502471327782,-0.015156739391386509,-0.08191675692796707,0.09755030274391174,0.05793985351920128,-0.11585721373558044,0.07020160555839539,0.026327034458518028,0.22387856245040894,-0.04582362622022629,-0.037997327744960785,-0.024582594633102417,-0.010487416759133339,0.010639101266860962,0.13914810121059418,0.1321927160024643,0.07550042122602463,-0.11781283468008041,0.1864548772573471,0.10141833126544952,-0.04428805410861969,0.11526644974946976,0.11909893155097961,-0.0873221829533577,0.3111308515071869,0.20995746552944183,0.17772454023361206,-0.3263903856277466,0.3187033236026764,0.034170880913734436,0.16417701542377472,0.18901650607585907,-0.004460121970623732,0.47085708379745483,-0.21347850561141968,-0.013122177682816982,0.09685587137937546,-0.017899639904499054,-0.2829158306121826,-0.2852315604686737,0.1173849031329155,-0.16323190927505493,0.16335050761699677,-0.22392210364341736,-0.03298597037792206,0.24833346903324127,0.1165146455168724,0.22590915858745575,-0.027204249054193497,0.3971605598926544,0.15644153952598572,-0.04664391651749611,0.013098208233714104,0.2753138244152069,-0.049862101674079895,0.21871696412563324,-0.06504057347774506,-0.04002813249826431,0.04537302255630493
