sentence,phrase,tokens,bio_sim_words,chem_sim_words,phy_sim_words,math_sim_words,tech_sim_words,eng_sim_words,medical_terms,polarity,subjectivity,ner,interjections,nouns,adverb,verb,determiner,pronoun,adjective,preposition,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63,embedding_64,embedding_65,embedding_66,embedding_67,embedding_68,embedding_69,embedding_70,embedding_71,embedding_72,embedding_73,embedding_74,embedding_75,embedding_76,embedding_77,embedding_78,embedding_79,embedding_80,embedding_81,embedding_82,embedding_83,embedding_84,embedding_85,embedding_86,embedding_87,embedding_88,embedding_89,embedding_90,embedding_91,embedding_92,embedding_93,embedding_94,embedding_95,embedding_96,embedding_97,embedding_98,embedding_99,able,amazing,background,bit,chose,class,college,family,goal,going,hard,high,im,knowledge,learning,life,live,parents,potential,proud,say,school,successful,things,want,way
i am very lucky to be in such an amazing school and that my parents are able to help me and support me every step of the way.,['my parents are able to help me and support me every step of the way.'],"['i', 'am', 'very', 'lucky', 'to', 'be', 'in', 'such', 'an', 'amazing', 'school', 'and', 'that', 'my', 'parents', 'are', 'able', 'to', 'help', 'me', 'and', 'support', 'me', 'every', 'step', 'of', 'the', 'way', '.']",0,0,0,0,0,0,0,0.38333333333333336,0.75625,0,0,5,1,3,3,2,4,3,-0.1410403847694397,0.20261971652507782,0.0865989476442337,0.028936203569173813,0.16229702532291412,-0.3969634473323822,0.21360692381858826,0.5293582081794739,-0.19076284766197205,-0.26733866333961487,0.14194467663764954,-0.3500952124595642,-0.002365897176787257,0.21697236597537994,0.05594789609313011,-0.030372170731425285,0.18190285563468933,-0.16322895884513855,-0.08960538357496262,-0.47423940896987915,-0.030623000115156174,-0.08750059455633163,0.2138732224702835,-0.0752372145652771,-0.09266878664493561,0.05777771398425102,-0.19929592311382294,0.07211621105670929,-0.1228494718670845,0.06258726119995117,0.3590567708015442,0.019727500155568123,0.293410062789917,-0.17385192215442657,0.03579457476735115,0.2945120632648468,0.11988010257482529,0.013119267299771309,-0.08203450590372086,-0.23386001586914062,0.10921664535999298,-0.06331602483987808,-0.030607150867581367,-0.041507817804813385,0.10347266495227814,0.016432495787739754,-0.1528853476047516,0.044912971556186676,0.0592741034924984,0.2076556384563446,-0.0004062671505380422,-0.10772144049406052,-0.10611247271299362,-0.07543422281742096,-0.017262982204556465,0.15831780433654785,0.09358125180006027,0.06636815518140793,-0.08245711773633957,0.09533096849918365,0.03848367556929588,-0.12616176903247833,0.13986004889011383,0.15560853481292725,-0.14822323620319366,0.34479326009750366,0.26623013615608215,0.13819345831871033,-0.2772604823112488,0.28658217191696167,0.03811539337038994,0.1859622448682785,0.19970640540122986,0.012081450782716274,0.44872164726257324,-0.15191690623760223,-0.0007359693991020322,0.0353248231112957,-0.03942931815981865,-0.17126432061195374,-0.2930254638195038,0.09111123532056808,-0.12127925455570221,0.06028980016708374,-0.2053714245557785,-0.0851089283823967,0.287543386220932,0.06813040375709534,0.19013437628746033,-0.07144765555858612,0.3903343379497528,0.17191089689731598,-0.010578400455415249,0.03900656849145889,0.20609386265277863,-0.07067844271659851,0.2946581542491913,-0.0978945642709732,-0.02086414396762848,0.12197314202785492,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"eam im 'suus' quoque satis, aderunt per ipsum et related agro suus 'ridiculam satis ingeniarius, qui non est cogitare de math et scientia praecipue bonum, quod aliqua sint duo placita background ipsum.","[""I'm also here because of decisions made by my ancestors and myself to survive so far.""]","['eam', 'im', ""'suus"", ""'"", 'quoque', 'satis', ',', 'aderunt', 'per', 'ipsum', 'et', 'related', 'agro', 'suus', ""'ridiculam"", 'satis', 'ingeniarius', ',', 'qui', 'non', 'est', 'cogitare', 'de', 'math', 'et', 'scientia', 'praecipue', 'bonum', ',', 'quod', 'aliqua', 'sint', 'duo', 'placita', 'background', 'ipsum', '.']",1,1,0,1,0,0,0,0.0,0.4,0,0,22,0,1,0,0,3,2,-0.030012821778655052,0.10314103215932846,0.08406691998243332,0.014205441810190678,0.060880906879901886,-0.16026830673217773,0.040738675743341446,0.22826147079467773,-0.12349570542573929,-0.0019449584651738405,-0.02719113416969776,-0.14636282622814178,-0.0017799511551856995,0.02523699402809143,-0.01668681763112545,-0.056336887180805206,-0.009339402429759502,-0.07478025555610657,-0.009166309610009193,-0.1250617355108261,0.017691651359200478,-0.043255824595689774,0.025171125307679176,-0.025807589292526245,-0.05135350674390793,0.0223348718136549,-0.019094495102763176,-0.04686536267399788,-0.08081492781639099,0.019943416118621826,0.10916045308113098,0.07266883552074432,0.08123812824487686,-0.04697949066758156,-0.015191501006484032,0.14972366392612457,0.022755326703190804,-0.0925055518746376,-0.1042422279715538,-0.24872706830501556,0.03639598563313484,-0.08722320944070816,-0.0016821249155327678,0.011844536289572716,0.07883360236883163,0.013861356303095818,-0.11429488658905029,0.002448261482641101,0.019472379237413406,0.05814031884074211,0.010106288827955723,-0.030553516000509262,-0.07302335649728775,-0.06665150821208954,-0.08472497016191483,0.08859104663133621,0.03732074797153473,0.012414536438882351,-0.08674024790525436,0.04488200321793556,-0.00748041458427906,0.052987292408943176,-0.036831095814704895,0.038537170737981796,-0.2064344435930252,0.16175419092178345,0.14228244125843048,0.08172537386417389,-0.15269270539283752,0.17529940605163574,0.0010732393711805344,0.09829830378293991,0.1446262151002884,-0.03506959602236748,0.20514950156211853,-0.04439069330692291,-0.019191937521100044,0.050623323768377304,-0.09207247197628021,0.007271918002516031,-0.08330170065164566,0.03633912652730942,-0.05465002730488777,0.10048334300518036,-0.10216143727302551,0.028317462652921677,0.060639820992946625,0.1585494428873062,0.16855879127979279,-0.02342287264764309,0.19491980969905853,0.08227560669183731,-0.013185768388211727,0.03749549388885498,0.16221563518047333,0.003491270588710904,0.15448223054409027,-0.1429193615913391,-0.01638365350663662,0.021856416016817093,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sfsu is also a college that is relatively close to where i live so i chose to go here in order to be able to stay with my family which is important to me.,['SFSU is also a college that is relatively close to where I live so I chose to go here in order to be able to stay with my family which is important to me.'],"['sfsu', 'is', 'also', 'a', 'college', 'that', 'is', 'relatively', 'close', 'to', 'where', 'i', 'live', 'so', 'i', 'chose', 'to', 'go', 'here', 'in', 'order', 'to', 'be', 'able', 'to', 'stay', 'with', 'my', 'family', 'which', 'is', 'important', 'to', 'me', '.']",0,0,0,0,0,0,1,0.2590909090909091,0.53125,0,0,4,4,3,1,1,5,2,-0.12883898615837097,0.19797074794769287,0.12133830785751343,0.06315980106592178,0.14059244096279144,-0.4372309744358063,0.2210242748260498,0.5149315595626831,-0.19826777279376984,-0.2949405014514923,0.1985297054052353,-0.3438279926776886,-0.03262702748179436,0.19661054015159607,0.08634703606367111,0.06802016496658325,0.22922898828983307,-0.12505091726779938,-0.11323461681604385,-0.5146493315696716,-0.01631193794310093,-0.05803672969341278,0.3151257634162903,-0.07670045644044876,-0.11587326973676682,0.08856645226478577,-0.20823179185390472,0.03878464177250862,-0.13737937808036804,0.10043114423751831,0.34269121289253235,0.027741851285099983,0.36596983671188354,-0.23560364544391632,0.07568845897912979,0.31608301401138306,0.14729098975658417,0.021625017747282982,-0.06802183389663696,-0.2228860706090927,0.12173938751220703,-0.007501047104597092,-0.054352112114429474,0.005302693694829941,0.1059127002954483,-0.0009307342115789652,-0.17825400829315186,0.05645393952727318,0.09245778620243073,0.19929088652133942,0.006636237725615501,-0.06746163219213486,-0.10260065644979477,-0.07955839484930038,0.012240158393979073,0.15891969203948975,0.07561683654785156,0.0846482589840889,-0.08143983781337738,0.14810867607593536,-0.01909697987139225,-0.10339833796024323,0.12881767749786377,0.15218013525009155,-0.09375777095556259,0.3603401184082031,0.2813819944858551,0.1361420601606369,-0.28181543946266174,0.2720717191696167,-0.027601564303040504,0.16448508203029633,0.16151712834835052,0.023568222299218178,0.4980590343475342,-0.15638217329978943,0.028889846056699753,0.042264677584171295,-0.009247961454093456,-0.22510941326618195,-0.30539652705192566,0.1472833752632141,-0.08469534665346146,0.061057861894369125,-0.2656686007976532,-0.06599026918411255,0.2948673367500305,0.0007529337890446186,0.18333327770233154,-0.0808209553360939,0.437051385641098,0.19185517728328705,-0.010833759792149067,0.06494295597076416,0.17315399646759033,-0.07938200980424881,0.2731182873249054,-0.11081945151090622,-0.03303237631917,0.1426626741886139,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"silverio floresreflective journal essay 1 why am i here?hello, my name is silverio (silver) flores, i am a firstgeneration college student.","[""Hello, my name is Silverio (Silver) Flores, I am a firstgeneration college student.I come from a family of 5 brothers and Im the second oldest brother in the family so it's extremely stressful to evaluate every move that I make so that I could become a good role model to all my brother so that the path of obtaining a higher education could be possible through hard work and dedication.""]","['silverio', 'floresreflective', 'journal', 'essay', '1', 'why', 'am', 'i', 'here', '?', 'hello', ',', 'my', 'name', 'is', 'silverio', '(', 'silver', ')', 'flores', ',', 'i', 'am', 'a', 'firstgeneration', 'college', 'student', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,9,1,2,1,0,1,0,-0.1727147251367569,0.17473730444908142,0.12868471443653107,0.09941884130239487,0.09458141773939133,-0.32182106375694275,0.2253781408071518,0.3421032130718231,-0.20675835013389587,-0.1252971738576889,0.2226850539445877,-0.3065752387046814,-0.034399863332509995,0.14814923703670502,0.045723337680101395,0.07049297541379929,0.18010839819908142,-0.102043516933918,-0.11784099042415619,-0.4942667782306671,-0.01986781880259514,0.015936048701405525,0.3316403031349182,-0.13809528946876526,-0.056447722017765045,0.06863265484571457,-0.1467559039592743,-0.07611794769763947,-0.20254120230674744,0.06288592517375946,0.33324113488197327,0.007546787150204182,0.4093039333820343,-0.22353269159793854,0.11907260119915009,0.3819887638092041,0.10126227140426636,0.01293949969112873,-0.008754175156354904,-0.31611910462379456,0.14467333257198334,-0.07360997051000595,-0.03427993878722191,-0.031056363135576248,0.11145085096359253,-0.022022932767868042,-0.23636463284492493,0.12696081399917603,0.09043200314044952,0.15551865100860596,0.06864228844642639,-0.05827637016773224,-0.06627372652292252,-0.07621932774782181,0.007520665414631367,0.2011764943599701,0.08495017886161804,0.008350685238838196,-0.09120143204927444,0.08304570615291595,-0.017656095325946808,-0.08555164933204651,0.11536237597465515,0.1559678465127945,-0.06704529374837875,0.34010639786720276,0.18604716658592224,0.20130516588687897,-0.27601414918899536,0.18205486238002777,-0.0277823768556118,0.1889009177684784,0.060077447444200516,0.05683411657810211,0.5367674827575684,-0.08395051956176758,0.03361082077026367,0.007428562268614769,0.010626369155943394,-0.18994314968585968,-0.28567248582839966,0.14690138399600983,-0.003417354542762041,0.15268315374851227,-0.33431702852249146,0.00692844158038497,0.2678172290325165,-0.029917528852820396,0.1679101288318634,-0.024476313963532448,0.4303729236125946,0.2434242218732834,-0.01285691000521183,0.03916303813457489,0.17754590511322021,-0.04725149646401405,0.2626503109931946,-0.12265241146087646,-0.006683290004730225,0.09528554230928421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i also like being an example for my brother because he thinks dropping out is an option.,"['not only accomplish something for myself but to see my family happy', 'I also like being an example for my brother because he thinks dropping out is an option. I like to think that he knows as long as we are in this together, we will make it to the finish line.']","['i', 'also', 'like', 'being', 'an', 'example', 'for', 'my', 'brother', 'because', 'he', 'thinks', 'dropping', 'out', 'is', 'an', 'option', '.']",0,0,0,0,0,0,0,0.0,0.0,0,0,4,1,2,2,1,0,3,-0.0904884934425354,0.19445177912712097,0.11719641834497452,0.07416172325611115,0.11084848642349243,-0.31596317887306213,0.20013339817523956,0.39669889211654663,-0.1964915245771408,-0.14311853051185608,0.16209998726844788,-0.30561915040016174,0.005591900087893009,0.1136331856250763,0.03546831011772156,-0.008192143402993679,0.1516290009021759,-0.09371563047170639,-0.077321358025074,-0.38923773169517517,-0.023407699540257454,-0.06472127884626389,0.1902121752500534,-0.04701583459973335,-0.07340707629919052,0.05763263255357742,-0.13527452945709229,-0.00800047256052494,-0.14652344584465027,0.04613202437758446,0.26301684975624084,0.007690361235290766,0.27505427598953247,-0.1839330941438675,0.05855020880699158,0.2740582525730133,0.13370929658412933,-0.03820839896798134,-0.09781403839588165,-0.3018302619457245,0.10017918050289154,-0.08493568003177643,-0.046757686883211136,0.010582762770354748,0.10188533365726471,0.01766214519739151,-0.16676846146583557,0.07317652553319931,0.0909838080406189,0.172965407371521,0.03295140340924263,-0.08654922991991043,-0.06749330461025238,-0.10549627244472504,-0.04427674040198326,0.1472870111465454,0.05864086002111435,0.04370803013443947,-0.09863933175802231,0.08445591479539871,0.0057519590482115746,-0.07703204452991486,0.07778137177228928,0.12803074717521667,-0.12924492359161377,0.32313212752342224,0.17495892941951752,0.1586330682039261,-0.24502381682395935,0.21242408454418182,0.005092149134725332,0.18767479062080383,0.16189058125019073,0.0023256433196365833,0.4402281641960144,-0.11670476943254471,0.021663282066583633,0.04871468245983124,-0.01818123459815979,-0.159114807844162,-0.2512635588645935,0.1018126979470253,-0.07489011436700821,0.09771472215652466,-0.29937943816185,-0.013300287537276745,0.2516650855541229,0.04610641673207283,0.20443876087665558,-0.0834125205874443,0.4096694886684418,0.16805213689804077,-0.02023601159453392,0.0814283937215805,0.1874353438615799,-0.060735829174518585,0.27341118454933167,-0.11157381534576416,-0.025196300819516182,0.0655815452337265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"my mother used to quiz me on them from a young age, and i could watch tv excessively if it were medical dramas.","['My mother used to quiz me on them from a young age, and I could watch TV excessively if it were medical dramas.']","['my', 'mother', 'used', 'to', 'quiz', 'me', 'on', 'them', 'from', 'a', 'young', 'age', ',', 'and', 'i', 'could', 'watch', 'tv', 'excessively', 'if', 'it', 'were', 'medical', 'dramas', '.']",0,0,0,0,0,0,1,-0.049999999999999996,0.4666666666666666,0,0,5,1,4,1,3,2,3,-0.11288875341415405,0.16678790748119354,0.08467809110879898,0.05455687642097473,0.12107507139444351,-0.3520946204662323,0.18181517720222473,0.45619064569473267,-0.17448481917381287,-0.1900123506784439,0.11839160323143005,-0.3054355978965759,-0.03777700290083885,0.16937565803527832,0.023930300027132034,-0.00999182928353548,0.1457463502883911,-0.14280904829502106,-0.09255186468362808,-0.43353742361068726,-0.019770748913288116,-0.08619938790798187,0.17017187178134918,-0.04527829959988594,-0.10157127678394318,0.03657868877053261,-0.17354382574558258,0.03221734240651131,-0.1250331848859787,0.04332035779953003,0.30348315834999084,0.042076535522937775,0.24613212049007416,-0.16235116124153137,0.0419076606631279,0.2577422261238098,0.1328800916671753,-0.03264221176505089,-0.08899630606174469,-0.2660236656665802,0.06939970701932907,-0.06669744849205017,-0.02134448103606701,-0.030847283080220222,0.11611507833003998,0.013304225169122219,-0.1607481688261032,0.04189159348607063,0.06611018627882004,0.17426419258117676,-0.0065423171035945415,-0.06500111520290375,-0.0773443728685379,-0.0665164664387703,-0.012649206444621086,0.15138764679431915,0.08509906381368637,0.07228463888168335,-0.10565932840108871,0.10593871772289276,0.019701022654771805,-0.05625177174806595,0.08076560497283936,0.10402661561965942,-0.1708122044801712,0.28524279594421387,0.24231070280075073,0.14529988169670105,-0.2448524534702301,0.28146350383758545,0.011500172317028046,0.1499665528535843,0.1708044856786728,0.007272940129041672,0.4245840609073639,-0.1274639368057251,-0.014617816545069218,0.07804860919713974,-0.054133038967847824,-0.16395142674446106,-0.25200241804122925,0.0956246480345726,-0.09461869299411774,0.11103034019470215,-0.20476925373077393,-0.03564576432108879,0.2247791737318039,0.10954884439706802,0.20702895522117615,-0.04727470129728317,0.3731861710548401,0.16871106624603271,-0.008360390551388264,0.059109754860401154,0.18719251453876495,-0.04496920853853226,0.23844511806964874,-0.12404688447713852,-0.016308994963765144,0.09469526261091232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to bring more wealth and knowledge into my family household and be a role model for my younger siblings.,['I want to make my parents proud and improve their lifestyle.'],"['i', 'want', 'to', 'bring', 'more', 'wealth', 'and', 'knowledge', 'into', 'my', 'family', 'household', 'and', 'be', 'a', 'role', 'model', 'for', 'my', 'younger', 'siblings', '.']",0,0,0,0,0,0,1,0.25,0.25,0,0,8,0,2,1,0,2,2,-0.14858262240886688,0.23156461119651794,0.0720476284623146,0.006573113147169352,0.17643502354621887,-0.3933565020561218,0.2041870504617691,0.49787580966949463,-0.17746274173259735,-0.24469861388206482,0.15329334139823914,-0.2793339192867279,-0.026259545236825943,0.17635469138622284,0.03624091297388077,0.0028872957918792963,0.1690984070301056,-0.13518309593200684,-0.09170816093683243,-0.45253121852874756,-0.01564442180097103,-0.08457128703594208,0.24290475249290466,-0.014867368154227734,-0.09508928656578064,0.09087182581424713,-0.14989186823368073,0.0783422663807869,-0.12505757808685303,0.048047758638858795,0.34932181239128113,0.045533668249845505,0.2530680000782013,-0.178450345993042,0.03592758998274803,0.28293895721435547,0.12058253586292267,-0.011555156670510769,-0.11500932276248932,-0.23119667172431946,0.10169161111116409,-0.05154608562588692,-0.047363825142383575,-0.06082453578710556,0.09905637055635452,0.0011798723135143518,-0.13996170461177826,0.052016787230968475,0.0969586968421936,0.17103523015975952,-0.00017908995505422354,-0.09868894517421722,-0.14177314937114716,-0.07976961880922318,-0.04433532431721687,0.13493697345256805,0.06566265225410461,0.06565430760383606,-0.11044725030660629,0.07440611720085144,0.016761334612965584,-0.12541674077510834,0.1579088270664215,0.14516465365886688,-0.18346641957759857,0.3304983675479889,0.30487507581710815,0.09756223112344742,-0.23291410505771637,0.3010346591472626,0.007112853694707155,0.17111632227897644,0.16737480461597443,0.020383378490805626,0.3920119106769562,-0.15161684155464172,-0.022419456392526627,0.07192056626081467,-0.028001341968774796,-0.1509954184293747,-0.27680182456970215,0.06137751787900925,-0.08613145351409912,0.048515643924474716,-0.1937692016363144,-0.051811445504426956,0.294889360666275,0.044765930622816086,0.1855747550725937,-0.08384491503238678,0.36466196179389954,0.1465139091014862,0.027193931862711906,0.03448336571455002,0.1366579383611679,-0.0979229062795639,0.3116818964481354,-0.13607415556907654,-0.05405833199620247,0.14598043262958527,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
school has always helped me escape the hard things i live through everday.,['I am here at SFSU because I am a first generation student'],"['school', 'has', 'always', 'helped', 'me', 'escape', 'the', 'hard', 'things', 'i', 'live', 'through', 'everday', '.']",0,0,0,0,0,0,0,-0.07765151515151517,0.5208333333333333,0,0,3,1,2,1,1,1,1,-0.06033407151699066,0.15449802577495575,0.033311858773231506,0.06142202764749527,0.11542034894227982,-0.3552761375904083,0.13531705737113953,0.5661472678184509,-0.19963335990905762,-0.2251589447259903,0.09487832337617874,-0.3696852922439575,0.018253136426210403,0.19964385032653809,-0.018037807196378708,-0.09129194170236588,0.10193918645381927,-0.13618004322052002,-0.09595625102519989,-0.4079633951187134,-0.054394181817770004,-0.15850144624710083,0.07472986727952957,-0.04224378615617752,-0.10452032089233398,-0.007395346648991108,-0.1715695708990097,0.05709878355264664,-0.11524799466133118,0.005574777256697416,0.26356345415115356,0.08707495778799057,0.24025267362594604,-0.11321021616458893,-0.006246095523238182,0.31615692377090454,0.16533423960208893,-0.05417216196656227,-0.11712482571601868,-0.2629971206188202,0.078297458589077,-0.09383116662502289,-0.009062065742909908,-0.0747007429599762,0.15962742269039154,0.067012257874012,-0.14595063030719757,0.029523296281695366,0.0197785384953022,0.14955024421215057,-0.028635602444410324,-0.09417981654405594,-0.00617954833433032,-0.01834436133503914,-0.0008219199953600764,0.15138493478298187,0.04884197190403938,0.04396378993988037,-0.0533636175096035,0.06284158676862717,0.07674812525510788,-0.06972462683916092,0.07972322404384613,0.10976190865039825,-0.16328848898410797,0.27877289056777954,0.21108748018741608,0.14811433851718903,-0.20986278355121613,0.23054219782352448,0.06645029038190842,0.13971677422523499,0.16550405323505402,0.01296385657042265,0.3636075258255005,-0.05576205998659134,-0.021701306104660034,0.08413198590278625,-0.0767710879445076,-0.10207239538431168,-0.2023378163576126,0.11703606694936752,-0.09080279618501663,0.16578231751918793,-0.17827677726745605,0.01009888295084238,0.26730820536613464,0.1714230626821518,0.23345112800598145,-0.03578666225075722,0.3520340323448181,0.20289777219295502,-0.015872694551944733,0.029444394633173943,0.19163872301578522,-0.04721026122570038,0.1747356355190277,-0.13753031194210052,0.004173048306256533,0.09170667082071304,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"taking this hard class online is going to be more hard for me because i already feel scared taking this class and with everything being online, i am actually losing all of my confidence.",['The reason I want to be a dentist is because my family is oral surgeon and when I graduate everything is going to be ready for me.'],"['taking', 'this', 'hard', 'class', 'online', 'is', 'going', 'to', 'be', 'more', 'hard', 'for', 'me', 'because', 'i', 'already', 'feel', 'scared', 'taking', 'this', 'class', 'and', 'with', 'everything', 'being', 'online', ',', 'i', 'am', 'actually', 'losing', 'all', 'of', 'my', 'confidence', '.']",0,0,0,0,0,0,0,-0.020833333333333343,0.4208333333333333,0,0,6,2,7,3,1,6,4,-0.14519208669662476,0.17183825373649597,0.12063752859830856,0.06931278109550476,0.1124439686536789,-0.3577241599559784,0.2583274245262146,0.5100597739219666,-0.20458687841892242,-0.26581770181655884,0.16442911326885223,-0.38446491956710815,-0.004769033752381802,0.20880423486232758,0.04823172092437744,-0.05589580908417702,0.20104876160621643,-0.12867648899555206,-0.09297513216733932,-0.5193649530410767,-0.03690553084015846,-0.06499801576137543,0.22306710481643677,-0.0920855924487114,-0.06233223155140877,0.02147689275443554,-0.2420012503862381,0.09050827473402023,-0.16332583129405975,0.06725212931632996,0.26994064450263977,-0.022752445191144943,0.38655146956443787,-0.2061185985803604,0.04153118655085564,0.30621442198753357,0.15234661102294922,0.008547510951757431,-0.05301031470298767,-0.23801042139530182,0.11765635758638382,-0.08440878987312317,-0.03539276495575905,-0.011936390772461891,0.124042809009552,0.003965410403907299,-0.174674853682518,0.059090107679367065,0.06391965597867966,0.2542687952518463,0.05928044021129608,-0.15440528094768524,-0.07778289914131165,-0.07146699726581573,0.002190512837842107,0.19541823863983154,0.09133204072713852,0.04638396576046944,-0.061543162912130356,0.12336649745702744,0.02945156767964363,-0.11845564842224121,0.10802146047353745,0.1768461912870407,-0.06325047463178635,0.3692893087863922,0.138197124004364,0.24960967898368835,-0.2807433009147644,0.2205657809972763,0.04768799617886543,0.2374192625284195,0.19341742992401123,3.0561800485884305e-06,0.5322010517120361,-0.1288335919380188,0.04340340197086334,0.013989204540848732,-0.006602253299206495,-0.20943160355091095,-0.3264361619949341,0.14418315887451172,-0.11579924076795578,0.11961541324853897,-0.2977900803089142,-0.03515838086605072,0.2862159311771393,0.025549359619617462,0.1923491209745407,-0.08498688042163849,0.4836489260196686,0.19367460906505585,-0.05265384167432785,0.056949812918901443,0.26751038432121277,-0.040778279304504395,0.3091805875301361,-0.06605615466833115,-0.01707112416625023,0.08072710782289505,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
its something ive kinda slacked on a bit but not too much.,['Well one thing my mom has taught me is to not start something you cant finish or to finish what Ive started.'],"['its', 'something', 'ive', 'kinda', 'slacked', 'on', 'a', 'bit', 'but', 'not', 'too', 'much', '.']",0,0,0,0,0,0,0,0.2,0.2,0,0,3,2,1,1,0,2,1,-0.10946643352508545,0.1639069765806198,0.08931925892829895,0.09283316135406494,0.0463855005800724,-0.3104773759841919,0.17607343196868896,0.3853720724582672,-0.15976032614707947,-0.09696266800165176,0.1270521879196167,-0.309745192527771,-0.003120490349829197,0.11830534785985947,0.010041512548923492,-0.0688638910651207,0.14170151948928833,-0.15407603979110718,-0.09907960146665573,-0.45241212844848633,-0.047687288373708725,-0.09950149804353714,0.1072053611278534,-0.009836699813604355,-0.09874474257230759,0.021925853565335274,-0.21849389374256134,-0.0007786191999912262,-0.13943462073802948,0.009115587919950485,0.2660551071166992,0.017187858000397682,0.24552170932292938,-0.1703215390443802,0.03929207846522331,0.2215583324432373,0.1804552525281906,-0.05368952825665474,-0.09790730476379395,-0.2713797986507416,0.012012939900159836,-0.08410482853651047,-0.01743234507739544,-0.02848978340625763,0.11555752158164978,0.04595952853560448,-0.11079931259155273,0.053428515791893005,0.05362841859459877,0.13618087768554688,0.003156231017783284,-0.04433508589863777,0.00904129445552826,-0.06250100582838058,-0.02391842007637024,0.13729175925254822,0.06422365456819534,0.05989925190806389,-0.10473277419805527,0.11161952465772629,0.049152079969644547,-0.028739072382450104,0.026163505390286446,0.0966198667883873,-0.11995302885770798,0.2604215443134308,0.09674599766731262,0.17487621307373047,-0.2269735485315323,0.21744699776172638,0.0028468333184719086,0.16823941469192505,0.11980090290307999,-0.03099476359784603,0.3900943100452423,-0.09878769516944885,-0.020842894911766052,0.10957594960927963,-0.027761349454522133,-0.19562630355358124,-0.22517986595630646,0.07544156908988953,-0.10508015006780624,0.17325498163700104,-0.24527721107006073,0.01414644718170166,0.20018233358860016,0.17766828835010529,0.23810125887393951,-0.05491479113698006,0.38481655716896057,0.1334855705499649,-0.052705660462379456,0.06772302836179733,0.18916834890842438,-0.03668394312262535,0.20753981173038483,-0.06050275266170502,-0.0011422565439715981,0.01008540391921997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
